t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,bbox_cx,bbox_cy,bbox_w,bbox_h,track_id,pixel_err_px,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
0.000,0.02,-0.02,-9.97,0.52,-0.02,0.00,320.0,212.2,111.1,222.3,1,27.8,0.556,0.000,0.0000,0.0
0.050,0.02,-0.02,-9.97,0.53,-0.02,0.00,320.0,211.6,111.1,222.3,1,28.5,0.568,0.000,0.0000,50.1
0.100,0.02,-0.02,-9.97,0.54,-0.02,0.00,322.9,211.2,111.1,222.3,1,29.1,0.576,0.058,0.0000,50.1
0.150,0.02,-0.02,-9.97,0.55,-0.02,0.00,323.8,210.5,111.1,222.3,1,29.8,0.589,0.077,0.0000,50.1
0.200,0.02,-0.02,-9.97,0.57,-0.02,0.00,324.2,209.8,111.1,222.3,1,30.5,0.603,0.083,0.0000,50.1
0.250,0.02,-0.02,-9.98,0.58,-0.02,0.00,324.3,209.2,111.1,222.3,1,31.1,0.615,0.086,0.0000,50.1
0.300,0.02,-0.02,-9.98,0.59,-0.02,0.00,324.3,208.6,111.1,222.3,1,31.8,0.629,0.087,0.0000,50.1
0.350,0.03,-0.02,-9.97,0.60,-0.02,0.00,324.4,208.1,111.1,222.3,1,32.1,0.637,0.088,0.0000,50.1
0.401,0.03,-0.02,-9.97,0.62,-0.02,0.00,324.5,207.5,111.1,222.3,1,32.8,0.649,0.089,0.0000,50.1
0.451,0.04,-0.02,-9.97,0.63,-0.02,0.00,324.5,207.4,111.1,222.3,1,32.7,0.652,0.090,0.0000,50.1
0.501,0.04,-0.02,-9.97,0.64,-0.02,0.00,324.5,206.9,111.1,222.3,1,33.4,0.662,0.091,0.0000,50.1
0.551,0.06,-0.02,-9.97,0.65,-0.02,0.00,324.5,207.2,111.1,222.3,1,32.8,0.657,0.090,0.0000,50.1
0.601,0.10,-0.03,-9.97,0.67,-0.02,0.00,324.5,208.0,111.1,222.3,1,31.7,0.640,0.089,0.0000,50.1
0.651,0.10,-0.03,-9.97,0.68,-0.02,0.00,324.5,207.9,111.1,222.3,1,32.4,0.643,0.089,0.0000,50.1
0.701,0.14,-0.03,-9.97,0.69,-0.02,0.00,324.4,208.8,111.2,222.3,1,30.9,0.624,0.088,0.0000,50.1
0.751,0.14,-0.03,-9.97,0.70,-0.02,0.00,324.4,208.7,111.2,222.3,1,31.6,0.626,0.088,0.0000,50.1
0.801,0.18,-0.03,-9.97,0.72,-0.02,0.00,324.3,209.9,111.2,222.3,1,29.8,0.602,0.086,0.0000,50.1
