t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,oracle_cx,oracle_cy,oracle_w,oracle_h,det_bbox_cx,det_bbox_cy,det_new,track_cx,track_cy,track_w,track_h,track_id,pix_err_vs_oracle,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
0.000,4.95,-8.61,-9.54,5.45,-8.61,0.00,320.0,211.0,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,0.0
0.050,4.95,-8.61,-9.54,5.46,-8.61,0.00,320.0,210.2,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.100,4.95,-8.61,-9.54,5.48,-8.61,0.00,323.7,209.7,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.150,4.95,-8.61,-9.54,5.49,-8.61,0.00,323.8,209.0,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.200,4.95,-8.61,-9.54,5.50,-8.61,0.00,323.8,208.3,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.250,4.95,-8.61,-9.54,5.52,-8.61,0.00,323.9,207.6,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.300,4.95,-8.61,-9.54,5.53,-8.61,0.00,324.0,206.9,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.350,4.95,-8.61,-9.54,5.54,-8.61,0.00,324.1,206.1,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.400,4.95,-8.61,-9.54,5.55,-8.61,0.00,324.2,205.4,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.451,4.95,-8.61,-9.54,5.57,-8.61,0.00,324.3,204.7,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.501,4.95,-8.61,-9.54,5.58,-8.61,0.00,324.4,204.0,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.551,4.95,-8.61,-9.54,5.59,-8.61,0.00,324.4,203.3,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.601,4.95,-8.61,-9.54,5.60,-8.61,0.00,324.5,202.5,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.651,4.95,-8.61,-9.54,5.62,-8.61,0.00,324.6,201.8,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.701,4.95,-8.61,-9.54,5.63,-8.61,0.00,324.7,201.1,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.751,4.95,-8.61,-9.54,5.64,-8.61,0.00,324.8,200.4,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.801,4.95,-8.61,-9.54,5.65,-8.61,0.00,324.9,199.7,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.851,4.95,-8.61,-9.54,5.67,-8.61,0.00,325.0,198.9,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.901,4.95,-8.61,-9.54,5.68,-8.61,0.00,325.1,198.2,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.951,4.95,-8.61,-9.54,5.69,-8.61,0.00,325.1,197.5,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.001,4.95,-8.61,-9.54,5.70,-8.61,0.00,325.2,196.8,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.051,4.95,-8.61,-9.54,5.72,-8.61,0.00,325.3,196.1,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.101,4.95,-8.61,-9.54,5.73,-8.61,0.00,325.4,195.4,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.151,4.95,-8.61,-9.54,5.74,-8.61,0.00,325.5,194.7,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.201,4.96,-8.61,-9.54,5.75,-8.61,0.00,325.6,194.0,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.251,4.96,-8.61,-9.54,5.77,-8.61,0.00,325.7,193.3,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.302,4.96,-8.61,-9.54,5.78,-8.61,0.00,325.7,192.6,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.352,4.96,-8.61,-9.54,5.79,-8.61,0.00,325.8,191.9,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.402,4.96,-8.61,-9.54,5.80,-8.61,0.00,325.9,191.2,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.452,4.96,-8.61,-9.54,5.82,-8.61,0.00,326.0,190.5,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.502,4.96,-8.61,-9.54,5.83,-8.61,0.00,326.1,189.8,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.552,4.96,-8.61,-9.54,5.84,-8.61,0.00,326.2,189.1,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.602,4.96,-8.61,-9.54,5.85,-8.61,0.00,326.3,188.4,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.652,4.96,-8.61,-9.54,5.87,-8.61,0.00,326.3,187.7,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.702,4.96,-8.61,-9.54,5.88,-8.61,0.00,326.4,187.0,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.752,4.96,-8.61,-9.54,5.89,-8.61,0.00,326.5,186.3,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.802,4.96,-8.61,-9.54,5.90,-8.61,0.00,326.6,185.6,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.852,4.96,-8.61,-9.54,5.92,-8.61,0.00,326.7,184.9,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.902,4.96,-8.61,-9.54,5.93,-8.61,0.00,326.8,184.2,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.952,4.96,-8.61,-9.54,5.94,-8.61,0.00,326.9,183.5,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.002,4.96,-8.61,-9.54,5.95,-8.61,0.00,326.9,182.8,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.052,4.96,-8.61,-9.54,5.97,-8.61,0.00,327.0,182.1,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.102,4.96,-8.61,-9.54,5.98,-8.61,0.00,327.1,181.3,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.153,4.96,-8.61,-9.54,5.99,-8.61,0.00,327.2,180.6,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.203,4.96,-8.61,-9.54,6.00,-8.61,0.00,327.3,179.9,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.253,4.96,-8.61,-9.54,6.02,-8.61,0.00,327.4,179.2,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.303,4.96,-8.61,-9.54,6.03,-8.61,0.00,327.5,178.5,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.353,4.96,-8.61,-9.54,6.04,-8.61,0.00,327.6,177.8,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.403,4.96,-8.61,-9.54,6.05,-8.61,0.00,327.7,177.0,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.453,4.96,-8.61,-9.54,6.07,-8.61,0.00,327.7,176.3,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.503,4.96,-8.61,-9.54,6.08,-8.61,0.00,327.8,175.6,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.553,4.96,-8.61,-9.54,6.09,-8.61,0.00,327.9,174.9,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.603,4.96,-8.61,-9.54,6.10,-8.61,0.00,328.0,174.1,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.653,4.96,-8.61,-9.54,6.12,-8.61,0.00,328.1,173.4,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.703,4.96,-8.61,-9.54,6.13,-8.61,0.00,328.2,172.7,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.753,4.96,-8.61,-9.54,6.14,-8.61,0.00,328.3,172.0,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.803,4.96,-8.61,-9.54,6.15,-8.61,0.00,328.4,171.2,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.853,4.96,-8.61,-9.54,6.17,-8.61,0.00,328.5,170.5,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.903,4.96,-8.61,-9.54,6.18,-8.61,0.00,328.5,169.8,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.954,4.96,-8.61,-9.54,6.19,-8.61,0.00,328.6,169.0,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
3.004,4.96,-8.61,-9.54,6.20,-8.61,0.00,328.7,168.3,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
3.054,4.96,-8.61,-9.54,6.22,-8.61,0.00,328.8,167.6,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
3.104,4.96,-8.61,-9.54,6.23,-8.61,0.00,328.9,166.8,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
3.154,4.96,-8.61,-9.54,6.24,-8.61,0.00,329.0,166.1,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
3.204,4.96,-8.61,-9.54,6.25,-8.61,0.00,329.1,165.4,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.6
