epoch,step,loss,lr,elapsed_s
1,1,1.705605,2.00e-04,2.8
1,51,1.210907,2.00e-04,80.1
1,101,1.218891,2.00e-04,157.5
1,151,1.089196,2.00e-04,236.2
1,201,1.409241,2.00e-04,316.1
1,251,1.073289,2.00e-04,395.8
1,301,1.222551,2.00e-04,478.8
1,351,1.288380,2.00e-04,560.2
1,401,1.146632,2.00e-04,640.4
1,451,1.166614,2.00e-04,721.5
1,501,1.109567,2.00e-04,804.3
1,551,1.123306,2.00e-04,886.8
1,601,1.223153,2.00e-04,968.0
1,651,1.168616,2.00e-04,1050.5
1,701,1.178955,2.00e-04,1131.2
1,751,0.987122,2.00e-04,1214.7
1,801,1.341047,1.99e-04,1298.1
1,851,1.159599,1.99e-04,1381.3
1,901,1.198749,1.99e-04,1466.8
1,951,0.870671,1.99e-04,1552.5
1,1001,1.212922,1.99e-04,1638.0
1,1051,1.144957,1.99e-04,1725.3
1,1101,0.963488,1.99e-04,1812.4
1,1151,1.098154,1.99e-04,1902.1
1,1201,1.120233,1.99e-04,1988.0
1,1251,1.090404,1.99e-04,2073.5
1,1301,1.031819,1.99e-04,2161.8
1,1351,1.179054,1.99e-04,2249.6
1,1401,1.166203,1.98e-04,2335.9
1,1451,1.113085,1.98e-04,2423.0
1,1501,1.032466,1.98e-04,2512.0
1,1551,1.104960,1.98e-04,2601.4
1,1601,1.202255,1.98e-04,2692.2
1,1651,1.135424,1.98e-04,2781.3
1,1701,1.015724,1.98e-04,2870.8
1,1751,1.189819,1.98e-04,2960.0
1,1801,1.111360,1.97e-04,3050.9
1,1851,1.141835,1.97e-04,3138.0
1,1901,0.881935,1.97e-04,3228.7
1,1951,1.116723,1.97e-04,3317.3
1,2001,1.046215,1.97e-04,3407.4
1,2051,1.008858,1.97e-04,3498.1
1,2101,1.154812,1.97e-04,3589.8
1,2151,1.213470,1.96e-04,3681.6
1,2201,1.167990,1.96e-04,3770.9
1,2251,1.063245,1.96e-04,3861.5
1,2301,1.211076,1.96e-04,3952.9
1,2351,1.209361,1.96e-04,4043.9
1,2401,1.125762,1.95e-04,4132.4
1,2451,1.187236,1.95e-04,4224.9
1,2501,0.978442,1.95e-04,4316.5
1,2551,1.089587,1.95e-04,4407.1
1,2601,1.072322,1.95e-04,4497.9
1,2651,0.951678,1.95e-04,4593.6
1,2701,1.097614,1.94e-04,4684.6
1,2751,1.107646,1.94e-04,4776.4
1,2801,1.108559,1.94e-04,4868.5
1,2851,1.112068,1.94e-04,4960.2
1,2901,0.696418,1.93e-04,5052.4
1,2951,0.913209,1.93e-04,5144.7
1,3001,1.119679,1.93e-04,5234.3
1,3051,1.171095,1.93e-04,5326.3
1,3101,1.054588,1.93e-04,5418.6
1,3151,0.835139,1.92e-04,5510.9
1,3201,0.943931,1.92e-04,5601.2
1,3251,1.319523,1.92e-04,5692.8
1,3301,1.126146,1.92e-04,5783.2
1,3351,1.178334,1.91e-04,5875.0
1,3401,1.019619,1.91e-04,5967.5
1,3451,1.023359,1.91e-04,6058.1
1,3501,0.656032,1.91e-04,6150.8
1,3551,0.892019,1.90e-04,6241.7
1,3601,0.865641,1.90e-04,6332.1
1,3651,0.787035,1.90e-04,6424.1
1,3701,1.173072,1.89e-04,6517.1
1,3751,1.065444,1.89e-04,6610.0
1,3801,1.088284,1.89e-04,6701.7
1,3851,1.058142,1.89e-04,6794.0
1,3901,0.915268,1.88e-04,6888.3
1,3951,0.899448,1.88e-04,6980.8
1,4001,1.000265,1.88e-04,7072.7
1,4051,1.101377,1.87e-04,7167.8
1,4101,1.178274,1.87e-04,7262.2
1,4151,1.156333,1.87e-04,7355.2
1,4201,0.708347,1.86e-04,7448.6
