epoch,step,loss,lr,elapsed_s
1,1,1.513949,1.00e-04,2.8
1,51,1.265500,1.00e-04,75.9
1,101,1.202643,9.99e-05,149.2
1,151,1.232723,9.99e-05,223.1
1,201,1.069800,9.97e-05,297.6
1,251,1.042449,9.96e-05,372.0
1,301,1.121787,9.94e-05,446.6
1,351,1.074703,9.92e-05,521.1
1,401,1.172135,9.90e-05,595.5
1,451,1.044452,9.87e-05,670.4
1,501,0.987364,9.84e-05,746.4
1,551,0.950204,9.81e-05,822.1
1,601,1.053448,9.77e-05,896.3
1,651,1.053125,9.73e-05,971.3
1,701,0.926356,9.69e-05,1046.2
1,751,0.855527,9.64e-05,1120.1
1,801,1.033830,9.59e-05,1193.5
1,851,0.983198,9.54e-05,1267.0
1,901,1.057004,9.49e-05,1340.7
1,951,0.971426,9.43e-05,1414.1
1,1001,1.047023,9.36e-05,1493.2
1,1051,0.859510,9.30e-05,1566.8
1,1101,1.025781,9.24e-05,1640.2
1,1151,0.860852,9.17e-05,1713.7
1,1201,0.956888,9.09e-05,1787.3
1,1251,0.947836,9.02e-05,1860.7
1,1301,0.907425,8.94e-05,1934.3
1,1351,1.068074,8.87e-05,2007.6
1,1401,1.015320,8.78e-05,2080.9
1,1451,0.991258,8.69e-05,2154.3
1,1501,0.965446,8.61e-05,2233.1
1,1551,0.891498,8.52e-05,2306.3
1,1601,0.982452,8.42e-05,2379.7
1,1651,0.896023,8.33e-05,2453.4
1,1701,0.989223,8.24e-05,2527.1
1,1751,0.894958,8.14e-05,2600.7
1,1801,1.161726,8.03e-05,2674.3
1,1851,0.971706,7.93e-05,2747.8
1,1901,1.027736,7.83e-05,2821.7
1,1951,0.945576,7.73e-05,2895.1
1,2001,1.024337,7.61e-05,2974.0
1,2051,0.912566,7.49e-05,3046.0
2,2052,1.011091,7.49e-05,3339.6
2,2102,0.959911,7.38e-05,3413.6
2,2152,0.893058,7.27e-05,3487.4
2,2202,0.937773,7.16e-05,3561.6
2,2252,1.021248,7.03e-05,3635.8
2,2302,0.960974,6.92e-05,3710.0
2,2352,0.962746,6.81e-05,3784.3
2,2402,0.926942,6.69e-05,3858.7
2,2452,0.937416,6.56e-05,3933.2
2,2502,1.023232,6.44e-05,4007.2
2,2552,1.120931,6.32e-05,4086.4
2,2602,0.867138,6.20e-05,4160.6
2,2652,0.948158,6.06e-05,4234.8
2,2702,0.952632,5.94e-05,4308.7
2,2752,1.062187,5.82e-05,4382.7
2,2802,1.028841,5.70e-05,4456.8
2,2852,0.994318,5.56e-05,4530.8
2,2902,0.978798,5.44e-05,4605.0
2,2952,0.948516,5.32e-05,4679.4
2,3002,0.797499,5.19e-05,4753.7
2,3052,0.880601,5.05e-05,4832.9
2,3102,0.963590,4.93e-05,4907.2
2,3152,0.938770,4.81e-05,4981.5
2,3202,0.962652,4.68e-05,5055.8
2,3252,0.866016,4.54e-05,5129.9
2,3302,1.000226,4.42e-05,5204.2
2,3352,0.851014,4.30e-05,5278.6
2,3402,0.899435,4.18e-05,5352.6
2,3452,0.931547,4.04e-05,5426.6
2,3502,0.913955,3.92e-05,5500.8
2,3552,0.887041,3.80e-05,5580.0
2,3602,0.913345,3.68e-05,5654.2
2,3652,0.923338,3.54e-05,5728.5
2,3702,0.772565,3.42e-05,5802.8
2,3752,0.918128,3.31e-05,5876.9
2,3802,0.897779,3.19e-05,5950.8
2,3852,0.875237,3.06e-05,6024.8
2,3902,0.962536,2.95e-05,6098.6
2,3952,1.022435,2.84e-05,6172.6
2,4002,0.866642,2.73e-05,6246.7
2,4052,0.993630,2.60e-05,6326.4
2,4102,0.915462,2.48e-05,6399.2
3,4103,0.972094,2.48e-05,6690.5
3,4153,0.973949,2.37e-05,6764.7
3,4203,0.917353,2.27e-05,6839.0
3,4253,1.005898,2.17e-05,6913.4
3,4303,0.900170,2.05e-05,6987.9
3,4353,0.687907,1.95e-05,7062.2
3,4403,0.961344,1.86e-05,7136.4
3,4453,0.895612,1.76e-05,7210.5
3,4503,1.138588,1.65e-05,7285.0
3,4553,0.956478,1.56e-05,7359.4
3,4603,0.835963,1.48e-05,7438.7
3,4653,0.923670,1.39e-05,7512.9
3,4703,0.847002,1.29e-05,7587.4
3,4753,0.986723,1.21e-05,7661.8
3,4803,1.068268,1.13e-05,7736.2
3,4853,1.083798,1.06e-05,7810.7
3,4903,1.028215,9.69e-06,7885.1
3,4953,0.900221,8.98e-06,7959.5
3,5003,1.043857,8.29e-06,8034.1
3,5053,0.864193,7.63e-06,8108.6
3,5103,0.917331,6.89e-06,8188.3
3,5153,0.833005,6.28e-06,8262.5
3,5203,0.852244,5.70e-06,8336.9
3,5253,0.820075,5.14e-06,8411.3
3,5303,0.922118,4.53e-06,8485.9
3,5353,0.891756,4.03e-06,8560.1
3,5403,0.873582,3.57e-06,8634.4
3,5453,0.838534,3.12e-06,8708.8
3,5503,1.122971,2.65e-06,8783.3
3,5553,0.869550,2.27e-06,8858.0
3,5603,0.748824,1.92e-06,8937.7
3,5653,1.058618,1.60e-06,9012.1
3,5703,0.879522,1.26e-06,9086.6
3,5753,1.030111,9.98e-07,9161.0
3,5803,0.965291,7.69e-07,9235.7
3,5853,0.990929,5.70e-07,9310.4
3,5903,0.856412,3.75e-07,9384.8
3,5953,0.909523,2.40e-07,9459.2
3,6003,0.840946,1.35e-07,9533.5
3,6053,0.838672,6.01e-08,9608.1
3,6103,0.979447,1.04e-08,9687.6
3,6153,0.923124,1.67e-09,9760.4
