epoch,global_step,loss,lr,elapsed_s
1,1,2.391974,1.00e-04,1.9
1,51,1.208465,1.00e-04,46.1
1,101,1.200439,1.00e-04,88.3
1,151,1.237359,1.00e-04,135.0
1,201,1.228097,9.99e-05,186.8
1,251,1.145125,9.99e-05,234.4
1,301,0.983092,9.99e-05,281.9
1,351,0.911178,9.98e-05,331.0
1,401,1.118862,9.97e-05,386.3
1,451,0.939687,9.97e-05,426.3
1,501,1.069191,9.96e-05,470.7
1,551,0.918197,9.95e-05,515.1
1,601,1.169290,9.94e-05,569.2
1,651,0.904919,9.93e-05,616.2
1,701,0.703508,9.92e-05,662.7
1,751,0.965432,9.91e-05,710.3
1,801,1.089287,9.90e-05,755.7
1,851,0.964522,9.88e-05,793.5
1,901,0.908609,9.87e-05,836.7
1,951,0.831330,9.86e-05,888.0
1,1001,1.602459,9.84e-05,933.4
1,1051,0.818245,9.82e-05,983.3
1,1101,0.988347,9.81e-05,1030.9
1,1151,0.939513,9.79e-05,1076.2
1,1201,1.034792,9.77e-05,1128.3
1,1251,0.845142,9.75e-05,1175.1
1,1301,0.685953,9.73e-05,1228.1
1,1351,0.740512,9.71e-05,1270.2
1,1401,0.934820,9.69e-05,1324.2
1,1451,0.835714,9.66e-05,1366.5
1,1501,0.887147,9.64e-05,1417.3
1,1551,0.974219,9.62e-05,1464.3
1,1601,0.928634,9.59e-05,1509.7
1,1651,0.887199,9.56e-05,1550.9
1,1701,0.834722,9.54e-05,1593.0
1,1751,1.134742,9.51e-05,1642.7
1,1801,0.925973,9.48e-05,1686.8
1,1851,0.655772,9.46e-05,1730.3
1,1901,0.785339,9.43e-05,1779.0
1,1951,1.160146,9.40e-05,1824.4
1,2001,0.789775,9.36e-05,1874.2
1,2051,0.799303,9.33e-05,1920.7
1,2101,0.502048,9.30e-05,1968.3
1,2151,1.242300,9.27e-05,2015.3
1,2201,0.795449,9.24e-05,2052.0
1,2251,0.794921,9.20e-05,2100.7
1,2301,1.079338,9.17e-05,2149.3
1,2351,0.887860,9.13e-05,2195.8
1,2401,1.028530,9.09e-05,2243.2
1,2451,0.680697,9.05e-05,2289.9
1,2501,0.803567,9.02e-05,2334.1
1,2551,0.762018,8.98e-05,2381.4
1,2601,1.007539,8.94e-05,2428.8
1,2651,0.784724,8.90e-05,2471.8
1,2701,1.688916,8.87e-05,2518.1
1,2751,0.638829,8.83e-05,2558.2
1,2801,0.758721,8.77e-05,2600.2
1,2851,1.011730,8.73e-05,2645.5
1,2901,0.580449,8.69e-05,2690.9
1,2951,1.177505,8.65e-05,2735.1
1,3001,0.757501,8.61e-05,2781.5
1,3051,1.358628,8.56e-05,2821.7
1,3101,0.984134,8.52e-05,2866.9
1,3151,1.199961,8.48e-05,2908.9
1,3201,0.658509,8.42e-05,2952.1
1,3251,1.216270,8.37e-05,2992.0
1,3301,1.063505,8.33e-05,3039.6
1,3351,0.795859,8.28e-05,3082.3
1,3401,0.989255,8.23e-05,3128.5
1,3451,0.661020,8.19e-05,3176.9
1,3501,1.092754,8.14e-05,3226.7
1,3551,0.801047,8.09e-05,3277.2
1,3601,0.895536,8.03e-05,3319.0
1,3651,0.841630,7.98e-05,3364.3
1,3701,0.884579,7.93e-05,3412.9
1,3751,0.636702,7.88e-05,3462.8
1,3801,0.815557,7.83e-05,3505.0
1,3851,0.940808,7.78e-05,3556.4
1,3901,0.534159,7.73e-05,3607.5
1,3951,0.749395,7.67e-05,3652.1
1,4001,0.792740,7.61e-05,3698.8
1,4051,0.875962,7.55e-05,3739.7
1,4101,0.668342,7.48e-05,3789.6
2,4102,0.536991,7.48e-05,3917.5
2,4152,0.747295,7.43e-05,3975.3
2,4202,0.809072,7.38e-05,4019.5
2,4252,0.827900,7.32e-05,4068.8
2,4302,0.452062,7.27e-05,4115.9
2,4352,0.775862,7.21e-05,4163.9
2,4402,0.507516,7.16e-05,4208.8
2,4452,0.880894,7.10e-05,4257.1
2,4502,0.511105,7.03e-05,4295.5
2,4552,0.913895,6.97e-05,4342.6
2,4602,0.620416,6.91e-05,4392.6
2,4652,1.095013,6.86e-05,4437.4
2,4702,0.714936,6.80e-05,4486.5
2,4752,0.985508,6.74e-05,4534.0
2,4802,0.640799,6.68e-05,4583.1
2,4852,0.942940,6.63e-05,4630.4
2,4902,1.121499,6.55e-05,4679.3
2,4952,0.600292,6.49e-05,4721.5
2,5002,0.899161,6.43e-05,4766.6
2,5052,0.649305,6.37e-05,4817.5
2,5102,1.233277,6.31e-05,4863.9
2,5152,1.014157,6.25e-05,4907.2
2,5202,1.281732,6.20e-05,4955.1
2,5252,0.267418,6.14e-05,5000.4
2,5302,0.591496,6.06e-05,5044.7
2,5352,0.761603,6.00e-05,5099.2
2,5402,0.662465,5.94e-05,5141.2
2,5452,0.758890,5.87e-05,5191.9
2,5502,0.923701,5.81e-05,5234.6
2,5552,0.784183,5.75e-05,5280.8
2,5602,1.022989,5.69e-05,5324.6
2,5652,0.527165,5.63e-05,5367.8
2,5702,0.808343,5.55e-05,5410.9
2,5752,0.742023,5.49e-05,5452.1
2,5802,0.532102,5.43e-05,5497.4
2,5852,0.656288,5.37e-05,5550.3
2,5902,0.972057,5.31e-05,5592.1
2,5952,0.883732,5.25e-05,5640.3
2,6002,0.905347,5.18e-05,5682.2
2,6052,0.517927,5.12e-05,5726.5
2,6102,0.937912,5.04e-05,5776.1
2,6152,0.579983,4.98e-05,5824.6
2,6202,0.357520,4.92e-05,5874.9
2,6252,0.927730,4.86e-05,5918.8
2,6302,0.601785,4.80e-05,5963.6
2,6352,0.888186,4.73e-05,6012.8
2,6402,0.953620,4.67e-05,6059.9
2,6452,0.841081,4.61e-05,6106.9
2,6502,0.650756,4.53e-05,6154.1
2,6552,0.888851,4.47e-05,6200.3
2,6602,0.844464,4.41e-05,6248.4
2,6652,0.735521,4.35e-05,6289.3
2,6702,0.551505,4.29e-05,6342.0
2,6752,1.007920,4.23e-05,6391.0
2,6802,0.493559,4.17e-05,6437.0
2,6852,0.861036,4.10e-05,6482.3
2,6902,0.686311,4.02e-05,6530.1
2,6952,1.039328,3.96e-05,6581.6
2,7002,0.553038,3.90e-05,6636.4
2,7052,0.607168,3.84e-05,6683.4
2,7102,0.874054,3.79e-05,6728.3
2,7152,0.659228,3.73e-05,6774.3
2,7202,0.587294,3.67e-05,6822.5
2,7252,1.079757,3.61e-05,6867.4
2,7302,0.974040,3.53e-05,6916.2
2,7352,0.726517,3.47e-05,6964.3
2,7402,0.796728,3.41e-05,7012.4
2,7452,0.809613,3.35e-05,7054.0
2,7502,1.057321,3.30e-05,7095.5
2,7552,0.752871,3.24e-05,7141.3
2,7602,0.856096,3.18e-05,7192.1
2,7652,0.955075,3.12e-05,7242.0
2,7702,1.422252,3.05e-05,7285.9
2,7752,0.678523,2.99e-05,7334.8
2,7802,0.707148,2.94e-05,7375.0
2,7852,0.749808,2.88e-05,7430.3
2,7902,0.749201,2.83e-05,7476.0
2,7952,0.844062,2.77e-05,7533.4
2,8002,1.556534,2.72e-05,7579.4
2,8052,0.852220,2.66e-05,7631.5
2,8102,0.559272,2.59e-05,7677.8
2,8152,0.820535,2.54e-05,7726.6
2,8202,0.706584,2.46e-05,7769.7
3,8203,0.762064,2.46e-05,7899.7
3,8253,0.704094,2.41e-05,7946.7
3,8303,1.096905,2.36e-05,7997.1
3,8353,0.648951,2.31e-05,8045.4
3,8403,0.749945,2.26e-05,8094.3
3,8453,0.648354,2.21e-05,8137.6
3,8503,0.927350,2.15e-05,8189.5
3,8553,0.668731,2.10e-05,8232.0
3,8603,0.421674,2.04e-05,8284.4
3,8653,0.478450,1.99e-05,8329.6
3,8703,0.656526,1.94e-05,8378.7
3,8753,0.599477,1.89e-05,8427.7
3,8803,1.613449,1.84e-05,8475.2
3,8853,0.610174,1.80e-05,8525.4
3,8903,0.569616,1.75e-05,8574.4
3,8953,0.643646,1.70e-05,8617.9
3,9003,0.796192,1.64e-05,8658.0
3,9053,0.982470,1.60e-05,8698.1
3,9103,0.586512,1.55e-05,8738.7
3,9153,1.023038,1.51e-05,8788.9
3,9203,0.522554,1.46e-05,8833.4
3,9253,0.635651,1.42e-05,8872.1
3,9303,0.676721,1.38e-05,8919.7
3,9353,0.782657,1.34e-05,8971.2
3,9403,0.603747,1.28e-05,9019.7
3,9453,0.566402,1.24e-05,9072.6
3,9503,0.410278,1.20e-05,9126.6
3,9553,0.438823,1.16e-05,9173.5
3,9603,0.415324,1.12e-05,9228.2
3,9653,0.801626,1.08e-05,9273.8
3,9703,0.772974,1.05e-05,9326.7
3,9753,0.845172,1.01e-05,9376.0
3,9803,0.734983,9.60e-06,9425.3
3,9853,0.790302,9.24e-06,9471.6
3,9903,0.557536,8.89e-06,9516.9
3,9953,0.547794,8.54e-06,9562.1
3,10003,0.692913,8.20e-06,9610.2
3,10053,0.802456,7.87e-06,9662.3
3,10103,0.766056,7.54e-06,9714.0
3,10153,0.669875,7.22e-06,9760.3
3,10203,0.957105,6.80e-06,9805.2
3,10253,1.069843,6.50e-06,9851.5
3,10303,0.991675,6.20e-06,9896.6
3,10353,0.644709,5.90e-06,9941.9
3,10403,1.113778,5.62e-06,9980.7
3,10453,0.678076,5.34e-06,10033.3
3,10503,0.566130,5.07e-06,10074.1
3,10553,0.588107,4.80e-06,10128.7
3,10603,0.587118,4.46e-06,10175.9
3,10653,0.764979,4.21e-06,10220.3
3,10703,0.768867,3.96e-06,10267.4
3,10753,0.554551,3.73e-06,10315.8
3,10803,1.018552,3.50e-06,10354.8
3,10853,0.772741,3.28e-06,10411.3
3,10903,1.101147,3.06e-06,10451.5
3,10953,0.481358,2.85e-06,10496.6
3,11003,0.608115,2.59e-06,10539.1
3,11053,1.180956,2.40e-06,10587.2
3,11103,0.558288,2.21e-06,10636.5
3,11153,0.644641,2.04e-06,10689.1
3,11203,0.622016,1.87e-06,10739.7
3,11253,0.557759,1.70e-06,10789.1
3,11303,0.613085,1.55e-06,10833.9
3,11353,0.413819,1.40e-06,10880.0
3,11403,0.485940,1.21e-06,10927.1
3,11453,0.664269,1.08e-06,10967.8
3,11503,0.609974,9.61e-07,11021.7
3,11553,0.697242,8.45e-07,11066.9
3,11603,0.738318,7.36e-07,11111.9
3,11653,1.087309,6.35e-07,11159.1
3,11703,0.499873,5.41e-07,11207.6
3,11753,0.667194,4.55e-07,11248.3
3,11803,0.587107,3.51e-07,11291.3
3,11853,0.939540,2.83e-07,11345.3
3,11903,1.234142,2.21e-07,11385.0
3,11953,0.893776,1.67e-07,11426.9
3,12003,0.807375,1.21e-07,11476.4
3,12053,0.389000,8.20e-08,11523.1
3,12103,0.661698,5.06e-08,11575.9
3,12153,0.542443,2.68e-08,11619.1
3,12203,0.771201,6.69e-09,11665.5
3,12253,0.634265,4.18e-10,11716.1
3,12303,0.946419,3.76e-09,11759.8
