epoch,global_step,loss,lr,elapsed_s
1,1,2.647734,2.00e-04,1.4
1,51,1.189267,2.00e-04,73.7
1,101,1.208446,2.00e-04,144.7
1,151,1.217223,2.00e-04,215.9
1,201,1.506703,1.99e-04,287.3
1,251,1.252493,1.99e-04,360.9
1,301,1.286746,1.99e-04,435.6
1,351,1.122438,1.98e-04,511.2
1,401,1.212619,1.98e-04,585.2
1,451,1.395516,1.97e-04,659.3
1,501,1.113215,1.97e-04,730.6
1,551,1.134191,1.96e-04,801.6
1,601,1.163543,1.95e-04,872.3
1,651,1.181217,1.95e-04,943.5
1,701,0.956908,1.94e-04,1014.4
1,751,1.054850,1.93e-04,1084.8
1,801,1.071310,1.92e-04,1154.9
1,851,1.020962,1.91e-04,1225.1
1,901,0.978054,1.90e-04,1295.3
1,951,1.021489,1.89e-04,1365.9
1,1001,1.144299,1.87e-04,1436.2
1,1051,1.125629,1.86e-04,1507.1
1,1101,1.099723,1.85e-04,1578.5
1,1151,1.225228,1.83e-04,1649.6
1,1201,1.123213,1.82e-04,1720.8
1,1251,1.181614,1.80e-04,1792.5
1,1301,1.186817,1.79e-04,1864.2
1,1351,1.126065,1.77e-04,1935.6
1,1401,0.903411,1.76e-04,2006.8
1,1451,1.020678,1.74e-04,2078.1
1,1501,0.982697,1.72e-04,2149.5
1,1551,0.863200,1.70e-04,2221.2
1,1601,1.092864,1.68e-04,2292.7
1,1651,1.086481,1.67e-04,2364.2
1,1701,1.255150,1.65e-04,2435.5
1,1751,0.981069,1.63e-04,2506.8
1,1801,0.981975,1.61e-04,2578.3
1,1851,1.067167,1.59e-04,2649.9
1,1901,0.867698,1.57e-04,2722.3
1,1951,0.938906,1.55e-04,2793.8
1,2001,0.869665,1.52e-04,2865.9
1,2051,1.080444,1.50e-04,2938.3
2,2052,0.988257,1.50e-04,3086.0
2,2102,1.021199,1.48e-04,3157.3
2,2152,0.874854,1.45e-04,3230.3
2,2202,0.836119,1.43e-04,3308.0
2,2252,1.069890,1.41e-04,3387.0
2,2302,0.867735,1.38e-04,3466.6
2,2352,0.831294,1.36e-04,3546.9
2,2402,0.995242,1.34e-04,3623.5
2,2452,0.802000,1.31e-04,3694.7
2,2502,1.067767,1.29e-04,3765.4
2,2552,0.972852,1.26e-04,3836.3
2,2602,0.826762,1.24e-04,3907.2
2,2652,0.954913,1.21e-04,3978.2
2,2702,0.736026,1.19e-04,4048.9
2,2752,0.653847,1.16e-04,4119.2
2,2802,1.138850,1.14e-04,4189.4
2,2852,1.067196,1.11e-04,4259.5
2,2902,0.950205,1.09e-04,4329.7
2,2952,0.491589,1.06e-04,4400.2
2,3002,0.698553,1.04e-04,4471.0
2,3052,0.936940,1.01e-04,4541.3
2,3102,0.728013,9.86e-05,4611.4
2,3152,1.105725,9.61e-05,4681.6
2,3202,0.744954,9.37e-05,4751.9
2,3252,0.562353,9.08e-05,4822.0
2,3302,1.062824,8.84e-05,4892.5
2,3352,0.780978,8.60e-05,4962.5
2,3402,0.838527,8.35e-05,5032.8
2,3452,0.858591,8.07e-05,5103.2
2,3502,0.580958,7.83e-05,5173.3
2,3552,0.611092,7.59e-05,5243.8
2,3602,0.476056,7.36e-05,5314.5
2,3652,0.635264,7.08e-05,5385.1
2,3702,0.783708,6.85e-05,5455.3
2,3752,0.638823,6.62e-05,5525.7
2,3802,0.572994,6.39e-05,5596.1
2,3852,0.966609,6.12e-05,5668.0
2,3902,0.901483,5.90e-05,5739.9
2,3952,1.210180,5.67e-05,5811.3
2,4002,1.298778,5.45e-05,5883.1
2,4052,0.560678,5.20e-05,5954.9
2,4102,1.155487,4.95e-05,6025.2
3,4103,0.418326,4.95e-05,6175.9
3,4153,0.795500,4.74e-05,6247.4
3,4203,0.747763,4.54e-05,6318.8
3,4253,0.437305,4.33e-05,6389.8
3,4303,0.688719,4.10e-05,6461.3
3,4353,0.451276,3.90e-05,6533.4
3,4403,0.758007,3.71e-05,6607.3
3,4453,1.141185,3.52e-05,6680.5
3,4503,0.525533,3.31e-05,6751.6
3,4553,1.140364,3.13e-05,6824.3
3,4603,0.711506,2.95e-05,6902.6
3,4653,0.511811,2.78e-05,6980.7
3,4703,0.298604,2.58e-05,7058.9
3,4753,0.687002,2.42e-05,7136.6
3,4803,0.421610,2.26e-05,7214.5
3,4853,0.567892,2.11e-05,7291.9
3,4903,0.627894,1.94e-05,7364.6
3,4953,0.605634,1.80e-05,7438.4
3,5003,0.321713,1.66e-05,7510.2
3,5053,0.485589,1.53e-05,7582.4
3,5103,0.404760,1.38e-05,7653.6
3,5153,0.528463,1.26e-05,7724.3
3,5203,0.598729,1.14e-05,7794.8
3,5253,0.561322,1.03e-05,7865.2
3,5303,0.580124,9.06e-06,7935.5
3,5353,0.536547,8.07e-06,8006.0
3,5403,0.544866,7.13e-06,8076.2
3,5453,0.375906,6.25e-06,8146.5
3,5503,0.688283,5.29e-06,8216.7
3,5553,0.679066,4.53e-06,8287.0
3,5603,1.383100,3.83e-06,8357.3
3,5653,0.535877,3.19e-06,8427.9
3,5703,0.923735,2.51e-06,8498.3
3,5753,0.398812,2.00e-06,8568.5
3,5803,0.366632,1.54e-06,8638.8
3,5853,0.349438,1.14e-06,8709.2
3,5903,0.755088,7.50e-07,8779.4
3,5953,0.279208,4.80e-07,8850.0
3,6003,0.607814,2.70e-07,8920.3
3,6053,0.594256,1.20e-07,8990.5
3,6103,0.381709,2.09e-08,9060.8
3,6153,0.705785,3.34e-09,9130.2
