epoch,global_step,loss,lr,elapsed_s
1,1,3.046314,2.00e-04,2.1
1,51,1.228012,2.00e-04,97.9
1,101,0.832651,2.00e-04,193.6
1,151,0.927942,2.00e-04,289.9
1,201,1.327194,1.99e-04,386.4
1,251,0.643377,1.99e-04,481.2
1,301,0.975736,1.99e-04,576.6
1,351,0.966494,1.98e-04,671.0
1,401,0.627380,1.98e-04,767.9
1,451,0.879355,1.97e-04,863.3
1,501,0.960926,1.97e-04,957.3
1,551,1.185835,1.96e-04,1051.8
1,601,0.614750,1.95e-04,1145.7
1,651,0.692161,1.95e-04,1240.2
1,701,0.680082,1.94e-04,1336.4
1,751,0.544162,1.93e-04,1431.3
1,801,0.560816,1.92e-04,1526.2
1,851,0.500629,1.91e-04,1619.6
1,901,0.575470,1.90e-04,1714.3
1,951,0.632792,1.89e-04,1812.1
1,1001,0.722844,1.87e-04,1907.6
1,1051,0.317053,1.86e-04,2001.8
1,1101,0.453685,1.85e-04,2099.8
1,1151,0.482702,1.83e-04,2196.8
1,1201,0.798736,1.82e-04,2292.1
1,1251,0.660867,1.80e-04,2386.7
1,1301,0.643095,1.79e-04,2481.0
1,1351,0.505663,1.77e-04,2575.5
1,1401,1.738920,1.76e-04,2668.1
1,1451,0.466961,1.74e-04,2764.2
1,1501,0.414718,1.72e-04,2860.3
1,1551,0.326645,1.70e-04,2956.2
1,1601,1.004374,1.68e-04,3052.8
1,1651,0.370341,1.67e-04,3149.0
1,1701,0.277154,1.65e-04,3245.3
1,1751,0.323388,1.63e-04,3342.0
1,1801,0.405376,1.61e-04,3438.7
1,1851,0.197394,1.59e-04,3535.3
1,1901,0.305823,1.57e-04,3629.3
1,1951,0.774153,1.55e-04,3724.5
1,2001,0.647048,1.52e-04,3819.8
1,2051,0.757562,1.50e-04,3915.2
2,2052,0.530242,1.50e-04,4113.1
2,2102,0.199826,1.48e-04,4210.0
2,2152,0.325126,1.45e-04,4304.3
2,2202,0.325160,1.43e-04,4402.0
2,2252,0.584999,1.41e-04,4497.7
2,2302,0.363127,1.38e-04,4592.8
2,2352,0.254848,1.36e-04,4690.3
2,2402,0.774188,1.34e-04,4786.2
2,2452,0.307111,1.31e-04,4881.9
2,2502,0.786777,1.29e-04,4974.3
2,2552,0.651274,1.26e-04,5068.5
2,2602,0.343704,1.24e-04,5165.1
2,2652,0.258203,1.21e-04,5260.2
2,2702,0.430528,1.19e-04,5356.8
2,2752,0.326511,1.16e-04,5451.7
2,2802,0.366807,1.14e-04,5548.4
2,2852,0.536224,1.11e-04,5643.7
2,2902,0.195964,1.09e-04,5740.0
2,2952,0.287828,1.06e-04,5836.8
2,3002,0.301907,1.04e-04,5933.7
2,3052,0.118531,1.01e-04,6031.6
2,3102,0.181220,9.86e-05,6126.5
2,3152,0.268780,9.61e-05,6222.3
2,3202,0.239955,9.37e-05,6316.4
2,3252,0.394026,9.08e-05,6412.2
2,3302,0.370773,8.84e-05,6509.2
2,3352,0.305156,8.60e-05,6604.3
2,3402,0.321686,8.35e-05,6700.7
2,3452,0.344310,8.07e-05,6796.2
2,3502,0.411097,7.83e-05,6891.6
2,3552,0.152505,7.59e-05,6987.7
2,3602,0.474810,7.36e-05,7084.2
2,3652,1.551059,7.08e-05,7176.2
2,3702,0.270118,6.85e-05,7273.1
2,3752,0.107318,6.62e-05,7369.8
2,3802,0.634327,6.39e-05,7465.3
2,3852,0.163170,6.12e-05,7561.9
2,3902,0.353869,5.90e-05,7656.8
2,3952,0.433912,5.67e-05,7750.3
2,4002,0.478271,5.45e-05,7845.0
2,4052,0.270681,5.20e-05,7940.4
2,4102,0.156304,4.95e-05,8032.2
3,4103,0.134113,4.95e-05,8229.7
3,4153,0.152977,4.74e-05,8326.9
3,4203,0.185304,4.54e-05,8422.1
3,4253,0.360766,4.33e-05,8517.8
3,4303,0.594046,4.10e-05,8612.7
3,4353,0.199067,3.90e-05,8707.7
3,4403,0.412185,3.71e-05,8802.1
3,4453,0.783921,3.52e-05,8898.9
3,4503,0.114380,3.31e-05,8993.9
3,4553,0.128054,3.13e-05,9088.7
3,4603,0.322122,2.95e-05,9183.6
3,4653,0.325630,2.78e-05,9277.1
3,4703,0.045747,2.58e-05,9372.5
3,4753,1.234520,2.42e-05,9469.8
3,4803,0.369788,2.26e-05,9565.4
3,4853,0.161325,2.11e-05,9659.2
3,4903,0.210489,1.94e-05,9753.8
3,4953,0.170115,1.80e-05,9848.5
3,5003,0.544693,1.66e-05,9943.6
3,5053,0.087280,1.53e-05,10037.6
3,5103,0.135040,1.38e-05,10134.3
3,5153,0.273961,1.26e-05,10228.5
3,5203,0.398589,1.14e-05,10322.9
3,5253,0.133340,1.03e-05,10418.3
3,5303,0.227609,9.06e-06,10513.4
3,5353,0.396225,8.07e-06,10609.8
3,5403,0.215654,7.13e-06,10704.9
3,5453,0.423961,6.25e-06,10800.3
3,5503,0.432795,5.29e-06,10895.6
3,5553,0.101374,4.53e-06,10991.2
3,5603,0.552661,3.83e-06,11086.2
3,5653,0.292821,3.19e-06,11182.1
3,5703,0.592058,2.51e-06,11276.4
3,5753,0.281336,2.00e-06,11371.1
3,5803,0.161236,1.54e-06,11468.0
3,5853,0.284899,1.14e-06,11564.3
3,5903,0.319120,7.50e-07,11658.6
3,5953,0.134042,4.80e-07,11754.7
3,6003,0.170057,2.70e-07,11850.2
3,6053,0.104232,1.20e-07,11945.3
3,6103,0.534023,2.09e-08,12040.2
3,6153,0.138342,3.34e-09,12135.2
