07-02-2026 09:41:47 RAM 1776/7607MB (lfb 12x4MB) SWAP 256/3804MB (cached 1MB) CPU [37%@1510,15%@1510,19%@1510,24%@1510,22%@1510,93%@1510] GR3D_FREQ 0% cpu@61.125C soc2@59.406C soc0@57.531C gpu@60.437C tj@61.031C soc1@59.656C VDD_IN 6417mW/6417mW VDD_CPU_GPU_CV 1740mW/1740mW VDD_SOC 1505mW/1505mW
07-02-2026 09:41:48 RAM 1809/7607MB (lfb 12x4MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 0% cpu@60.937C soc2@59.281C soc0@57.5C gpu@60.5C tj@60.937C soc1@59.812C VDD_IN 6180mW/6299mW VDD_CPU_GPU_CV 1542mW/1641mW VDD_SOC 1505mW/1505mW
07-02-2026 09:41:49 RAM 1834/7607MB (lfb 12x4MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,97%@1510] GR3D_FREQ 0% cpu@60.937C soc2@59.312C soc0@57.468C gpu@60.687C tj@60.937C soc1@59.593C VDD_IN 6140mW/6246mW VDD_CPU_GPU_CV 1463mW/1582mW VDD_SOC 1505mW/1505mW
07-02-2026 09:41:50 RAM 1945/7607MB (lfb 12x4MB) SWAP 256/3804MB (cached 1MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,76%@1510] GR3D_FREQ 0% cpu@60.937C soc2@59.312C soc0@57.593C gpu@60.75C tj@60.937C soc1@59.625C VDD_IN 6061mW/6200mW VDD_CPU_GPU_CV 1502mW/1562mW VDD_SOC 1465mW/1495mW
07-02-2026 09:41:51 RAM 2468/7607MB (lfb 7x4MB) SWAP 256/3804MB (cached 1MB) CPU [10%@1510,41%@1510,9%@1510,9%@1510,11%@1510,89%@1510] GR3D_FREQ 0% cpu@61.25C soc2@59.343C soc0@57.437C gpu@60.375C tj@61.25C soc1@59.625C VDD_IN 6813mW/6322mW VDD_CPU_GPU_CV 1819mW/1613mW VDD_SOC 1624mW/1521mW
07-02-2026 09:41:52 RAM 2467/7607MB (lfb 19x4MB) SWAP 256/3804MB (cached 1MB) CPU [3%@1510,43%@1510,5%@1510,21%@1510,7%@1510,56%@1510] GR3D_FREQ 0% cpu@61.062C soc2@59.375C soc0@57.437C gpu@60.375C tj@61.062C soc1@59.625C VDD_IN 6378mW/6332mW VDD_CPU_GPU_CV 1621mW/1615mW VDD_SOC 1545mW/1525mW
07-02-2026 09:41:53 RAM 2471/7607MB (lfb 19x4MB) SWAP 256/3804MB (cached 1MB) CPU [8%@1510,93%@1510,10%@1510,8%@1510,13%@1510,6%@1510] GR3D_FREQ 0% cpu@61C soc2@59.218C soc0@57.468C gpu@60.281C tj@61C soc1@59.656C VDD_IN 6576mW/6366mW VDD_CPU_GPU_CV 1661mW/1621mW VDD_SOC 1584mW/1533mW
07-02-2026 09:41:54 RAM 2816/7607MB (lfb 15x4MB) SWAP 256/3804MB (cached 1MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,95%@1510,1%@1510] GR3D_FREQ 99% cpu@61C soc2@59.5C soc0@57.468C gpu@61.187C tj@61.187C soc1@59.687C VDD_IN 9413mW/6747mW VDD_CPU_GPU_CV 3395mW/1843mW VDD_SOC 2017mW/1594mW
07-02-2026 09:41:55 RAM 2816/7607MB (lfb 15x4MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,88%@1510,0%@1510] GR3D_FREQ 98% cpu@61.25C soc2@59.656C soc0@57.718C gpu@61.562C tj@61.562C soc1@59.593C VDD_IN 11311mW/7254mW VDD_CPU_GPU_CV 4494mW/2137mW VDD_SOC 2290mW/1671mW
07-02-2026 09:41:56 RAM 2816/7607MB (lfb 15x4MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,88%@1510,0%@1510] GR3D_FREQ 97% cpu@61.5C soc2@59.843C soc0@57.781C gpu@61.687C tj@61.843C soc1@59.75C VDD_IN 11430mW/7672mW VDD_CPU_GPU_CV 4573mW/2381mW VDD_SOC 2329mW/1737mW
07-02-2026 09:41:57 RAM 2816/7607MB (lfb 15x4MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,89%@1510,0%@1510] GR3D_FREQ 99% cpu@61.625C soc2@60.093C soc0@57.718C gpu@61.968C tj@61.968C soc1@59.75C VDD_IN 11470mW/8017mW VDD_CPU_GPU_CV 4612mW/2584mW VDD_SOC 2329mW/1791mW
07-02-2026 09:41:58 RAM 2816/7607MB (lfb 15x4MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,88%@1510,0%@1510] GR3D_FREQ 99% cpu@61.437C soc2@60.125C soc0@57.843C gpu@62.156C tj@62.156C soc1@59.937C VDD_IN 11509mW/8308mW VDD_CPU_GPU_CV 4652mW/2756mW VDD_SOC 2329mW/1836mW
07-02-2026 09:41:59 RAM 2816/7607MB (lfb 15x4MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,88%@1510,0%@1510] GR3D_FREQ 99% cpu@61.593C soc2@60.25C soc0@58.062C gpu@62.187C tj@62.187C soc1@60.031C VDD_IN 11509mW/8554mW VDD_CPU_GPU_CV 4652mW/2902mW VDD_SOC 2329mW/1874mW
07-02-2026 09:42:00 RAM 2816/7607MB (lfb 15x4MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,88%@1510,0%@1510] GR3D_FREQ 99% cpu@61.656C soc2@60.25C soc0@58.156C gpu@62.281C tj@62.281C soc1@59.968C VDD_IN 11549mW/8768mW VDD_CPU_GPU_CV 4612mW/3024mW VDD_SOC 2329mW/1906mW
07-02-2026 09:42:01 RAM 2816/7607MB (lfb 15x4MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,88%@1510,0%@1510] GR3D_FREQ 92% cpu@61.906C soc2@60.375C soc0@58.062C gpu@62.375C tj@62.375C soc1@60C VDD_IN 11509mW/8951mW VDD_CPU_GPU_CV 4573mW/3127mW VDD_SOC 2329mW/1934mW
07-02-2026 09:42:02 RAM 2520/7607MB (lfb 36x4MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,91%@1510,0%@1510] GR3D_FREQ 0% cpu@61.781C soc2@60.187C soc0@58.156C gpu@61.687C tj@61.781C soc1@60.125C VDD_IN 8978mW/8953mW VDD_CPU_GPU_CV 3040mW/3122mW VDD_SOC 1977mW/1937mW
