07-02-2026 09:43:24 RAM 4268/7607MB (lfb 9x2MB) SWAP 256/3804MB (cached 1MB) CPU [22%@1510,54%@1510,22%@1510,26%@1510,19%@1510,13%@1510] GR3D_FREQ 0% cpu@59.562C soc2@57.843C soc0@56.062C gpu@59.031C tj@59.562C soc1@58.187C VDD_IN 6259mW/6259mW VDD_CPU_GPU_CV 1661mW/1661mW VDD_SOC 1505mW/1505mW
07-02-2026 09:43:25 RAM 4331/7607MB (lfb 1x4MB) SWAP 256/3804MB (cached 1MB) CPU [1%@1510,85%@1510,2%@1510,3%@1510,3%@1510,0%@1510] GR3D_FREQ 0% cpu@59.718C soc2@57.843C soc0@55.968C gpu@59.062C tj@59.718C soc1@58.218C VDD_IN 6061mW/6160mW VDD_CPU_GPU_CV 1502mW/1582mW VDD_SOC 1465mW/1485mW
07-02-2026 09:43:26 RAM 4354/7607MB (lfb 1x4MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,95%@1510,0%@1510,2%@1510,0%@1510,0%@1510] GR3D_FREQ 0% cpu@59.593C soc2@57.968C soc0@56.093C gpu@58.937C tj@59.593C soc1@58.218C VDD_IN 6061mW/6127mW VDD_CPU_GPU_CV 1502mW/1555mW VDD_SOC 1465mW/1478mW
07-02-2026 09:43:27 RAM 4372/7607MB (lfb 1x4MB) SWAP 257/3804MB (cached 1MB) CPU [1%@1510,84%@1510,0%@1510,0%@1510,0%@1510,3%@1510] GR3D_FREQ 0% cpu@59.343C soc2@57.781C soc0@56.031C gpu@58.968C tj@59.343C soc1@58.281C VDD_IN 5902mW/6071mW VDD_CPU_GPU_CV 1423mW/1522mW VDD_SOC 1465mW/1475mW
07-02-2026 09:43:28 RAM 4658/7607MB (lfb 13x1MB) SWAP 274/3804MB (cached 1MB) CPU [0%@1510,76%@1510,0%@1510,0%@1510,0%@1510,20%@1510] GR3D_FREQ 0% cpu@59.593C soc2@57.75C soc0@56.125C gpu@59C tj@59.593C soc1@58.125C VDD_IN 6180mW/6093mW VDD_CPU_GPU_CV 1582mW/1534mW VDD_SOC 1465mW/1473mW
07-02-2026 09:43:29 RAM 5017/7607MB (lfb 11x1MB) SWAP 369/3804MB (cached 1MB) CPU [28%@1510,51%@1510,16%@1510,5%@1510,3%@1510,77%@1510] GR3D_FREQ 0% cpu@59.625C soc2@57.875C soc0@56.031C gpu@59.031C tj@59.625C soc1@58.281C VDD_IN 6615mW/6180mW VDD_CPU_GPU_CV 1819mW/1582mW VDD_SOC 1545mW/1485mW
07-02-2026 09:43:30 RAM 6141/7607MB (lfb 1x4MB) SWAP 497/3804MB (cached 1MB) CPU [86%@1510,36%@1510,32%@1510,33%@1510,53%@1510,82%@1510] GR3D_FREQ 0% cpu@59.843C soc2@57.968C soc0@56C gpu@59.25C tj@59.843C soc1@58.312C VDD_IN 7091mW/6310mW VDD_CPU_GPU_CV 2096mW/1655mW VDD_SOC 1584mW/1499mW
07-02-2026 09:43:31 RAM 6140/7607MB (lfb 5x4MB) SWAP 530/3804MB (cached 1MB) CPU [28%@1510,7%@1510,7%@1510,4%@1510,51%@1510,50%@1510] GR3D_FREQ 0% cpu@59.593C soc2@57.937C soc0@56.031C gpu@59.312C tj@59.593C soc1@58.312C VDD_IN 6457mW/6328mW VDD_CPU_GPU_CV 1621mW/1651mW VDD_SOC 1545mW/1505mW
07-02-2026 09:43:32 RAM 6141/7607MB (lfb 5x4MB) SWAP 530/3804MB (cached 1MB) CPU [8%@1510,8%@1510,8%@1510,0%@1510,51%@1510,49%@1510] GR3D_FREQ 0% cpu@59.531C soc2@57.906C soc0@56.125C gpu@59.312C tj@59.531C soc1@58.312C VDD_IN 6378mW/6334mW VDD_CPU_GPU_CV 1542mW/1639mW VDD_SOC 1545mW/1509mW
07-02-2026 09:43:33 RAM 6140/7607MB (lfb 5x4MB) SWAP 530/3804MB (cached 1MB) CPU [8%@1510,7%@1510,7%@1510,0%@1510,46%@1510,52%@1510] GR3D_FREQ 0% cpu@59.593C soc2@57.937C soc0@56.156C gpu@59.312C tj@59.593C soc1@58.25C VDD_IN 6378mW/6338mW VDD_CPU_GPU_CV 1502mW/1625mW VDD_SOC 1545mW/1513mW
07-02-2026 09:43:34 RAM 6168/7607MB (lfb 5x2MB) SWAP 530/3804MB (cached 1MB) CPU [20%@1510,20%@1510,20%@1510,7%@1510,51%@1510,54%@1510] GR3D_FREQ 2% cpu@59.718C soc2@58C soc0@56.062C gpu@59.468C tj@59.718C soc1@58.281C VDD_IN 7368mW/6432mW VDD_CPU_GPU_CV 1819mW/1643mW VDD_SOC 1782mW/1537mW
