t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd,loop_ms
0.0,ACQUIRE,0.01,-0.01,-8.81,0.51,-0.01,1,0,,,,0.0,0.0,4.4
0.05,ACQUIRE,0.01,-0.01,-8.92,0.54,-0.01,1,0,,,,0.0,0.0,1.4
0.1,ACQUIRE,0.01,-0.01,-8.92,0.56,-0.01,1,0,,,,0.0,0.0,0.6
0.15,ACQUIRE,0.01,-0.01,-9.03,0.59,-0.01,1,0,,,,0.0,0.0,1.5
0.2,ACQUIRE,0.01,-0.01,-9.03,0.61,-0.01,1,0,,,,0.0,0.0,0.6
0.25,ACQUIRE,0.01,-0.01,-9.13,0.64,-0.01,1,0,,,,0.0,0.0,1.5
0.3,ACQUIRE,0.01,-0.01,-9.13,0.66,-0.01,1,0,,,,0.0,0.0,0.8
0.35,ACQUIRE,0.01,-0.01,-9.22,0.69,-0.01,1,0,,,,0.0,0.0,1.4
0.4,ACQUIRE,0.01,-0.01,-9.22,0.71,-0.01,1,0,,,,0.0,0.0,0.8
0.45,ACQUIRE,0.01,-0.01,-9.3,0.74,-0.01,1,0,,,,0.0,0.0,1.4
0.5,ACQUIRE,0.01,-0.01,-9.3,0.76,-0.01,1,0,,,,0.0,0.0,0.7
0.55,ACQUIRE,0.01,-0.01,-9.38,0.79,-0.01,1,0,,,,0.0,0.0,1.4
0.6,ACQUIRE,0.01,-0.01,-9.38,0.81,-0.01,1,0,,,,0.0,0.0,0.7
0.65,ACQUIRE,0.01,-0.01,-9.44,0.84,-0.01,1,0,,,,0.0,0.0,1.5
0.7,ACQUIRE,0.01,-0.01,-9.44,0.86,-0.01,1,0,,,,0.0,0.0,0.9
0.75,ACQUIRE,0.01,-0.01,-9.49,0.89,-0.01,1,0,,,,0.0,0.0,1.5
0.8,ACQUIRE,0.01,-0.01,-9.49,0.91,-0.01,1,0,,,,0.0,0.0,0.8
0.85,ACQUIRE,0.01,-0.01,-9.53,0.94,-0.01,1,0,,,,0.0,0.0,1.5
0.9,ACQUIRE,0.01,-0.01,-9.53,0.96,-0.01,1,0,,,,0.0,0.0,0.8
0.95,ACQUIRE,0.01,-0.01,-9.56,0.99,-0.01,1,0,,,,0.0,0.0,1.5
1.0,ACQUIRE,0.01,-0.01,-9.56,1.02,-0.01,1,0,,,,0.0,0.0,0.9
1.05,ACQUIRE,0.01,-0.01,-9.58,1.04,-0.01,1,0,,,,0.0,0.0,1.4
1.1,ACQUIRE,0.01,-0.01,-9.58,1.07,-0.01,1,0,,,,0.0,0.0,0.8
1.15,ACQUIRE,0.01,-0.01,-9.59,1.09,-0.01,1,0,,,,0.0,0.0,1.3
1.2,ACQUIRE,0.01,-0.01,-9.59,1.12,-0.01,1,0,,,,0.0,0.0,0.6
1.25,ACQUIRE,0.01,-0.01,-9.59,1.14,-0.01,1,0,,,,0.0,0.0,1.4
1.3,ACQUIRE,0.01,-0.01,-9.59,1.17,-0.01,1,0,,,,0.0,0.0,0.8
1.35,ACQUIRE,0.01,-0.01,-9.59,1.19,-0.01,1,0,,,,0.0,0.0,1.3
1.4,ACQUIRE,0.01,-0.01,-9.59,1.22,-0.01,1,0,,,,0.0,0.0,0.8
1.45,ACQUIRE,0.01,-0.01,-9.58,1.24,-0.01,1,0,,,,0.0,0.0,1.4
1.5,ACQUIRE,0.01,-0.01,-9.58,1.27,-0.01,1,0,,,,0.0,0.0,0.8
1.55,ACQUIRE,0.01,-0.01,-9.58,1.29,-0.01,1,0,,,,0.0,0.0,1.4
1.6,ACQUIRE,0.01,-0.01,-9.58,1.32,-0.01,1,0,,,,0.0,0.0,0.8
1.65,ACQUIRE,0.01,-0.01,-9.57,1.34,-0.01,1,0,,,,0.0,0.0,1.4
1.7,ACQUIRE,0.01,-0.01,-9.57,1.37,-0.01,1,0,,,,0.0,0.0,0.6
1.75,ACQUIRE,0.01,-0.01,-9.56,1.39,-0.01,1,0,,,,0.0,0.0,1.3
1.8,ACQUIRE,0.01,-0.01,-9.56,1.42,-0.01,1,0,,,,0.0,0.0,0.8
1.85,ACQUIRE,0.01,-0.01,-9.55,1.44,-0.01,1,0,,,,0.0,0.0,1.5
1.9,ACQUIRE,0.01,-0.01,-9.55,1.47,-0.01,1,0,,,,0.0,0.0,0.8
1.95,ACQUIRE,0.01,-0.01,-9.55,1.49,-0.01,1,0,,,,0.0,0.0,1.5
2.0,ACQUIRE,0.01,-0.01,-9.55,1.52,-0.01,1,0,,,,0.0,0.0,0.9
2.05,ACQUIRE,0.01,-0.01,-9.54,1.54,-0.01,1,0,,,,0.0,0.0,1.6
2.1,ACQUIRE,0.01,-0.01,-9.54,1.57,-0.01,1,0,,,,0.0,0.0,0.8
2.15,ACQUIRE,0.01,-0.01,-9.54,1.59,-0.01,1,0,,,,0.0,0.0,1.4
2.2,ACQUIRE,0.01,-0.01,-9.54,1.62,-0.01,1,0,,,,0.0,0.0,0.8
2.25,ACQUIRE,0.01,-0.01,-9.54,1.64,-0.01,1,0,,,,0.0,0.0,1.3
2.3,ACQUIRE,0.01,-0.01,-9.54,1.67,-0.01,1,0,,,,0.0,0.0,0.6
2.35,ACQUIRE,0.01,-0.01,-9.54,1.69,-0.01,1,0,,,,0.0,0.0,1.4
2.4,ACQUIRE,0.01,-0.01,-9.54,1.72,-0.01,1,0,,,,0.0,0.0,0.8
2.45,ACQUIRE,0.01,-0.01,-9.54,1.74,-0.01,1,0,,,,0.0,0.0,1.3
2.5,ACQUIRE,0.01,-0.01,-9.54,1.77,-0.01,1,0,,,,0.0,0.0,0.8
2.55,ACQUIRE,0.01,-0.01,-9.54,1.79,-0.01,1,0,,,,0.0,0.0,1.5
2.6,ACQUIRE,0.01,-0.01,-9.54,1.82,-0.01,1,0,,,,0.0,0.0,0.8
2.65,ACQUIRE,0.01,-0.01,-9.54,1.84,-0.01,1,0,,,,0.0,0.0,1.5
2.71,ACQUIRE,0.01,-0.01,-9.54,1.87,-0.01,1,0,,,,0.0,0.0,0.6
2.76,ACQUIRE,0.01,-0.01,-9.54,1.89,-0.01,1,0,,,,0.0,0.0,1.4
2.81,ACQUIRE,0.01,-0.01,-9.54,1.92,-0.01,1,0,,,,0.0,0.0,3.5
2.86,ACQUIRE,0.01,-0.01,-9.54,1.94,-0.01,1,0,,,,0.0,0.0,1.3
2.91,ACQUIRE,0.01,-0.01,-9.54,1.97,-0.01,1,0,,,,0.0,0.0,0.8
2.96,ACQUIRE,0.01,-0.01,-9.54,1.99,-0.01,1,0,,,,0.0,0.0,1.5
3.01,ACQUIRE,0.01,-0.01,-9.54,2.02,-0.01,1,0,,,,0.0,0.0,0.9
3.06,ACQUIRE,0.01,-0.01,-9.55,2.04,-0.01,1,0,,,,0.0,0.0,1.5
3.11,ACQUIRE,0.01,-0.01,-9.55,2.07,-0.01,1,0,,,,0.0,0.0,0.8
3.16,ACQUIRE,0.01,-0.01,-9.55,2.09,-0.01,1,0,,,,0.0,0.0,1.5
3.21,ACQUIRE,0.01,-0.01,-9.55,2.12,-0.01,1,0,,,,0.0,0.0,0.8
3.26,ACQUIRE,0.01,-0.01,-9.55,2.14,-0.01,1,0,,,,0.0,0.0,1.3
3.31,ACQUIRE,0.01,-0.01,-9.55,2.17,-0.01,1,0,,,,0.0,0.0,0.7
3.36,ACQUIRE,0.01,-0.01,-9.55,2.19,-0.01,1,0,,,,0.0,0.0,1.2
3.41,ACQUIRE,0.01,-0.01,-9.55,2.22,-0.01,1,0,,,,0.0,0.0,0.8
3.46,ACQUIRE,0.01,-0.01,-9.55,2.24,-0.01,1,0,,,,0.0,0.0,1.4
3.51,ACQUIRE,0.01,-0.01,-9.55,2.27,-0.01,1,0,,,,0.0,0.0,0.8
3.56,ACQUIRE,0.01,-0.02,-9.55,2.29,-0.01,1,0,,,,0.0,0.0,1.4
3.61,ACQUIRE,0.01,-0.02,-9.55,2.32,-0.01,1,0,,,,0.0,0.0,0.8
3.66,ACQUIRE,0.01,-0.02,-9.56,2.34,-0.01,1,0,,,,0.0,0.0,1.6
3.71,ACQUIRE,0.01,-0.02,-9.56,2.37,-0.01,1,0,,,,0.0,0.0,0.8
3.76,ACQUIRE,0.01,-0.02,-9.56,2.39,-0.01,1,0,,,,0.0,0.0,1.5
3.81,ACQUIRE,0.01,-0.02,-9.56,2.42,-0.01,1,0,,,,0.0,0.0,0.7
3.86,ACQUIRE,0.01,-0.02,-9.56,2.44,-0.01,1,0,,,,0.0,0.0,1.6
3.91,ACQUIRE,0.01,-0.02,-9.56,2.47,-0.01,1,0,,,,0.0,0.0,0.6
3.96,ACQUIRE,0.01,-0.02,-9.56,2.49,-0.01,1,0,,,,0.0,0.0,1.4
4.01,ACQUIRE,0.01,-0.02,-9.56,2.52,-0.01,1,0,,,,0.0,0.0,0.8
4.06,ACQUIRE,0.01,-0.02,-9.56,2.54,-0.01,1,0,,,,0.0,0.0,1.3
4.11,ACQUIRE,0.01,-0.02,-9.56,2.57,-0.01,1,0,,,,0.0,0.0,0.8
4.16,ACQUIRE,0.01,-0.02,-9.56,2.59,-0.01,1,0,,,,0.0,0.0,1.3
4.21,ACQUIRE,0.01,-0.02,-9.56,2.62,-0.01,1,0,,,,0.0,0.0,0.6
4.26,ACQUIRE,0.01,-0.02,-9.56,2.64,-0.01,1,0,,,,0.0,0.0,1.5
4.31,ACQUIRE,0.01,-0.02,-9.56,2.67,-0.01,1,0,,,,0.0,0.0,0.8
4.36,ACQUIRE,0.01,-0.02,-9.56,2.69,-0.01,1,0,,,,0.0,0.0,1.4
4.41,ACQUIRE,0.01,-0.02,-9.56,2.72,-0.01,1,0,,,,0.0,0.0,0.6
4.46,ACQUIRE,0.01,-0.02,-9.57,2.74,-0.01,1,0,,,,0.0,0.0,1.3
4.51,ACQUIRE,0.01,-0.02,-9.57,2.77,-0.01,1,0,,,,0.0,0.0,0.8
4.56,ACQUIRE,0.02,-0.02,-9.57,2.79,-0.01,1,0,,,,0.0,0.0,1.4
4.61,ACQUIRE,0.02,-0.02,-9.57,2.82,-0.01,1,0,,,,0.0,0.0,0.8
4.66,ACQUIRE,0.02,-0.02,-9.57,2.84,-0.01,1,0,,,,0.0,0.0,1.4
4.71,ACQUIRE,0.02,-0.02,-9.57,2.87,-0.01,1,0,,,,0.0,0.0,0.6
4.76,ACQUIRE,0.02,-0.03,-9.57,2.89,-0.01,1,0,,,,0.0,0.0,1.2
4.81,ACQUIRE,0.02,-0.03,-9.57,2.92,-0.01,1,0,,,,0.0,0.0,0.8
4.86,ACQUIRE,0.02,-0.03,-9.57,2.94,-0.01,1,0,,,,0.0,0.0,1.5
4.91,ACQUIRE,0.02,-0.03,-9.57,2.97,-0.01,1,0,,,,0.0,0.0,0.6
4.96,ACQUIRE,0.02,-0.03,-9.57,2.99,-0.01,1,0,,,,0.0,0.0,1.3
5.01,ACQUIRE,0.02,-0.03,-9.57,3.02,-0.01,1,0,,,,0.0,0.0,0.9
5.06,CARRY,0.02,-0.03,-9.57,3.04,-0.01,1,0,,,,0.0,0.0,357.6
5.42,CARRY,0.02,-0.03,-9.57,3.22,-0.01,1,0,341.5,122.0,119.9,2.36,0.43,66.4
5.48,CARRY,0.02,-0.03,-9.57,3.26,-0.01,1,0,341.5,122.0,119.9,2.36,0.43,54.6
5.54,CARRY,0.02,-0.03,-9.57,3.28,-0.01,1,0,341.5,122.0,119.9,2.36,0.43,43.2
5.59,CARRY,0.02,-0.03,-9.57,3.31,-0.01,1,0,341.0,122.0,119.9,2.36,0.42,49.8
5.64,CARRY,0.03,-0.03,-9.57,3.33,-0.01,1,0,341.5,122.0,119.9,2.36,0.43,47.4
5.69,CARRY,0.03,-0.03,-9.57,3.36,-0.01,1,0,342.0,122.0,120.0,2.36,0.44,52.9
5.74,CARRY,0.03,-0.03,-9.57,3.39,-0.01,1,0,342.0,122.0,120.0,2.36,0.44,49.1
5.8,CARRY,0.03,-0.03,-9.57,3.41,-0.01,1,0,342.0,122.0,120.0,2.36,0.44,54.3
5.85,CARRY,0.04,-0.03,-9.57,3.44,-0.01,1,0,342.0,122.5,119.5,2.35,0.44,49.2
5.9,CARRY,0.04,-0.03,-9.57,3.46,-0.01,1,0,342.0,122.5,119.5,2.35,0.44,54.2
5.96,CARRY,0.06,-0.03,-9.57,3.49,-0.01,1,0,343.0,123.0,119.2,2.34,0.46,49.2
6.01,CARRY,0.06,-0.03,-9.57,3.52,-0.01,1,0,343.0,123.0,119.2,2.34,0.46,54.2
6.06,CARRY,0.11,-0.02,-9.57,3.54,-0.01,1,0,343.0,124.5,117.8,2.31,0.46,49.2
6.11,CARRY,0.11,-0.02,-9.57,3.57,-0.01,1,0,343.5,124.5,117.9,2.31,0.47,54.6
6.17,CARRY,0.17,-0.02,-9.57,3.6,-0.01,1,0,343.5,126.0,116.4,2.28,0.47,48.7
6.22,CARRY,0.17,-0.02,-9.57,3.62,-0.01,1,0,343.5,126.0,116.4,2.28,0.47,54.2
6.27,CARRY,0.26,-0.01,-9.57,3.65,-0.01,1,0,343.0,128.5,113.8,2.23,0.46,48.8
6.32,CARRY,0.26,-0.01,-9.57,3.68,-0.01,1,0,343.0,128.5,113.8,2.23,0.46,53.7
6.38,CARRY,0.38,-0.01,-9.57,3.7,-0.01,1,0,343.0,132.0,110.4,2.16,0.46,49.2
6.43,CARRY,0.38,-0.01,-9.57,3.73,-0.01,1,0,343.0,132.0,110.4,2.16,0.46,53.9
6.48,CARRY,0.52,0.0,-9.57,3.75,-0.01,1,0,341.5,136.0,106.2,2.08,0.43,49.2
6.53,CARRY,0.52,0.0,-9.57,3.78,-0.01,1,0,341.5,136.0,106.2,2.08,0.43,55.1
6.59,CARRY,0.68,0.01,-9.57,3.81,-0.01,1,0,341.0,140.5,101.7,1.99,0.42,48.7
6.64,CARRY,0.68,0.01,-9.57,3.83,-0.01,1,0,341.0,140.5,101.7,1.99,0.42,54.2
6.69,CARRY,0.85,0.02,-9.57,3.86,-0.01,1,0,339.5,145.5,96.5,1.89,0.39,49.0
6.74,CARRY,1.03,0.03,-9.58,3.89,-0.01,1,0,337.5,150.5,91.2,1.79,0.35,55.4
6.8,CARRY,1.03,0.03,-9.58,3.91,-0.01,1,0,338.5,150.5,91.4,1.79,0.37,49.0
6.85,CARRY,1.22,0.04,-9.58,3.94,-0.01,1,0,336.5,156.0,85.6,1.68,0.33,54.7
6.91,CARRY,1.22,0.04,-9.58,3.97,-0.01,1,0,336.5,156.0,85.6,1.68,0.33,48.1
6.96,CARRY,1.41,0.05,-9.58,3.99,-0.01,1,0,335.5,161.5,80.0,1.57,0.31,54.7
7.01,CARRY,1.41,0.05,-9.58,4.02,-0.01,1,0,335.0,161.5,79.9,1.57,0.3,47.9
7.06,CARRY,1.6,0.06,-9.58,4.04,-0.01,1,0,333.5,167.0,74.2,1.46,0.27,56.5
7.12,CARRY,1.6,0.06,-9.58,4.07,-0.01,1,0,333.5,167.0,74.2,1.46,0.27,49.5
7.17,CARRY,1.79,0.08,-9.58,4.1,-0.01,1,0,332.0,172.0,69.1,1.36,0.24,56.0
7.23,CARRY,1.79,0.08,-9.58,4.13,-0.01,1,0,332.0,172.0,69.1,1.36,0.24,48.9
7.28,CARRY,1.97,0.09,-9.58,4.15,-0.01,1,0,330.0,177.0,63.8,1.26,0.2,55.5
7.33,CARRY,1.97,0.09,-9.58,4.18,-0.01,1,0,330.5,117.5,122.9,2.45,0.21,48.9
7.38,CARRY,2.15,0.1,-9.58,4.21,-0.01,1,0,328.5,121.5,118.8,2.37,0.17,55.8
7.44,CARRY,2.32,0.12,-9.58,4.23,-0.01,1,0,326.5,129.5,110.7,2.21,0.13,49.5
7.49,CARRY,2.32,0.12,-9.58,4.26,-0.01,1,0,326.5,127.5,112.7,2.25,0.13,55.9
7.55,CARRY,2.49,0.13,-9.58,4.29,-0.01,1,0,325.0,135.5,104.6,2.09,0.1,48.7
7.6,CARRY,2.49,0.13,-9.58,4.31,-0.01,1,0,325.5,134.5,105.6,2.11,0.11,54.8
7.65,CARRY,2.64,0.14,-9.58,4.34,-0.01,1,0,323.5,141.5,98.6,1.97,0.07,48.5
7.7,CARRY,2.64,0.14,-9.58,4.37,-0.01,1,0,323.5,140.0,100.1,2.0,0.07,53.5
7.76,CARRY,2.8,0.15,-9.58,4.39,-0.01,1,0,322.0,147.5,92.5,1.85,0.04,49.3
7.81,CARRY,2.8,0.15,-9.58,4.42,-0.01,1,0,322.5,146.5,93.5,1.87,0.05,53.6
7.86,CARRY,2.97,0.15,-9.58,4.45,-0.01,1,0,321.0,153.5,86.5,1.73,0.02,48.7
7.91,CARRY,2.97,0.15,-9.58,4.47,-0.01,1,0,321.0,152.5,87.5,1.75,0.02,53.9
7.97,CARRY,3.13,0.15,-9.58,4.5,-0.01,1,0,320.0,160.5,79.5,1.59,0.0,48.6
8.02,CARRY,3.13,0.15,-9.58,4.52,-0.01,1,0,320.0,160.0,80.0,1.6,0.0,54.0
8.07,CARRY,3.31,0.15,-9.58,4.55,-0.01,1,0,319.5,167.5,72.5,1.45,-0.01,48.7
8.12,CARRY,3.31,0.15,-9.58,4.58,-0.01,1,0,319.5,166.5,73.5,1.47,-0.01,53.8
