t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd,loop_ms
0.0,ACQUIRE,0.01,-0.01,-8.81,0.51,-0.01,1,0,,,,0.0,0.0,4.5
0.05,ACQUIRE,0.01,-0.01,-8.92,0.56,-0.01,1,0,,,,0.0,0.0,1.6
0.1,ACQUIRE,0.01,-0.01,-8.92,0.61,-0.01,1,0,,,,0.0,0.0,0.8
0.15,ACQUIRE,0.01,-0.01,-9.03,0.66,-0.01,1,0,,,,0.0,0.0,1.4
0.2,ACQUIRE,0.01,-0.01,-9.03,0.71,-0.01,1,0,,,,0.0,0.0,0.6
0.25,ACQUIRE,0.01,-0.01,-9.13,0.76,-0.01,1,0,,,,0.0,0.0,1.4
0.3,ACQUIRE,0.01,-0.01,-9.13,0.81,-0.01,1,0,,,,0.0,0.0,0.8
0.35,ACQUIRE,0.01,-0.01,-9.22,0.86,-0.01,1,0,,,,0.0,0.0,1.4
0.4,ACQUIRE,0.01,-0.01,-9.22,0.91,-0.01,1,0,,,,0.0,0.0,0.6
0.45,ACQUIRE,0.01,-0.01,-9.3,0.97,-0.01,1,0,,,,0.0,0.0,1.3
0.5,ACQUIRE,0.01,-0.01,-9.3,1.02,-0.01,1,0,,,,0.0,0.0,1.0
0.55,ACQUIRE,0.01,-0.01,-9.37,1.07,-0.01,1,0,,,,0.0,0.0,1.5
0.6,ACQUIRE,0.01,-0.01,-9.37,1.12,-0.01,1,0,,,,0.0,0.0,0.8
0.65,ACQUIRE,0.01,-0.01,-9.44,1.17,-0.01,1,0,,,,0.0,0.0,1.5
0.7,ACQUIRE,0.01,-0.01,-9.44,1.22,-0.01,1,0,,,,0.0,0.0,0.8
0.75,ACQUIRE,0.01,-0.01,-9.49,1.27,-0.01,1,0,,,,0.0,0.0,1.5
0.8,ACQUIRE,0.01,-0.01,-9.49,1.32,-0.01,1,0,,,,0.0,0.0,0.8
0.85,ACQUIRE,0.01,-0.01,-9.53,1.37,-0.01,1,0,,,,0.0,0.0,1.5
0.9,ACQUIRE,0.01,-0.01,-9.53,1.42,-0.01,1,0,,,,0.0,0.0,0.8
0.95,ACQUIRE,0.01,-0.01,-9.56,1.47,-0.01,1,0,,,,0.0,0.0,1.2
1.0,ACQUIRE,0.01,-0.01,-9.56,1.52,-0.01,1,0,,,,0.0,0.0,0.6
1.05,ACQUIRE,0.01,-0.01,-9.57,1.57,-0.01,1,0,,,,0.0,0.0,1.4
1.1,ACQUIRE,0.01,-0.01,-9.57,1.62,-0.01,1,0,,,,0.0,0.0,0.8
1.15,ACQUIRE,0.01,-0.01,-9.58,1.67,-0.01,1,0,,,,0.0,0.0,1.5
1.2,ACQUIRE,0.01,-0.01,-9.58,1.72,-0.01,1,0,,,,0.0,0.0,0.8
1.25,ACQUIRE,0.01,-0.01,-9.59,1.77,-0.01,1,0,,,,0.0,0.0,1.5
1.3,ACQUIRE,0.01,-0.01,-9.59,1.82,-0.01,1,0,,,,0.0,0.0,0.8
1.35,ACQUIRE,0.01,-0.01,-9.58,1.87,-0.01,1,0,,,,0.0,0.0,1.3
1.4,ACQUIRE,0.01,-0.01,-9.58,1.92,-0.01,1,0,,,,0.0,0.0,0.8
1.45,ACQUIRE,0.01,-0.01,-9.58,1.97,-0.01,1,0,,,,0.0,0.0,1.3
1.5,ACQUIRE,0.01,-0.01,-9.58,2.02,-0.01,1,0,,,,0.0,0.0,0.6
1.55,ACQUIRE,0.01,-0.01,-9.57,2.07,-0.01,1,0,,,,0.0,0.0,1.5
1.6,ACQUIRE,0.01,-0.01,-9.57,2.12,-0.01,1,0,,,,0.0,0.0,0.8
1.65,ACQUIRE,0.01,-0.01,-9.57,2.17,-0.01,1,0,,,,0.0,0.0,1.4
1.7,ACQUIRE,0.01,-0.01,-9.57,2.22,-0.01,1,0,,,,0.0,0.0,0.6
1.75,ACQUIRE,0.01,-0.01,-9.56,2.27,-0.01,1,0,,,,0.0,0.0,1.4
1.8,ACQUIRE,0.01,-0.01,-9.56,2.32,-0.01,1,0,,,,0.0,0.0,0.8
1.85,ACQUIRE,0.01,-0.01,-9.55,2.37,-0.01,1,0,,,,0.0,0.0,1.5
1.9,ACQUIRE,0.01,-0.01,-9.55,2.42,-0.01,1,0,,,,0.0,0.0,0.9
1.95,ACQUIRE,0.01,-0.01,-9.55,2.47,-0.01,1,0,,,,0.0,0.0,1.5
2.0,ACQUIRE,0.01,-0.01,-9.55,2.52,-0.01,1,0,,,,0.0,0.0,0.6
2.05,ACQUIRE,0.01,-0.01,-9.54,2.57,-0.01,1,0,,,,0.0,0.0,1.3
2.1,ACQUIRE,0.01,-0.01,-9.54,2.62,-0.01,1,0,,,,0.0,0.0,0.8
2.15,ACQUIRE,0.01,-0.01,-9.54,2.67,-0.01,1,0,,,,0.0,0.0,1.4
2.2,ACQUIRE,0.01,-0.01,-9.54,2.72,-0.01,1,0,,,,0.0,0.0,0.8
2.25,ACQUIRE,0.01,-0.01,-9.54,2.77,-0.01,1,0,,,,0.0,0.0,1.4
2.3,ACQUIRE,0.01,-0.01,-9.54,2.82,-0.01,1,0,,,,0.0,0.0,0.8
