t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd,loop_ms,dist_n,dist_e,d_true_px,d_dist_px,carry_score
0.0,ACQUIRE,0.01,-0.01,-8.92,0.52,-0.01,1,0,,,,0.0,0.0,6.5,,,,,
0.05,ACQUIRE,0.01,-0.01,-9.03,0.67,-0.01,1,0,,,,0.0,0.0,1.4,,,,,
0.1,ACQUIRE,0.01,-0.01,-9.03,0.82,-0.01,1,0,,,,0.0,0.0,0.7,,,,,
0.15,ACQUIRE,0.01,-0.01,-9.13,0.97,-0.01,1,0,,,,0.0,0.0,1.3,,,,,
0.2,ACQUIRE,0.01,-0.01,-9.13,1.12,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.25,ACQUIRE,0.01,-0.01,-9.23,1.27,-0.01,1,0,,,,0.0,0.0,1.5,,,,,
0.3,ACQUIRE,0.01,-0.01,-9.23,1.42,-0.01,1,0,,,,0.0,0.0,0.6,,,,,
0.35,ACQUIRE,0.01,-0.01,-9.32,1.57,-0.01,1,0,,,,1.21,0.15,2.6,,,,,
0.4,ACQUIRE,0.01,-0.01,-9.32,1.72,-0.01,1,0,,,,1.3,0.16,1.7,,,,,
0.45,ACQUIRE,0.01,-0.01,-9.39,1.87,-0.01,1,0,,,,1.33,0.17,2.5,,,,,
0.5,ACQUIRE,0.01,-0.01,-9.39,2.02,-0.01,1,0,,,,1.33,0.18,1.9,,,,,
0.55,ACQUIRE,0.01,-0.01,-9.46,2.17,-0.01,1,0,,,,1.32,0.18,2.3,,,,,
0.6,ACQUIRE,0.01,-0.01,-9.46,2.32,-0.01,1,0,,,,1.32,0.19,1.7,,,,,
0.65,ACQUIRE,0.01,-0.01,-9.52,2.47,-0.01,1,0,,,,1.31,0.18,2.3,,,,,
0.7,ACQUIRE,0.01,-0.01,-9.52,2.62,-0.01,1,0,,,,1.31,0.18,1.7,,,,,
0.75,ACQUIRE,0.02,-0.01,-9.57,2.77,-0.01,1,0,,,,1.29,0.18,2.5,,,,,
0.8,ACQUIRE,0.02,-0.01,-9.57,2.92,-0.01,1,0,,,,1.29,0.18,1.8,,,,,
0.85,ACQUIRE,0.04,-0.01,-9.6,3.07,-0.01,1,0,,,,2.23,0.19,2.5,,,,,
0.9,ACQUIRE,0.04,-0.01,-9.6,3.22,-0.01,1,0,,,,2.23,0.18,1.8,,,,,
0.95,ACQUIRE,0.08,-0.01,-9.63,3.37,-0.01,1,0,,,,1.86,0.12,2.4,,,,,
1.0,ACQUIRE,0.08,-0.01,-9.63,3.52,-0.01,1,0,,,,2.18,0.14,1.8,,,,,
1.05,ACQUIRE,0.14,-0.01,-9.64,3.67,-0.01,1,0,,,,2.12,0.31,2.5,,,,,
1.1,ACQUIRE,0.14,-0.01,-9.64,3.82,-0.01,1,0,,,,2.12,0.3,1.8,,,,,
1.15,ACQUIRE,0.21,-0.01,-9.65,3.97,-0.01,1,0,,,,2.03,0.3,2.4,,,,,
1.2,ACQUIRE,0.21,-0.01,-9.65,4.12,-0.01,1,0,,,,2.03,0.3,1.8,,,,,
1.25,ACQUIRE,0.31,-0.01,-9.65,4.27,-0.01,1,0,,,,1.92,0.28,2.3,,,,,
1.3,ACQUIRE,0.31,-0.01,-9.65,4.42,-0.01,1,0,,,,1.92,0.28,1.7,,,,,
1.35,ACQUIRE,0.43,-0.01,-9.65,4.57,-0.01,1,0,,,,2.73,0.26,2.3,,,,,
1.4,ACQUIRE,0.43,-0.01,-9.65,4.72,-0.01,1,0,,,,2.73,0.26,1.8,,,,,
1.45,ACQUIRE,0.56,-0.01,-9.64,4.87,-0.01,1,0,,,,2.59,0.25,3.0,,,,,
1.5,ACQUIRE,0.56,-0.01,-9.64,5.02,-0.01,1,0,,,,2.59,0.26,2.3,,,,,
1.55,ACQUIRE,0.72,-0.01,-9.64,5.17,-0.01,1,0,,,,2.41,0.25,2.6,,,,,
1.6,ACQUIRE,0.72,-0.01,-9.64,5.32,-0.01,1,0,,,,2.41,0.26,1.8,,,,,
1.65,ACQUIRE,0.88,-0.01,-9.63,5.47,-0.01,1,0,,,,2.22,0.25,3.0,,,,,
1.7,ACQUIRE,0.88,-0.01,-9.63,5.62,-0.01,1,0,,,,2.22,0.26,2.2,,,,,
1.75,ACQUIRE,1.07,-0.02,-9.62,5.77,-0.01,1,0,,,,2.01,0.24,2.4,,,,,
1.8,ACQUIRE,1.07,-0.02,-9.62,5.92,-0.01,1,0,,,,2.01,0.26,1.6,,,,,
1.85,ACQUIRE,1.27,-0.02,-9.62,6.07,-0.01,1,0,,,,2.6,0.35,2.4,,,,,
1.9,ACQUIRE,1.27,-0.02,-9.62,6.22,-0.01,1,0,,,,2.68,0.36,1.8,,,,,
1.95,ACQUIRE,1.47,-0.02,-9.61,6.37,-0.01,1,0,,,,2.52,0.35,2.4,,,,,
2.0,ACQUIRE,1.47,-0.02,-9.61,6.52,-0.01,1,0,,,,2.6,0.36,1.8,,,,,
2.05,ACQUIRE,1.69,-0.02,-9.61,6.67,-0.01,1,0,,,,2.45,0.34,2.2,,,,,
2.1,ACQUIRE,1.69,-0.02,-9.61,6.82,-0.01,1,0,,,,2.45,0.35,1.7,,,,,
2.15,ACQUIRE,1.9,-0.02,-9.61,6.97,-0.01,1,0,,,,2.2,0.32,2.2,,,,,
2.2,ACQUIRE,1.9,-0.02,-9.61,7.12,-0.01,1,0,,,,2.2,0.32,1.7,,,,,
2.25,ACQUIRE,2.13,-0.03,-9.6,7.27,-0.01,1,0,,,,1.95,0.29,2.3,,,,,
2.3,ACQUIRE,2.13,-0.03,-9.6,7.42,-0.01,1,0,,,,1.95,0.29,1.8,,,,,
2.35,ACQUIRE,2.36,-0.02,-9.6,7.57,-0.01,1,0,,,,3.05,0.42,6.6,,,,,
2.4,ACQUIRE,2.36,-0.02,-9.6,7.72,-0.01,1,0,,,,3.05,0.43,1.6,,,,,
2.45,ACQUIRE,2.59,-0.02,-9.6,7.88,-0.01,1,0,,,,2.79,0.39,2.5,,,,,
2.5,ACQUIRE,2.59,-0.02,-9.6,8.03,-0.01,1,0,,,,2.79,0.39,1.8,,,,,
2.55,ACQUIRE,2.82,-0.02,-9.6,8.18,-0.01,1,0,,,,2.53,0.35,2.4,,,,,
2.6,ACQUIRE,2.82,-0.02,-9.6,8.33,-0.01,1,0,,,,2.53,0.35,1.8,,,,,
2.65,ACQUIRE,3.05,-0.02,-9.6,8.48,-0.01,1,0,,,,2.27,0.32,2.2,,,,,
2.7,ACQUIRE,3.05,-0.02,-9.6,8.63,-0.01,1,0,,,,2.27,0.32,1.6,,,,,
2.75,ACQUIRE,3.28,-0.02,-9.6,8.78,-0.01,1,0,,,,2.0,0.29,2.5,,,,,
2.8,ACQUIRE,3.28,-0.02,-9.6,8.93,-0.01,1,0,,,,2.0,0.29,1.7,,,,,
