t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd,loop_ms
0.22,ACQUIRE,0.01,-0.01,-9.03,0.57,-0.01,1,0,,,,0.0,0.0,6.1
0.27,ACQUIRE,0.01,-0.01,-9.14,0.58,-0.01,1,0,,,,0.0,0.0,1.3
0.32,ACQUIRE,0.01,-0.01,-9.14,0.59,-0.01,1,0,,,,0.0,0.0,0.6
0.37,ACQUIRE,0.01,-0.01,-9.24,0.61,-0.01,1,0,,,,0.0,0.0,1.3
0.42,ACQUIRE,0.01,-0.01,-9.24,0.62,-0.01,1,0,,,,0.0,0.0,0.8
0.47,ACQUIRE,0.01,-0.01,-9.33,0.63,-0.01,1,0,,,,0.0,0.0,1.3
0.52,ACQUIRE,0.01,-0.01,-9.33,0.64,-0.01,1,0,,,,0.0,0.0,0.8
0.57,ACQUIRE,0.01,-0.01,-9.41,0.66,-0.01,1,0,,,,0.0,0.0,1.2
0.62,ACQUIRE,0.01,-0.01,-9.41,0.67,-0.01,1,0,,,,0.0,0.0,0.9
0.67,ACQUIRE,0.01,-0.01,-9.48,0.68,-0.01,1,0,,,,0.0,0.0,1.3
0.72,ACQUIRE,0.01,-0.01,-9.48,0.69,-0.01,1,0,,,,0.0,0.0,0.8
0.77,ACQUIRE,0.01,-0.01,-9.54,0.71,-0.01,1,0,,,,0.0,0.0,1.6
0.82,ACQUIRE,0.01,-0.01,-9.54,0.72,-0.01,1,0,,,,0.0,0.0,0.8
0.87,ACQUIRE,0.01,-0.01,-9.59,0.73,-0.01,1,0,,,,0.0,0.0,1.5
0.92,ACQUIRE,0.01,-0.01,-9.59,0.75,-0.01,1,0,,,,0.0,0.0,0.8
0.97,ACQUIRE,0.0,-0.01,-9.63,0.76,-0.01,1,0,,,,0.0,0.0,1.4
1.02,ACQUIRE,0.0,-0.01,-9.63,0.77,-0.01,1,0,,,,0.0,0.0,0.9
1.07,ACQUIRE,0.0,-0.01,-9.66,0.78,-0.01,1,0,,,,0.0,0.0,1.7
1.12,ACQUIRE,0.0,-0.01,-9.66,0.8,-0.01,1,0,,,,0.0,0.0,0.5
1.17,ACQUIRE,0.0,-0.01,-9.68,0.81,-0.01,1,0,,,,0.0,0.0,1.3
1.22,ACQUIRE,0.0,-0.01,-9.68,0.82,-0.01,1,0,,,,0.0,0.0,0.6
