seq,tid,n_frames,n_labeled,mean_iou,iou_at_25,iou_at_50,id_consistency,pred_absent_frac,n_gaps,n_recovered,wall_s,fps
M0203,51,300,269,0.8122990117590337,1.0,1.0,1.0,0.0,1,1,15.56,19.28
M0203,35,300,300,0.8190852371672687,1.0,1.0,1.0,0.0,0,0,15.37,19.52
M0205,20,300,300,0.8069386555890433,1.0,1.0,1.0,0.0,0,0,15.54,19.31
M0205,6,300,261,0.8338889271189613,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.0,1,1,18.75,16.0
M0209,46,300,300,0.8528791172124413,1.0,1.0,1.0,0.0,0,0,17.18,17.47
M0209,20,300,300,0.7398201952804347,1.0,1.0,1.0,0.0,0,0,15.88,18.89
M0403,3,300,300,0.8101382467349293,1.0,1.0,1.0,0.0,0,0,27.74,10.81
M0403,43,300,286,0.8265461322620036,1.0,1.0,1.0,0.0,1,1,15.64,19.18
M0701,7,300,300,0.623243924776042,1.0,0.9933333333333333,1.0,0.0,0,0,15.51,19.34
M0701,3,300,300,0.6774711591200983,0.9866666666666667,0.98,1.0,0.0,0,0,20.35,14.74
M0801,7,298,298,0.7753994504872146,0.9899328859060402,0.9496644295302014,1.0,0.0,0,0,16.13,18.47
M0801,22,260,250,0.7501387187870521,0.988,0.988,1.0,0.0,1,1,13.61,19.1
M1001,55,300,300,0.8136536667594088,1.0,1.0,1.0,0.0,0,0,20.8,14.42
M1001,16,300,300,0.7089858047534963,1.0,1.0,1.0,0.0,0,0,23.81,12.6
M1004,35,269,235,0.7250874046696251,1.0,0.9404255319148936,1.0,0.0,0,0,14.18,18.97
M1004,36,269,216,0.46345425375100774,0.7361111111111112,0.5416666666666666,1.0,0.0,0,0,13.71,19.62
M1007,8,300,300,0.716428164383718,1.0,1.0,1.0,0.0,0,0,15.34,19.56
M1007,35,300,300,0.7524786713543912,1.0,0.9966666666666667,1.0,0.0,0,0,15.36,19.53
M1101,13,300,300,0.7413808086752959,1.0,0.92,1.0,0.0,0,0,15.77,19.02
M1101,39,300,259,0.821542177944358,1.0,1.0,1.0,0.0,1,1,15.63,19.2
M1301,15,300,300,0.5944549044803434,0.9833333333333333,0.75,1.0,0.0,0,0,15.91,18.86
M1301,98,300,300,0.05330612175134615,0.056666666666666664,0.016666666666666666,0.043333333333333335,0.0,0,0,15.54,19.3
M1302,18,300,300,0.7349530700684367,1.0,0.9933333333333333,1.0,0.0,0,0,16.07,18.67
M1302,19,300,296,0.7310155418073813,1.0,0.9966216216216216,1.0,0.0,1,1,20.62,14.55
M1401,62,300,300,0.845065179721541,1.0,1.0,1.0,0.0,0,0,15.98,18.78
M1401,21,300,300,0.7660634073578328,1.0,1.0,1.0,0.0,0,0,15.54,19.31
uav0000009_03358_v,29,195,186,0.7656614305570355,1.0,1.0,1.0,0.0,0,0,14.04,13.89
uav0000009_03358_v,77,198,177,0.5414029474644942,0.9887005649717514,0.6497175141242938,1.0,0.005649717514124294,1,0,14.21,13.94
uav0000013_00000_v,0,269,269,0.6832810242965077,1.0,1.0,1.0,0.0,0,0,19.27,13.96
