seq,tid,n_frames,n_labeled,mean_iou,iou_at_25,iou_at_50,id_consistency,pred_absent_frac,n_gaps,n_recovered,wall_s,fps
M0203,51,300,269,0.8064878097765676,1.0,1.0,1.0,0.0,1,1,7.58,39.59
M0203,35,300,300,0.8180681629108008,1.0,1.0,1.0,0.0,0,0,7.3,41.1
M0205,20,300,300,0.7819277106174938,1.0,0.9966666666666667,1.0,0.0,0,0,7.23,41.51
M0205,6,300,261,0.8289452373858257,0.9961685823754789,0.9923371647509579,0.9961685823754789,0.0,1,1,7.3,41.09
M0209,46,300,300,0.8323919450214518,1.0,1.0,1.0,0.0,0,0,7.65,39.22
M0209,20,300,300,0.6553595095402378,1.0,0.7366666666666667,1.0,0.0,0,0,7.44,40.34
M0403,3,300,300,0.8069571719759494,1.0,1.0,1.0,0.0,0,0,7.33,40.93
M0403,43,300,286,0.6822166178639745,0.9615384615384616,0.7972027972027972,1.0,0.0,1,1,7.37,40.72
M0701,7,300,300,0.6392453953547214,1.0,0.9866666666666667,1.0,0.0,0,0,7.35,40.83
M0701,3,300,300,0.511399838894407,0.7033333333333334,0.62,0.8,0.0,0,0,7.33,40.95
M0801,7,298,298,0.7740664147681809,0.959731543624161,0.9161073825503355,1.0,0.0,0,0,7.23,41.21
M0801,22,260,250,0.7097202413173483,0.944,0.916,0.9637096774193549,0.0,1,1,6.44,40.35
M1001,55,300,300,0.7796085293404583,0.99,0.99,1.0,0.0,0,0,7.31,41.05
M1001,16,300,300,0.6279701429689688,1.0,0.89,1.0,0.0,0,0,7.63,39.33
M1004,35,269,235,0.2167783086118848,0.37872340425531914,0.04680851063829787,0.6377551020408163,0.0,0,0,6.54,41.12
M1004,36,269,216,0.010066329556131707,0.018518518518518517,0.0,1.0,0.13425925925925927,0,0,6.62,40.62
M1007,8,300,300,0.7225469399874985,1.0,1.0,1.0,0.0,0,0,7.32,41.0
M1007,35,300,300,0.7600953974288225,1.0,1.0,1.0,0.0,0,0,7.28,41.23
M1101,13,300,300,0.7194495526859737,1.0,0.8933333333333333,1.0,0.0,0,0,7.48,40.09
M1101,39,300,259,0.6873206113437481,0.9382239382239382,0.8494208494208494,1.0,0.0,1,1,7.44,40.3
M1301,15,300,300,0.05875699415711535,0.12,0.016666666666666666,0.5445544554455446,0.0,0,0,7.63,39.3
M1301,98,300,300,0.025975551436186163,0.013333333333333334,0.006666666666666667,0.006666666666666667,0.0,0,0,7.74,38.75
M1302,18,300,300,0.6717793700830064,0.9566666666666667,0.93,0.9566666666666667,0.0,0,0,7.56,39.69
M1302,19,300,296,0.45909686817364403,0.5675675675675675,0.5236486486486487,0.5236486486486487,0.0,1,1,7.56,39.67
M1401,62,300,300,0.8111218673529239,1.0,0.9566666666666667,1.0,0.0,0,0,7.37,40.72
M1401,21,300,300,0.6843891709684203,1.0,0.8733333333333333,1.0,0.0,0,0,7.46,40.22
uav0000009_03358_v,29,195,186,0.63460148105487,0.8709677419354839,0.7473118279569892,0.8602150537634409,0.0,0,0,9.65,20.2
uav0000009_03358_v,77,198,177,0.5422441550775283,0.9830508474576272,0.6271186440677966,1.0,0.005649717514124294,1,0,9.66,20.5
uav0000013_00000_v,0,269,269,0.5120190191812027,1.0,0.45353159851301117,1.0,0.0,0,0,13.17,20.42
uav0000013_00000_v,23,269,216,0.6472315204429647,0.9814814814814815,0.7546296296296297,0.9722222222222222,0.0,1,0,13.27,20.27
uav0000013_01073_v,0,58,58,0.48943332210116774,1.0,0.5,1.0,0.0,0,0,2.78,20.86
uav0000013_01073_v,8,58,58,0.7798737986455548,1.0,1.0,1.0,0.0,0,0,2.76,21.03
uav0000013_01392_v,2,118,118,0.4647431127600046,1.0,0.2457627118644068,1.0,0.0,0,0,5.64,20.91
uav0000013_01392_v,21,118,111,0.5230253209424143,1.0,0.6396396396396397,0.963963963963964,0.0,1,1,5.67,20.81
uav0000020_00406_v,9,300,300,0.6683822850620432,1.0,0.92,0.9133333333333333,0.0,0,0,14.41,20.82
uav0000020_00406_v,36,300,278,0.6562777179524198,1.0,0.9640287769784173,0.9640287769784173,0.0,1,1,14.58,20.57
uav0000071_03240_v,9,181,181,0.6405394410631106,0.9834254143646409,0.9116022099447514,0.9834254143646409,0.0,0,0,9.05,19.99
uav0000071_03240_v,11,181,181,0.6100733050806919,0.994475138121547,0.6740331491712708,1.0,0.0,0,0,9.01,20.09
uav0000072_04488_v,1,85,85,0.2614463723386522,0.4588235294117647,0.32941176470588235,0.975609756097561,0.49411764705882355,0,0,4.27,19.9
uav0000072_04488_v,0,85,59,0.5516001275811635,1.0,0.5932203389830508,1.0,0.0,1,1,4.24,20.03
uav0000072_05448_v,92,217,217,0.885791959894237,1.0,1.0,1.0,0.0,0,0,10.57,20.52
uav0000072_05448_v,122,210,210,0.5537274607526329,0.8523809523809524,0.6714285714285714,1.0,0.0,0,0,10.46,20.08
uav0000072_06432_v,22,97,97,0.5726608372834365,0.7525773195876289,0.7525773195876289,0.5851063829787234,0.0,0,0,4.82,20.14
uav0000072_06432_v,117,97,73,0.045299215890136336,0.0821917808219178,0.0410958904109589,0.25,0.0,1,0,4.87,19.9
uav0000073_00600_v,2,300,300,0.08565133331182719,0.14666666666666667,0.08,0.09666666666666666,0.0,0,0,13.07,22.95
uav0000073_00600_v,48,300,295,0.01743830142875624,0.023728813559322035,0.003389830508474576,0.05517241379310345,0.0,1,0,12.43,24.14
uav0000073_04464_v,0,300,300,0.17490661939074395,0.30333333333333334,0.22,0.30333333333333334,0.0,0,0,12.52,23.95
uav0000073_04464_v,1,300,300,0.10470672875382117,0.13333333333333333,0.12333333333333334,0.3493150684931507,0.45,0,0,12.77,23.5
uav0000076_00720_v,22,259,259,0.6470400797745492,0.806949806949807,0.7953667953667953,0.9568965517241379,0.0,0,0,11.26,23.0
uav0000076_00720_v,54,277,216,0.20967913341431027,0.375,0.013888888888888888,1.0,0.032407407407407406,1,0,11.9,23.28
uav0000077_00720_v,46,300,300,0.8073846603267786,0.9933333333333333,0.9566666666666667,1.0,0.0,0,0,12.93,23.2
uav0000077_00720_v,43,300,300,0.7776606281617352,1.0,1.0,1.0,0.0,0,0,12.85,23.34
uav0000079_00480_v,15,300,300,0.030544360542485483,0.056666666666666664,0.02,1.0,0.0,0,0,13.22,22.69
uav0000079_00480_v,10,300,300,0.47211488033715987,0.8766666666666667,0.4166666666666667,0.9619377162629758,0.0,0,0,13.02,23.04
uav0000084_00000_v,27,300,300,0.6498507484693796,0.92,0.8666666666666667,0.9964664310954063,0.0,0,0,12.68,23.66
uav0000084_00000_v,59,300,257,0.09481290630323222,0.14785992217898833,0.10894941634241245,0.14007782101167315,0.0,1,0,12.9,23.25
uav0000086_00000_v,11,300,300,0.5338203367628777,0.78,0.5966666666666667,0.8333333333333334,0.0,0,0,12.84,23.37
uav0000086_00000_v,55,300,300,0.25051337015721176,0.4533333333333333,0.25333333333333335,1.0,0.0,0,0,13.12,22.87
uav0000088_00290_v,0,296,296,0.6135015588495036,0.9797297297297297,0.8716216216216216,0.9087837837837838,0.0,0,0,12.61,23.47
uav0000088_00290_v,92,296,242,0.37896201909691407,0.5578512396694215,0.5082644628099173,0.9855072463768116,0.4297520661157025,1,0,12.24,24.18
uav0000099_02109_v,9,300,300,0.7943478394434158,1.0,1.0,1.0,0.0,0,0,14.82,20.25
uav0000099_02109_v,4,300,300,0.1780396511637007,0.29,0.2,0.35,0.30666666666666664,0,0,14.89,20.14
uav0000117_02622_v,0,300,300,0.1406934589360979,0.26666666666666666,0.09,0.18,0.0,0,0,14.61,20.53
uav0000117_02622_v,21,156,140,0.6290922630045298,0.9928571428571429,0.8857142857142857,1.0,0.0,1,1,7.8,20.01
uav0000119_02301_v,0,179,179,0.3025341537358042,0.5307262569832403,0.33519553072625696,0.6312849162011173,0.0,0,0,8.91,20.08
uav0000119_02301_v,38,140,113,0.39448530528182935,0.9734513274336283,0.035398230088495575,1.0,0.0,1,0,6.91,20.27
uav0000120_04775_v,274,300,300,0.0661904473808878,0.07666666666666666,0.03,0.16541353383458646,0.0,0,0,14.09,21.29
uav0000120_04775_v,136,300,254,0.125674244115809,0.1889763779527559,0.11023622047244094,1.0,0.452755905511811,1,0,12.44,24.12
uav0000124_00944_v,0,300,300,0.6480257744863757,1.0,0.8433333333333334,1.0,0.0,0,0,13.26,22.63
uav0000124_00944_v,41,300,258,0.00048430657862130413,0.0,0.0,0.009900990099009901,0.13178294573643412,1,0,13.51,22.21
uav0000126_00001_v,8,300,300,0.010378151675949188,0.0,0.0,0.4166666666666667,0.043333333333333335,0,0,12.98,23.11
uav0000126_00001_v,62,300,229,0.16621693151056174,0.34497816593886466,0.11353711790393013,0.4375,0.008733624454148471,2,0,12.95,23.17
uav0000137_00458_v,13,233,233,0.8871510658490376,1.0,0.9656652360515021,1.0,0.0,0,0,10.0,23.31
uav0000137_00458_v,107,233,215,0.010231794787121338,0.018604651162790697,0.009302325581395349,0.019417475728155338,0.03255813953488372,1,0,9.89,23.55
uav0000138_00000_v,1,213,213,0.810342472845919,1.0,1.0,1.0,0.0,0,0,10.93,19.49
uav0000138_00000_v,24,213,203,0.36352111785486674,0.6600985221674877,0.4187192118226601,0.5697674418604651,0.12315270935960591,1,1,10.87,19.59
uav0000140_01590_v,25,256,256,0.1740468817058817,0.30078125,0.05859375,0.6127167630057804,0.28515625,0,0,13.1,19.55
uav0000140_01590_v,61,207,196,0.19538746911695795,0.32653061224489793,0.25510204081632654,1.0,0.6275510204081632,1,0,10.57,19.59
uav0000143_02250_v,1,261,261,0.8334074000557488,1.0,1.0,1.0,0.0,0,0,11.86,22.01
uav0000143_02250_v,93,261,252,0.10913194479735863,0.17857142857142858,0.0992063492063492,1.0,0.5793650793650794,1,0,11.58,22.55
uav0000145_00000_v,15,300,300,0.08707364348607707,0.08,0.006666666666666667,0.6083333333333333,0.0,0,0,13.19,22.74
uav0000145_00000_v,17,300,300,0.15768503879583784,0.30333333333333334,0.01,0.42105263157894735,0.0,0,0,13.02,23.04
uav0000150_02310_v,9,300,300,0.037725390240026364,0.04666666666666667,0.03333333333333333,0.05333333333333334,0.0,0,0,13.33,22.51
uav0000150_02310_v,103,300,298,0.01846743734036869,0.03355704697986577,0.006711409395973154,1.0,0.0,1,0,13.33,22.5
uav0000161_00000_v,0,300,300,0.7108296504640669,1.0,1.0,1.0,0.0,0,0,12.9,23.25
uav0000161_00000_v,211,300,237,0.4908011797777236,0.9409282700421941,0.5527426160337553,0.8396624472573839,0.0,1,0,12.72,23.59
uav0000182_00000_v,127,300,300,0.558813083229345,0.99,0.67,1.0,0.0,0,0,12.95,23.16
uav0000182_00000_v,113,266,217,0.7124908096105814,1.0,0.9861751152073732,1.0,0.0,1,1,11.25,23.65
uav0000188_00000_v,3,260,260,0.654765875062227,1.0,0.9653846153846154,1.0,0.0,0,0,10.72,24.25
uav0000188_00000_v,68,260,140,0.2113727017045313,0.4,0.03571428571428571,0.6631578947368421,0.0,1,0,10.68,24.35
uav0000201_00000_v,1,300,300,0.13718167282651314,0.21666666666666667,0.19333333333333333,1.0,0.6166666666666667,0,0,12.6,23.81
uav0000201_00000_v,73,300,226,0.01172765582637734,0.02654867256637168,0.004424778761061947,1.0,0.16371681415929204,2,0,12.49,24.01
uav0000218_00001_v,14,220,220,0.6936387224772649,1.0,0.990909090909091,1.0,0.0,0,0,9.44,23.3
uav0000218_00001_v,13,203,136,0.8207268989486058,0.9779411764705882,0.9338235294117647,1.0,0.0,1,1,8.71,23.3
uav0000222_03150_v,30,300,300,0.7131193963991649,0.9533333333333334,0.9333333333333333,1.0,0.0,0,0,15.55,19.29
uav0000222_03150_v,26,300,202,0.6851733072358863,0.8811881188118812,0.8118811881188119,0.9891891891891892,0.0,1,0,15.5,19.36
uav0000239_03720_v,71,300,300,0.8366465385639611,1.0,1.0,1.0,0.0,0,0,15.04,19.94
uav0000239_03720_v,75,300,69,0.8174967405212944,1.0,1.0,1.0,0.0,1,0,15.0,19.99
uav0000239_12336_v,72,300,300,0.7629037275252034,1.0,0.9966666666666667,1.0,0.0,0,0,15.03,19.96
uav0000239_12336_v,87,157,95,0.09366080973111478,0.18947368421052632,0.10526315789473684,0.20930232558139536,0.06315789473684211,1,0,8.04,19.52
uav0000243_00001_v,25,300,300,0.727287724460671,1.0,0.9433333333333334,1.0,0.0,0,0,15.05,19.94
uav0000243_00001_v,158,300,300,0.71281114183341,0.86,0.8566666666666667,1.0,0.0,0,0,15.05,19.93
