t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd,loop_ms,dist_n,dist_e,d_true_px,d_dist_px
0.0,ACQUIRE,0.01,-0.01,-8.8,0.51,-0.02,1,0,,,,0.0,0.0,4.6,12.51,2.98,,
0.05,ACQUIRE,0.01,-0.01,-8.92,0.53,-0.02,1,0,,,,0.0,0.0,1.5,12.5,2.98,,
0.1,ACQUIRE,0.01,-0.01,-8.92,0.54,-0.02,1,0,,,,0.0,0.0,0.7,12.49,2.98,,
0.15,ACQUIRE,0.01,-0.01,-9.03,0.55,-0.02,1,0,,,,0.0,0.0,1.5,12.48,2.98,,
0.2,ACQUIRE,0.01,-0.01,-9.03,0.56,-0.02,1,0,,,,0.0,0.0,0.7,12.46,2.98,,
0.25,ACQUIRE,0.01,-0.01,-9.13,0.58,-0.02,1,0,,,,0.0,0.0,1.6,12.45,2.98,,
0.3,ACQUIRE,0.01,-0.01,-9.13,0.59,-0.02,1,0,,,,0.0,0.0,0.9,12.44,2.98,,
0.35,ACQUIRE,0.01,-0.01,-9.22,0.6,-0.02,1,0,,,,0.0,0.0,1.3,12.43,2.98,,
0.4,ACQUIRE,0.01,-0.01,-9.22,0.61,-0.02,1,0,,,,0.0,0.0,0.8,12.41,2.98,,
0.45,ACQUIRE,0.01,-0.01,-9.3,0.63,-0.02,1,0,,,,0.0,0.0,1.6,12.4,2.98,,
0.5,ACQUIRE,0.01,-0.01,-9.3,0.64,-0.02,1,0,,,,0.0,0.0,0.7,12.39,2.98,,
0.55,ACQUIRE,0.01,-0.01,-9.37,0.65,-0.02,1,0,,,,0.0,0.0,1.6,12.38,2.98,,
0.6,ACQUIRE,0.01,-0.01,-9.37,0.66,-0.02,1,0,,,,0.0,0.0,0.9,12.36,2.98,,
0.65,ACQUIRE,0.01,-0.01,-9.43,0.68,-0.02,1,0,,,,0.0,0.0,1.6,12.35,2.98,,
0.7,ACQUIRE,0.01,-0.01,-9.43,0.69,-0.02,1,0,,,,0.0,0.0,0.8,12.34,2.98,,
0.75,ACQUIRE,0.01,-0.01,-9.48,0.7,-0.02,1,0,,,,0.0,0.0,1.5,12.33,2.98,,
0.8,ACQUIRE,0.01,-0.01,-9.48,0.71,-0.02,1,0,,,,0.0,0.0,0.6,12.31,2.98,,
0.85,ACQUIRE,0.01,-0.01,-9.52,0.73,-0.02,1,0,,,,0.0,0.0,1.4,12.3,2.98,,
0.9,ACQUIRE,0.01,-0.01,-9.52,0.74,-0.02,1,0,,,,0.0,0.0,0.9,12.29,2.98,,
0.95,ACQUIRE,0.01,-0.01,-9.55,0.75,-0.02,1,0,,,,0.0,0.0,1.6,12.28,2.98,,
