t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd,loop_ms,dist_n,dist_e,d_true_px,d_dist_px,carry_score
0.0,ACQUIRE,0.01,-0.01,-8.92,0.51,-0.01,1,0,,,,0.0,0.0,6.4,,,,,
0.05,ACQUIRE,0.01,-0.01,-9.03,0.67,-0.01,1,0,,,,0.0,0.0,1.6,,,,,
0.1,ACQUIRE,0.01,-0.01,-9.03,0.82,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.15,ACQUIRE,0.01,-0.01,-9.13,0.97,-0.01,1,0,,,,0.0,0.0,1.5,,,,,
0.2,ACQUIRE,0.01,-0.01,-9.13,1.12,-0.01,1,0,,,,0.0,0.0,1.0,,,,,
0.25,ACQUIRE,0.01,-0.01,-9.23,1.27,-0.01,1,0,,,,0.0,0.0,1.4,,,,,
0.3,ACQUIRE,0.01,-0.01,-9.23,1.42,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.35,ACQUIRE,0.01,-0.01,-9.32,1.57,-0.01,1,0,,,,1.21,0.15,2.5,,,,,
0.4,ACQUIRE,0.01,-0.01,-9.32,1.72,-0.01,1,0,,,,1.3,0.16,1.8,,,,,
0.45,ACQUIRE,0.01,-0.01,-9.4,1.87,-0.01,1,0,,,,1.33,0.17,2.2,,,,,
0.5,ACQUIRE,0.01,-0.01,-9.4,2.02,-0.01,1,0,,,,1.33,0.18,1.9,,,,,
0.55,ACQUIRE,0.01,-0.01,-9.46,2.17,-0.01,1,0,,,,1.32,0.18,2.5,,,,,
0.6,ACQUIRE,0.01,-0.01,-9.46,2.32,-0.01,1,0,,,,1.32,0.19,1.8,,,,,
0.65,ACQUIRE,0.01,-0.01,-9.52,2.47,-0.01,1,0,,,,1.31,0.18,2.5,,,,,
0.7,ACQUIRE,0.01,-0.01,-9.52,2.62,-0.01,1,0,,,,1.31,0.18,1.8,,,,,
0.75,ACQUIRE,0.02,-0.01,-9.57,2.77,-0.01,1,0,,,,1.29,0.18,2.3,,,,,
0.8,ACQUIRE,0.02,-0.01,-9.57,2.92,-0.01,1,0,,,,1.29,0.18,1.8,,,,,
0.85,ACQUIRE,0.04,-0.01,-9.6,3.07,-0.01,1,0,,,,2.86,0.163,2.4,,,,,
0.9,ACQUIRE,0.04,-0.01,-9.6,3.22,-0.01,1,0,,,,2.687,0.135,1.7,,,,,
0.95,ACQUIRE,0.08,-0.01,-9.63,3.37,-0.01,1,0,,,,1.938,0.044,2.3,,,,,
1.0,ACQUIRE,0.08,-0.01,-9.63,3.52,-0.01,1,0,,,,2.418,0.08,1.8,,,,,
1.05,ACQUIRE,0.13,-0.01,-9.65,3.67,-0.01,1,0,,,,2.277,0.356,2.3,,,,,
1.1,ACQUIRE,0.13,-0.01,-9.65,3.82,-0.01,1,0,,,,2.187,0.325,1.8,,,,,
1.15,ACQUIRE,0.2,-0.01,-9.65,3.97,-0.01,1,0,,,,2.078,0.323,2.2,,,,,
1.2,ACQUIRE,0.2,-0.01,-9.65,4.12,-0.01,1,0,,,,2.008,0.312,1.8,,,,,
1.25,ACQUIRE,0.3,-0.01,-9.65,4.27,-0.01,1,0,,,,1.882,0.284,2.5,,,,,
1.3,ACQUIRE,0.3,-0.01,-9.65,4.42,-0.01,1,0,,,,1.827,0.275,1.8,,,,,
1.35,ACQUIRE,0.41,-0.01,-9.65,4.57,-0.01,1,0,,,,2.976,0.279,2.4,,,,,
1.4,ACQUIRE,0.41,-0.01,-9.65,4.72,-0.01,1,0,,,,2.891,0.272,1.8,,,,,
1.45,ACQUIRE,0.55,-0.02,-9.65,4.87,-0.01,1,0,,,,2.742,0.255,2.4,,,,,
1.5,ACQUIRE,0.55,-0.02,-9.65,5.02,-0.01,1,0,,,,2.672,0.261,1.8,,,,,
1.55,ACQUIRE,0.71,-0.02,-9.64,5.17,-0.01,1,0,,,,2.528,0.247,2.4,,,,,
1.6,ACQUIRE,0.71,-0.02,-9.64,5.32,-0.01,1,0,,,,2.469,0.253,1.7,,,,,
1.65,ACQUIRE,0.89,-0.02,-9.63,5.47,-0.01,1,0,,,,2.326,0.253,2.3,,,,,
1.7,ACQUIRE,0.89,-0.02,-9.63,5.62,-0.01,1,0,,,,2.275,0.258,1.8,,,,,
1.75,ACQUIRE,1.08,-0.02,-9.63,5.77,-0.01,1,0,,,,2.133,0.259,2.3,,,,,
1.8,ACQUIRE,1.08,-0.02,-9.63,5.92,-0.01,1,0,,,,2.089,0.264,2.2,,,,,
1.85,ACQUIRE,1.29,-0.03,-9.62,6.07,-0.01,1,0,,,,2.781,0.366,2.2,,,,,
1.9,ACQUIRE,1.29,-0.03,-9.62,6.22,-0.01,1,0,,,,2.807,0.369,1.7,,,,,
1.95,ACQUIRE,1.51,-0.03,-9.62,6.37,-0.01,1,0,,,,2.724,0.358,2.3,,,,,
2.0,ACQUIRE,1.51,-0.03,-9.62,6.52,-0.01,1,0,,,,2.751,0.361,1.9,,,,,
2.05,ACQUIRE,1.73,-0.03,-9.61,6.67,-0.01,1,0,,,,2.672,0.36,2.4,,,,,
2.1,ACQUIRE,1.73,-0.03,-9.61,6.82,-0.01,1,0,,,,2.625,0.363,1.9,,,,,
2.15,ACQUIRE,1.96,-0.04,-9.61,6.97,-0.01,1,0,,,,2.46,0.353,2.5,,,,,
2.2,ACQUIRE,1.96,-0.04,-9.61,7.12,-0.01,1,0,,,,2.419,0.348,1.8,,,,,
2.25,ACQUIRE,2.2,-0.04,-9.61,7.27,-0.01,1,0,,,,2.271,0.321,2.6,,,,,
2.3,ACQUIRE,2.44,-0.04,-9.61,7.42,-0.01,1,0,,,,2.11,0.295,2.4,,,,,
2.35,ACQUIRE,2.44,-0.04,-9.61,7.57,-0.01,1,0,,,,3.27,0.437,6.1,,,,,
2.4,ACQUIRE,2.44,-0.04,-9.61,7.72,-0.01,1,0,,,,3.23,0.448,1.7,,,,,
2.45,ACQUIRE,2.68,-0.04,-9.61,7.87,-0.01,1,0,,,,3.063,0.422,2.4,,,,,
2.5,ACQUIRE,2.68,-0.04,-9.61,8.03,-0.01,1,0,,,,3.019,0.416,1.8,,,,,
2.55,ACQUIRE,2.93,-0.04,-9.61,8.18,-0.01,1,0,,,,2.864,0.391,2.3,,,,,
2.6,ACQUIRE,2.93,-0.04,-9.61,8.33,-0.01,1,0,,,,2.823,0.386,1.7,,,,,
2.65,ACQUIRE,3.17,-0.04,-9.61,8.48,-0.01,1,0,,,,2.663,0.371,2.3,,,,,
2.7,ACQUIRE,3.17,-0.04,-9.61,8.63,-0.01,1,0,,,,2.626,0.366,1.7,,,,,
2.75,ACQUIRE,3.41,-0.04,-9.61,8.78,-0.01,1,0,,,,2.473,0.346,2.4,,,,,
2.8,ACQUIRE,3.41,-0.04,-9.61,8.93,-0.01,1,0,,,,2.458,0.341,1.8,,,,,
2.85,ACQUIRE,3.67,-0.04,-9.61,9.08,-0.01,1,0,,,,3.55,0.481,2.4,,,,,
2.9,ACQUIRE,3.92,-0.03,-9.61,9.23,-0.01,1,0,,,,3.433,0.455,2.2,,,,,
2.95,ACQUIRE,3.92,-0.03,-9.61,9.38,-0.01,1,0,,,,3.433,0.451,1.7,,,,,
3.0,ACQUIRE,3.92,-0.03,-9.61,9.53,-0.01,1,0,,,,3.433,0.454,1.8,,,,,
3.05,ACQUIRE,4.18,-0.03,-9.61,9.68,-0.01,1,0,,,,3.301,0.437,2.3,,,,,
3.1,ACQUIRE,4.18,-0.03,-9.61,9.83,-0.01,1,0,,,,3.302,0.437,1.7,,,,,
3.15,ACQUIRE,4.44,-0.03,-9.61,9.98,-0.01,1,0,,,,3.171,0.421,2.3,,,,,
3.2,ACQUIRE,4.44,-0.03,-9.61,10.13,-0.01,1,0,,,,2.814,0.417,1.7,,,,,
3.25,ACQUIRE,4.7,-0.03,-9.61,10.28,-0.01,1,0,,,,2.677,0.405,2.3,,,,,
3.3,ACQUIRE,4.7,-0.03,-9.61,10.43,-0.01,1,0,,,,2.793,0.422,1.8,,,,,
3.36,ACQUIRE,4.97,-0.02,-9.62,10.58,-0.01,1,0,,,,3.8,0.559,2.5,,,,,
3.41,ACQUIRE,5.26,-0.02,-9.62,10.73,-0.01,1,0,,,,3.658,0.481,2.2,,,,,
3.46,ACQUIRE,5.26,-0.02,-9.62,10.88,-0.01,1,0,,,,3.658,0.485,1.8,,,,,
3.51,ACQUIRE,5.55,-0.02,-9.62,11.03,-0.01,1,0,,,,3.514,0.458,2.3,,,,,
3.56,ACQUIRE,5.55,-0.02,-9.62,11.18,-0.01,1,0,,,,3.514,0.458,1.7,,,,,
3.61,ACQUIRE,5.85,-0.02,-9.62,11.33,-0.01,1,0,,,,3.371,0.441,2.2,,,,,
3.66,ACQUIRE,5.85,-0.02,-9.62,11.48,-0.01,1,0,,,,3.371,0.441,1.7,,,,,
3.71,ACQUIRE,6.15,-0.01,-9.62,11.63,-0.01,1,0,,,,2.863,0.423,2.2,,,,,
