t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd,loop_ms,dist_n,dist_e,d_true_px,d_dist_px,carry_score
0.0,ACQUIRE,0.01,-0.01,-8.92,0.51,-0.01,1,0,,,,0.0,0.0,6.4,,,,,
0.05,ACQUIRE,0.01,-0.01,-8.92,0.64,-0.01,1,0,,,,0.0,0.0,0.6,,,,,
0.1,ACQUIRE,0.01,-0.01,-9.03,0.77,-0.01,1,0,,,,0.0,0.0,1.3,,,,,
0.15,ACQUIRE,0.01,-0.01,-9.03,0.89,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.2,ACQUIRE,0.01,-0.01,-9.13,1.02,-0.01,1,0,,,,0.0,0.0,1.3,,,,,
0.25,ACQUIRE,0.01,-0.01,-9.13,1.14,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.3,ACQUIRE,0.01,-0.01,-9.23,1.27,-0.01,1,0,,,,0.0,0.0,1.3,,,,,
0.35,ACQUIRE,0.01,-0.01,-9.31,1.39,-0.01,1,0,,,,1.11,0.14,2.5,,,,,
0.4,ACQUIRE,0.01,-0.01,-9.31,1.52,-0.01,1,0,,,,1.18,0.14,1.8,,,,,
0.45,ACQUIRE,0.01,-0.01,-9.39,1.64,-0.01,1,0,,,,1.25,0.15,2.4,,,,,
0.5,ACQUIRE,0.01,-0.01,-9.39,1.77,-0.01,1,0,,,,1.32,0.16,1.8,,,,,
0.55,ACQUIRE,0.01,-0.01,-9.46,1.89,-0.01,1,0,,,,1.32,0.17,2.4,,,,,
0.6,ACQUIRE,0.01,-0.01,-9.46,2.02,-0.01,1,0,,,,1.32,0.18,1.8,,,,,
0.65,ACQUIRE,0.01,-0.01,-9.46,2.14,-0.01,1,0,,,,1.32,0.18,1.7,,,,,
0.7,ACQUIRE,0.01,-0.01,-9.51,2.27,-0.01,1,0,,,,1.31,0.18,2.3,,,,,
0.75,ACQUIRE,0.01,-0.01,-9.51,2.39,-0.01,1,0,,,,1.31,0.19,1.8,,,,,
0.8,ACQUIRE,0.03,-0.01,-9.56,2.52,-0.01,1,0,,,,1.28,0.18,2.3,,,,,
0.85,ACQUIRE,0.03,-0.01,-9.56,2.64,-0.01,1,0,,,,2.12,0.3,1.8,,,,,
0.9,ACQUIRE,0.06,-0.01,-9.59,2.77,-0.01,1,0,,,,2.07,0.29,2.3,,,,,
0.95,ACQUIRE,0.06,-0.01,-9.59,2.89,-0.01,1,0,,,,2.07,0.29,1.8,,,,,
1.0,ACQUIRE,0.1,-0.01,-9.61,3.02,-0.01,1,0,,,,2.03,0.28,2.5,,,,,
1.05,ACQUIRE,0.16,-0.01,-9.63,3.14,-0.01,1,0,,,,1.93,0.27,2.3,,,,,
