t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd,loop_ms,dist_n,dist_e,d_true_px,d_dist_px,carry_score
0.0,ACQUIRE,0.01,-0.01,-8.81,0.51,-0.01,1,0,,,,0.0,0.0,4.5,-1.99,2.99,,,
0.05,ACQUIRE,0.01,-0.01,-8.92,0.54,-0.01,1,0,,,,0.0,0.0,1.7,-1.96,2.99,,,
0.1,ACQUIRE,0.01,-0.01,-8.92,0.56,-0.01,1,0,,,,0.0,0.0,0.9,-1.94,2.99,,,
0.15,ACQUIRE,0.01,-0.01,-9.03,0.59,-0.01,1,0,,,,0.0,0.0,1.4,-1.91,2.99,,,
0.2,ACQUIRE,0.01,-0.01,-9.03,0.61,-0.01,1,0,,,,0.0,0.0,0.9,-1.89,2.99,,,
0.25,ACQUIRE,0.01,-0.01,-9.13,0.64,-0.01,1,0,,,,0.0,0.0,1.6,-1.86,2.99,,,
0.3,ACQUIRE,0.01,-0.01,-9.13,0.66,-0.01,1,0,,,,0.0,0.0,1.0,-1.84,2.99,,,
0.35,ACQUIRE,0.01,-0.01,-9.22,0.69,-0.01,1,0,,,,0.56,1.52,2.6,-1.81,2.99,,,
0.4,ACQUIRE,0.01,-0.01,-9.22,0.71,-0.01,1,0,,,,0.57,1.52,1.9,-1.79,2.99,,,
0.45,ACQUIRE,0.01,-0.01,-9.3,0.74,-0.01,1,0,,,,0.59,1.5,2.5,-1.76,2.99,,,
0.5,ACQUIRE,0.01,-0.01,-9.3,0.76,-0.01,1,0,,,,0.6,1.5,2.0,-1.74,2.99,,,
0.55,ACQUIRE,0.01,-0.01,-9.38,0.79,-0.01,1,0,,,,0.61,1.49,2.6,-1.71,2.99,,,
0.6,ACQUIRE,0.01,-0.01,-9.38,0.81,-0.01,1,0,,,,0.63,1.49,1.9,-1.69,2.99,,,
0.65,ACQUIRE,0.01,-0.0,-9.44,0.84,-0.01,1,0,,,,0.63,1.48,2.6,-1.66,2.99,,,
0.7,ACQUIRE,0.01,-0.0,-9.44,0.86,-0.01,1,0,,,,0.64,1.48,1.8,-1.64,2.99,,,
0.75,ACQUIRE,0.02,0.01,-9.49,0.89,-0.01,1,0,,,,0.65,1.47,2.6,-1.61,2.99,,,
0.8,ACQUIRE,0.02,0.01,-9.49,0.91,-0.01,1,0,,,,0.66,1.47,1.9,-1.59,2.99,,,
0.85,ACQUIRE,0.03,0.03,-9.53,0.94,-0.01,1,0,,,,0.8,1.45,2.6,-1.56,2.99,,,
0.9,ACQUIRE,0.03,0.03,-9.53,0.96,-0.01,1,0,,,,0.81,1.45,1.8,-1.54,2.99,,,
0.95,ACQUIRE,0.05,0.07,-9.56,0.99,-0.01,1,0,,,,0.79,1.4,2.4,-1.51,2.99,,,
1.0,ACQUIRE,0.05,0.07,-9.56,1.01,-0.01,1,0,,,,0.81,1.4,1.7,-1.49,2.99,,,
1.05,ACQUIRE,0.08,0.12,-9.57,1.04,-0.01,1,0,,,,0.79,1.33,2.4,-1.46,2.99,,,
1.1,ACQUIRE,0.08,0.12,-9.57,1.06,-0.01,1,0,,,,0.81,1.34,1.9,-1.44,2.99,,,
1.15,ACQUIRE,0.13,0.19,-9.58,1.09,-0.01,1,0,,,,0.78,1.24,2.4,-1.41,2.99,,,
1.2,ACQUIRE,0.13,0.19,-9.58,1.12,-0.01,1,0,,,,0.8,1.24,1.9,-1.38,2.99,,,
1.25,ACQUIRE,0.18,0.27,-9.59,1.14,-0.01,1,0,,,,0.76,1.15,2.4,-1.36,2.99,,,
1.3,ACQUIRE,0.18,0.27,-9.59,1.17,-0.01,1,0,,,,0.78,1.15,1.9,-1.33,2.99,,,
1.35,ACQUIRE,0.24,0.36,-9.59,1.19,-0.01,1,0,,,,0.88,1.05,2.6,-1.31,2.99,,,
1.4,ACQUIRE,0.24,0.36,-9.59,1.22,-0.01,1,0,,,,0.9,1.06,1.9,-1.28,2.99,,,
1.45,ACQUIRE,0.31,0.45,-9.58,1.24,-0.01,1,0,,,,0.85,0.95,2.6,-1.26,2.99,,,
1.5,ACQUIRE,0.31,0.45,-9.58,1.27,-0.01,1,0,,,,0.86,0.95,1.9,-1.23,2.99,,,
1.55,ACQUIRE,0.39,0.55,-9.58,1.29,-0.01,1,0,,,,0.8,0.82,2.6,-1.21,2.99,,,
1.6,ACQUIRE,0.39,0.55,-9.58,1.32,-0.01,1,0,,,,0.82,0.83,1.9,-1.18,2.99,,,
1.65,ACQUIRE,0.47,0.65,-9.57,1.34,-0.01,1,0,,,,0.75,0.71,2.6,-1.16,2.99,,,
1.7,ACQUIRE,0.47,0.65,-9.57,1.37,-0.01,1,0,,,,0.77,0.71,1.8,-1.13,2.99,,,
1.75,ACQUIRE,0.56,0.74,-9.56,1.39,-0.01,1,0,,,,0.7,0.59,2.5,-1.11,2.99,,,
1.8,ACQUIRE,0.56,0.74,-9.56,1.42,-0.01,1,0,,,,0.71,0.59,1.7,-1.08,2.99,,,
1.85,ACQUIRE,0.65,0.84,-9.56,1.44,-0.01,1,0,,,,0.79,0.49,2.6,-1.06,2.99,,,
1.9,ACQUIRE,0.65,0.84,-9.56,1.47,-0.01,1,0,,,,0.8,0.49,1.9,-1.03,2.99,,,
1.95,ACQUIRE,0.74,0.92,-9.55,1.49,-0.01,1,0,,,,0.72,0.38,2.9,-1.01,2.99,,,
2.0,ACQUIRE,0.74,0.92,-9.55,1.52,-0.01,1,0,,,,0.74,0.39,1.9,-0.98,2.99,,,
2.05,ACQUIRE,0.82,1.0,-9.55,1.54,-0.01,1,0,,,,0.67,0.28,2.3,-0.96,2.99,,,
2.1,ACQUIRE,0.82,1.0,-9.55,1.57,-0.01,1,0,,,,0.68,0.28,1.9,-0.93,2.99,,,
2.15,ACQUIRE,0.91,1.08,-9.54,1.59,-0.01,1,0,,,,0.6,0.19,2.3,-0.91,2.99,,,
2.2,ACQUIRE,0.91,1.08,-9.54,1.62,-0.01,1,0,,,,0.62,0.19,1.9,-0.88,2.99,,,
2.25,ACQUIRE,1.0,1.14,-9.54,1.64,-0.01,1,0,,,,0.55,0.1,2.6,-0.86,2.99,,,
2.3,CARRY,1.0,1.14,-9.54,1.67,-0.01,1,0,,,,-0.144,-0.44,554.5,-0.83,2.99,,,
2.86,CARRY,1.45,1.37,-9.54,1.94,-0.01,1,0,244.5,201.0,85.0,0.78,-1.51,49.0,-0.56,2.99,0.4,226.5,6.844
2.91,CARRY,1.45,1.37,-9.54,1.97,-0.01,1,0,244.5,200.0,85.4,0.8,-1.51,52.8,-0.53,2.99,0.9,226.3,7.125
2.96,CARRY,1.51,1.38,-9.54,2.0,-0.01,1,0,243.5,202.0,85.4,0.76,-1.53,49.1,-0.5,2.99,0.8,226.1,7.25
3.01,CARRY,1.51,1.38,-9.54,2.02,-0.01,1,0,243.5,200.0,86.3,0.8,-1.53,53.6,-0.48,2.99,0.2,226.7,7.406
3.07,CARRY,1.58,1.4,-9.54,2.05,-0.01,1,0,242.5,202.0,86.3,0.76,-1.55,49.4,-0.45,2.99,0.3,226.5,7.531
3.12,CARRY,1.58,1.4,-9.54,2.07,-0.01,1,0,242.5,201.0,86.8,0.78,-1.55,54.3,-0.43,2.99,0.8,226.3,7.625
3.17,CARRY,1.64,1.41,-9.55,2.1,-0.01,1,0,242.0,203.0,86.3,0.74,-1.56,48.8,-0.4,2.99,0.9,226.0,7.75
3.22,CARRY,1.64,1.41,-9.55,2.13,-0.01,1,0,242.0,201.0,87.2,0.78,-1.56,54.2,-0.37,2.99,0.3,226.6,7.719
3.28,CARRY,1.69,1.41,-9.55,2.15,-0.01,1,0,242.0,203.0,86.3,0.74,-1.56,49.5,-0.35,2.99,0.6,226.2,7.719
3.33,CARRY,1.69,1.41,-9.55,2.18,-0.01,1,0,242.0,201.5,87.0,0.77,-1.56,54.8,-0.32,2.99,0.5,226.4,7.812
3.38,CARRY,1.75,1.39,-9.55,2.21,-0.01,1,0,243.0,203.5,85.2,0.73,-1.54,49.2,-0.29,2.99,0.7,226.0,7.719
3.44,CARRY,1.8,1.35,-9.55,2.23,-0.01,1,0,244.5,205.5,83.0,0.69,-1.51,55.0,-0.27,2.99,0.5,226.3,8.0
3.49,CARRY,1.8,1.35,-9.55,2.26,-0.01,1,0,245.0,203.5,83.4,0.73,-1.5,48.4,-0.24,2.99,0.3,226.4,8.438
3.54,CARRY,1.85,1.29,-9.55,2.28,-0.01,1,0,248.0,205.5,79.8,0.69,-1.44,55.1,-0.22,2.99,0.1,226.5,8.625
