t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd,loop_ms,dist_n,dist_e,d_true_px,d_dist_px,carry_score
0.0,ACQUIRE,0.01,-0.01,-9.03,0.52,-0.01,1,0,,,,0.0,0.0,2.7,,,,,
0.05,ACQUIRE,0.01,-0.01,-9.03,0.69,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.1,ACQUIRE,0.01,-0.01,-9.13,0.87,-0.01,1,0,,,,0.0,0.0,1.2,,,,,
0.15,ACQUIRE,0.01,-0.01,-9.13,1.04,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.2,ACQUIRE,0.01,-0.01,-9.23,1.22,-0.01,1,0,,,,0.0,0.0,1.5,,,,,
0.25,ACQUIRE,0.01,-0.01,-9.23,1.39,-0.01,1,0,,,,0.0,0.0,0.7,,,,,
0.3,ACQUIRE,0.01,-0.01,-9.32,1.57,-0.01,1,0,,,,0.0,0.0,1.5,,,,,
0.35,ACQUIRE,0.01,-0.01,-9.32,1.74,-0.01,1,0,,,,1.31,0.16,1.8,,,,,
0.4,ACQUIRE,0.01,-0.01,-9.4,1.92,-0.01,1,0,,,,1.35,0.17,2.5,,,,,
0.45,ACQUIRE,0.01,-0.01,-9.4,2.09,-0.01,1,0,,,,1.35,0.18,1.7,,,,,
0.5,ACQUIRE,0.01,-0.01,-9.47,2.27,-0.01,1,0,,,,1.35,0.19,2.5,,,,,
0.55,ACQUIRE,0.01,-0.01,-9.47,2.44,-0.01,1,0,,,,1.35,0.19,1.7,,,,,
0.6,ACQUIRE,0.01,-0.01,-9.53,2.62,-0.01,1,0,,,,1.33,0.19,2.4,,,,,
0.65,ACQUIRE,0.01,-0.01,-9.53,2.79,-0.01,1,0,,,,1.33,0.19,1.8,,,,,
0.7,ACQUIRE,0.01,-0.01,-9.58,2.97,-0.01,1,0,,,,1.32,0.19,2.3,,,,,
0.75,ACQUIRE,0.01,-0.01,-9.58,3.14,-0.01,1,0,,,,1.32,0.19,1.5,,,,,
0.8,ACQUIRE,0.03,-0.01,-9.62,3.32,-0.01,1,0,,,,1.3,0.19,2.3,,,,,
0.85,ACQUIRE,0.03,-0.01,-9.62,3.49,-0.01,1,0,,,,2.611,0.102,1.6,,,,,
0.9,ACQUIRE,0.06,-0.01,-9.64,3.67,-0.01,1,0,,,,2.447,0.085,2.2,,,,,
