t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd,loop_ms,dist_n,dist_e,d_true_px,d_dist_px,carry_score
0.0,ACQUIRE,0.01,-0.01,-8.81,0.51,-0.01,1,0,,,,0.0,0.0,4.6,,,,,
0.05,ACQUIRE,0.01,-0.01,-8.92,0.54,-0.01,1,0,,,,0.0,0.0,1.7,,,,,
0.1,ACQUIRE,0.01,-0.01,-8.92,0.56,-0.01,1,0,,,,0.0,0.0,0.6,,,,,
0.15,ACQUIRE,0.01,-0.01,-9.03,0.59,-0.01,1,0,,,,0.0,0.0,1.3,,,,,
0.2,ACQUIRE,0.01,-0.01,-9.03,0.61,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.25,ACQUIRE,0.01,-0.01,-9.13,0.64,-0.01,1,0,,,,0.0,0.0,1.4,,,,,
0.3,ACQUIRE,0.01,-0.01,-9.13,0.66,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.35,ACQUIRE,0.01,-0.01,-9.22,0.69,-0.01,1,0,,,,0.7,0.08,2.5,,,,,
0.4,ACQUIRE,0.01,-0.01,-9.22,0.71,-0.01,1,0,,,,0.71,0.08,1.7,,,,,
0.45,ACQUIRE,0.01,-0.01,-9.3,0.74,-0.01,1,0,,,,0.73,0.08,2.2,,,,,
0.5,ACQUIRE,0.01,-0.01,-9.3,0.76,-0.01,1,0,,,,0.74,0.08,1.8,,,,,
0.55,ACQUIRE,0.01,-0.01,-9.38,0.79,-0.01,1,0,,,,0.75,0.09,2.5,,,,,
0.6,ACQUIRE,0.01,-0.01,-9.38,0.81,-0.01,1,0,,,,0.77,0.09,1.8,,,,,
0.65,ACQUIRE,0.01,-0.01,-9.44,0.84,-0.01,1,0,,,,0.77,0.09,2.5,,,,,
0.7,ACQUIRE,0.01,-0.01,-9.44,0.86,-0.01,1,0,,,,0.78,0.09,1.7,,,,,
0.75,ACQUIRE,0.03,-0.01,-9.49,0.89,-0.01,1,0,,,,0.78,0.08,2.4,,,,,
0.8,ACQUIRE,0.03,-0.01,-9.49,0.91,-0.01,1,0,,,,0.8,0.09,1.7,,,,,
0.85,ACQUIRE,0.05,-0.01,-9.53,0.94,-0.01,1,0,,,,0.93,0.11,2.4,,,,,
0.9,ACQUIRE,0.05,-0.01,-9.53,0.96,-0.01,1,0,,,,0.94,0.11,1.7,,,,,
