t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd,loop_ms,dist_n,dist_e,d_true_px,d_dist_px,carry_score
0.0,ACQUIRE,0.01,-0.01,-8.92,0.51,-0.01,1,0,,,,0.0,0.0,2.2,,,,,
0.05,ACQUIRE,0.01,-0.01,-9.03,0.67,-0.01,1,0,,,,0.0,0.0,1.6,,,,,
0.1,ACQUIRE,0.01,-0.01,-9.03,0.82,-0.01,1,0,,,,0.0,0.0,0.7,,,,,
0.15,ACQUIRE,0.01,-0.01,-9.13,0.97,-0.01,1,0,,,,0.0,0.0,1.3,,,,,
0.2,ACQUIRE,0.01,-0.01,-9.13,1.12,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.25,ACQUIRE,0.01,-0.01,-9.23,1.27,-0.01,1,0,,,,0.0,0.0,1.5,,,,,
0.3,ACQUIRE,0.01,-0.01,-9.23,1.42,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.35,ACQUIRE,0.01,-0.01,-9.32,1.57,-0.01,1,0,,,,1.21,0.15,2.5,,,,,
0.4,ACQUIRE,0.01,-0.01,-9.32,1.72,-0.01,1,0,,,,1.3,0.16,1.7,,,,,
0.45,ACQUIRE,0.01,-0.01,-9.4,1.87,-0.01,1,0,,,,1.33,0.17,2.5,,,,,
0.5,ACQUIRE,0.01,-0.01,-9.4,2.02,-0.01,1,0,,,,1.33,0.18,1.9,,,,,
0.55,ACQUIRE,0.01,-0.01,-9.46,2.17,-0.01,1,0,,,,1.32,0.18,2.5,,,,,
0.6,ACQUIRE,0.01,-0.01,-9.46,2.32,-0.01,1,0,,,,1.32,0.19,1.8,,,,,
0.65,ACQUIRE,0.01,-0.01,-9.52,2.47,-0.01,1,0,,,,1.31,0.18,2.2,,,,,
0.7,ACQUIRE,0.01,-0.01,-9.52,2.62,-0.01,1,0,,,,1.31,0.18,1.8,,,,,
0.75,ACQUIRE,0.02,-0.01,-9.57,2.77,-0.01,1,0,,,,1.29,0.18,2.4,,,,,
0.8,ACQUIRE,0.02,-0.01,-9.57,2.92,-0.01,1,0,,,,1.29,0.18,1.9,,,,,
0.85,ACQUIRE,0.04,-0.01,-9.6,3.07,-0.01,1,0,,,,2.857,0.163,2.4,,,,,
0.9,ACQUIRE,0.04,-0.01,-9.6,3.22,-0.01,1,0,,,,2.685,0.135,1.8,,,,,
0.95,ACQUIRE,0.08,-0.01,-9.63,3.37,-0.01,1,0,,,,1.935,0.044,2.3,,,,,
1.0,ACQUIRE,0.13,-0.01,-9.64,3.52,-0.01,1,0,,,,2.378,0.072,2.3,,,,,
1.05,ACQUIRE,0.13,-0.01,-9.64,3.67,-0.01,1,0,,,,2.274,0.356,1.7,,,,,
1.1,ACQUIRE,0.2,-0.01,-9.65,3.82,-0.01,1,0,,,,2.17,0.336,2.2,,,,,
1.15,ACQUIRE,0.2,-0.01,-9.65,3.97,-0.01,1,0,,,,2.09,0.308,1.9,,,,,
1.2,ACQUIRE,0.29,-0.01,-9.65,4.12,-0.01,1,0,,,,1.968,0.292,2.5,,,,,
1.25,ACQUIRE,0.29,-0.01,-9.65,4.27,-0.01,1,0,,,,1.906,0.283,1.8,,,,,
1.3,ACQUIRE,0.29,-0.01,-9.65,4.42,-0.01,1,0,,,,1.85,0.274,1.8,,,,,
1.35,ACQUIRE,0.41,-0.01,-9.65,4.57,-0.01,1,0,,,,3.01,0.292,2.5,,,,,
1.4,ACQUIRE,0.41,-0.01,-9.65,4.72,-0.01,1,0,,,,2.924,0.284,1.7,,,,,
1.45,ACQUIRE,0.55,-0.02,-9.64,4.87,-0.01,1,0,,,,2.785,0.266,2.4,,,,,
1.5,ACQUIRE,0.55,-0.02,-9.64,5.02,-0.01,1,0,,,,2.714,0.272,1.7,,,,,
1.55,ACQUIRE,0.71,-0.02,-9.64,5.17,-0.01,1,0,,,,2.569,0.269,2.4,,,,,
1.6,ACQUIRE,0.71,-0.02,-9.64,5.32,-0.01,1,0,,,,2.509,0.274,1.8,,,,,
1.65,ACQUIRE,0.88,-0.02,-9.63,5.47,-0.01,1,0,,,,2.364,0.273,2.3,,,,,
1.7,ACQUIRE,0.88,-0.02,-9.63,5.62,-0.01,1,0,,,,2.312,0.278,1.9,,,,,
1.75,ACQUIRE,1.07,-0.03,-9.62,5.77,-0.01,1,0,,,,2.18,0.267,2.3,,,,,
1.8,ACQUIRE,1.28,-0.03,-9.62,5.92,-0.01,1,0,,,,2.018,0.257,2.1,,,,,
1.85,ACQUIRE,1.28,-0.03,-9.62,6.07,-0.01,1,0,,,,2.776,0.364,1.7,,,,,
1.9,ACQUIRE,1.5,-0.03,-9.61,6.22,-0.01,1,0,,,,2.693,0.363,3.0,,,,,
1.95,ACQUIRE,1.5,-0.03,-9.61,6.37,-0.01,1,0,,,,2.719,0.366,1.8,,,,,
2.0,ACQUIRE,1.5,-0.03,-9.61,6.52,-0.01,1,0,,,,2.756,0.369,1.9,,,,,
2.05,ACQUIRE,1.73,-0.03,-9.61,6.67,-0.01,1,0,,,,2.669,0.358,2.5,,,,,
2.1,ACQUIRE,1.73,-0.03,-9.61,6.82,-0.01,1,0,,,,2.622,0.362,1.8,,,,,
2.15,ACQUIRE,1.96,-0.04,-9.61,6.97,-0.01,1,0,,,,2.458,0.343,2.2,,,,,
2.2,ACQUIRE,1.96,-0.04,-9.61,7.12,-0.01,1,0,,,,2.416,0.338,1.7,,,,,
2.25,ACQUIRE,2.19,-0.04,-9.6,7.27,-0.01,1,0,,,,2.261,0.32,2.3,,,,,
2.3,ACQUIRE,2.19,-0.04,-9.6,7.42,-0.01,1,0,,,,2.224,0.315,1.7,,,,,
2.35,ACQUIRE,2.44,-0.04,-9.6,7.57,-0.01,1,0,,,,3.278,0.429,2.4,,,,,
2.4,ACQUIRE,2.44,-0.04,-9.6,7.72,-0.01,1,0,,,,3.23,0.431,1.7,,,,,
2.45,ACQUIRE,2.68,-0.04,-9.6,7.87,-0.01,1,0,,,,3.063,0.422,2.4,,,,,
2.5,ACQUIRE,2.93,-0.04,-9.6,8.03,-0.01,1,0,,,,2.899,0.398,2.3,,,,,
2.55,ACQUIRE,2.93,-0.04,-9.6,8.18,-0.01,1,0,,,,2.857,0.392,1.7,,,,,
2.6,ACQUIRE,3.18,-0.04,-9.6,8.33,-0.01,1,0,,,,2.696,0.369,2.2,,,,,
2.65,ACQUIRE,3.18,-0.04,-9.6,8.48,-0.01,1,0,,,,2.658,0.364,1.8,,,,,
2.7,ACQUIRE,3.43,-0.04,-9.6,8.63,-0.01,1,0,,,,2.501,0.35,2.4,,,,,
2.75,ACQUIRE,3.43,-0.04,-9.6,8.78,-0.01,1,0,,,,2.469,0.347,1.8,,,,,
2.8,ACQUIRE,3.68,-0.03,-9.61,8.93,-0.01,1,0,,,,2.321,0.317,2.4,,,,,
2.85,ACQUIRE,3.68,-0.03,-9.61,9.08,-0.01,1,0,,,,3.66,0.482,1.6,,,,,
2.9,ACQUIRE,3.68,-0.03,-9.61,9.23,-0.01,1,0,,,,3.66,0.489,1.7,,,,,
2.95,ACQUIRE,3.94,-0.03,-9.61,9.38,-0.01,1,0,,,,3.528,0.468,2.5,,,,,
3.0,ACQUIRE,3.94,-0.03,-9.61,9.53,-0.01,1,0,,,,3.528,0.471,9.2,,,,,
3.05,ACQUIRE,4.2,-0.03,-9.61,9.68,-0.01,1,0,,,,3.405,0.446,2.2,,,,,
3.1,ACQUIRE,4.46,-0.03,-9.61,9.83,-0.01,1,0,,,,3.275,0.437,2.4,,,,,
3.15,ACQUIRE,4.46,-0.03,-9.61,9.98,-0.01,1,0,,,,3.275,0.437,1.7,,,,,
3.2,ACQUIRE,4.72,-0.02,-9.61,10.13,-0.01,1,0,,,,2.788,0.417,2.3,,,,,
3.25,ACQUIRE,4.72,-0.02,-9.61,10.28,-0.01,1,0,,,,2.788,0.421,1.7,,,,,
3.3,ACQUIRE,4.98,-0.02,-9.61,10.43,-0.01,1,0,,,,2.775,0.422,2.2,,,,,
3.35,ACQUIRE,4.98,-0.02,-9.61,10.58,-0.01,1,0,,,,3.814,0.561,1.7,,,,,
3.4,ACQUIRE,5.26,-0.02,-9.62,10.73,-0.01,1,0,,,,3.675,0.473,2.4,,,,,
3.45,ACQUIRE,5.26,-0.02,-9.62,10.88,-0.01,1,0,,,,3.67,0.474,1.8,,,,,
3.51,ACQUIRE,5.26,-0.02,-9.62,11.03,-0.01,1,0,,,,3.67,0.478,1.9,,,,,
3.56,ACQUIRE,5.55,-0.02,-9.62,11.18,-0.01,1,0,,,,3.528,0.463,2.5,,,,,
