t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd,loop_ms,dist_n,dist_e,d_true_px,d_dist_px,carry_score
0.0,ACQUIRE,0.01,-0.01,-8.92,0.52,-0.01,1,0,,,,0.0,0.0,2.2,,,,,
0.05,ACQUIRE,0.01,-0.01,-9.03,0.67,-0.01,1,0,,,,0.0,0.0,1.3,,,,,
0.1,ACQUIRE,0.01,-0.01,-9.03,0.82,-0.01,1,0,,,,0.0,0.0,0.5,,,,,
0.15,ACQUIRE,0.01,-0.01,-9.13,0.97,-0.01,1,0,,,,0.0,0.0,1.3,,,,,
0.2,ACQUIRE,0.01,-0.01,-9.13,1.12,-0.01,1,0,,,,0.0,0.0,0.9,,,,,
0.25,ACQUIRE,0.01,-0.01,-9.23,1.27,-0.01,1,0,,,,0.0,0.0,1.5,,,,,
0.3,ACQUIRE,0.01,-0.01,-9.23,1.42,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.35,ACQUIRE,0.01,-0.01,-9.32,1.57,-0.01,1,0,,,,1.21,0.15,2.7,,,,,
0.4,ACQUIRE,0.01,-0.01,-9.32,1.72,-0.01,1,0,,,,1.3,0.16,1.8,,,,,
0.45,ACQUIRE,0.01,-0.01,-9.39,1.87,-0.01,1,0,,,,1.33,0.17,2.6,,,,,
0.5,ACQUIRE,0.01,-0.01,-9.39,2.02,-0.01,1,0,,,,1.33,0.18,1.8,,,,,
0.55,ACQUIRE,0.01,-0.01,-9.46,2.17,-0.01,1,0,,,,1.32,0.18,2.4,,,,,
0.6,ACQUIRE,0.01,-0.01,-9.46,2.32,-0.01,1,0,,,,1.32,0.19,1.8,,,,,
0.65,ACQUIRE,0.01,-0.01,-9.52,2.47,-0.01,1,0,,,,1.31,0.18,2.4,,,,,
0.7,ACQUIRE,0.01,-0.01,-9.52,2.62,-0.01,1,0,,,,1.31,0.18,1.9,,,,,
0.75,ACQUIRE,0.02,-0.01,-9.56,2.77,-0.01,1,0,,,,1.29,0.18,2.4,,,,,
0.8,ACQUIRE,0.02,-0.01,-9.56,2.92,-0.01,1,0,,,,1.29,0.18,1.8,,,,,
0.85,ACQUIRE,0.04,-0.01,-9.6,3.07,-0.01,1,0,,,,2.862,0.163,2.2,,,,,
0.9,ACQUIRE,0.04,-0.01,-9.6,3.22,-0.01,1,0,,,,2.689,0.136,1.7,,,,,
0.95,ACQUIRE,0.08,-0.01,-9.62,3.37,-0.01,1,0,,,,1.942,0.044,2.3,,,,,
1.0,ACQUIRE,0.08,-0.01,-9.62,3.52,-0.01,1,0,,,,2.421,0.081,1.9,,,,,
1.05,ACQUIRE,0.13,-0.01,-9.64,3.67,-0.01,1,0,,,,2.282,0.356,2.5,,,,,
1.1,ACQUIRE,0.13,-0.01,-9.64,3.82,-0.01,1,0,,,,2.192,0.326,1.8,,,,,
1.15,ACQUIRE,0.21,-0.01,-9.64,3.97,-0.01,1,0,,,,2.07,0.309,2.4,,,,,
1.2,ACQUIRE,0.21,-0.01,-9.64,4.12,-0.01,1,0,,,,2.0,0.298,1.7,,,,,
1.25,ACQUIRE,0.31,-0.01,-9.65,4.27,-0.01,1,0,,,,1.891,0.284,2.5,,,,,
1.3,ACQUIRE,0.31,-0.01,-9.65,4.42,-0.01,1,0,,,,1.835,0.275,1.7,,,,,
1.35,ACQUIRE,0.43,-0.02,-9.64,4.57,-0.01,1,0,,,,2.973,0.28,2.5,,,,,
1.4,ACQUIRE,0.43,-0.02,-9.64,4.72,-0.01,1,0,,,,2.888,0.272,1.8,,,,,
1.45,ACQUIRE,0.57,-0.02,-9.64,4.87,-0.01,1,0,,,,2.741,0.255,2.4,,,,,
1.5,ACQUIRE,0.57,-0.02,-9.64,5.02,-0.01,1,0,,,,2.671,0.261,1.8,,,,,
1.55,ACQUIRE,0.73,-0.02,-9.63,5.17,-0.01,1,0,,,,2.518,0.259,2.4,,,,,
1.6,ACQUIRE,0.73,-0.02,-9.63,5.32,-0.01,1,0,,,,2.459,0.264,1.7,,,,,
1.65,ACQUIRE,0.91,-0.02,-9.62,5.47,-0.01,1,0,,,,2.318,0.252,2.6,,,,,
1.7,ACQUIRE,0.91,-0.02,-9.62,5.62,-0.01,1,0,,,,2.267,0.258,1.8,,,,,
1.75,ACQUIRE,1.1,-0.03,-9.62,5.77,-0.01,1,0,,,,2.117,0.269,2.3,,,,,
1.8,ACQUIRE,1.1,-0.03,-9.62,5.92,-0.01,1,0,,,,2.073,0.274,1.8,,,,,
1.85,ACQUIRE,1.32,-0.03,-9.61,6.07,-0.01,1,0,,,,2.757,0.365,2.5,,,,,
1.9,ACQUIRE,1.32,-0.03,-9.61,6.22,-0.01,1,0,,,,2.793,0.368,1.9,,,,,
1.95,ACQUIRE,1.54,-0.03,-9.61,6.37,-0.01,1,0,,,,2.701,0.366,2.4,,,,,
2.0,ACQUIRE,1.54,-0.03,-9.61,6.52,-0.01,1,0,,,,2.738,0.369,1.8,,,,,
2.05,ACQUIRE,1.76,-0.04,-9.6,6.67,-0.01,1,0,,,,2.66,0.359,2.4,,,,,
2.1,ACQUIRE,1.76,-0.04,-9.6,6.82,-0.01,1,0,,,,2.613,0.362,1.6,,,,,
2.15,ACQUIRE,1.99,-0.04,-9.6,6.97,-0.01,1,0,,,,2.449,0.343,2.5,,,,,
2.2,ACQUIRE,1.99,-0.04,-9.6,7.12,-0.01,1,0,,,,2.408,0.338,1.9,,,,,
2.25,ACQUIRE,2.23,-0.04,-9.6,7.27,-0.01,1,0,,,,2.252,0.32,2.2,,,,,
2.3,ACQUIRE,2.23,-0.04,-9.6,7.42,-0.01,1,0,,,,2.215,0.315,1.7,,,,,
2.35,ACQUIRE,2.47,-0.04,-9.6,7.57,-0.01,1,0,,,,3.26,0.428,2.2,,,,,
2.4,ACQUIRE,2.47,-0.04,-9.6,7.72,-0.01,1,0,,,,3.229,0.431,1.8,,,,,
2.45,ACQUIRE,2.72,-0.04,-9.6,7.87,-0.01,1,0,,,,3.062,0.422,2.4,,,,,
2.5,ACQUIRE,2.72,-0.04,-9.6,8.02,-0.01,1,0,,,,3.018,0.416,1.9,,,,,
2.55,ACQUIRE,2.96,-0.04,-9.6,8.18,-0.01,1,0,,,,2.855,0.392,2.3,,,,,
2.6,ACQUIRE,2.96,-0.04,-9.6,8.33,-0.01,1,0,,,,2.814,0.387,1.7,,,,,
2.65,ACQUIRE,3.21,-0.04,-9.6,8.48,-0.01,1,0,,,,2.655,0.364,2.5,,,,,
2.7,ACQUIRE,3.21,-0.04,-9.6,8.63,-0.01,1,0,,,,2.618,0.36,1.7,,,,,
2.75,ACQUIRE,3.46,-0.04,-9.6,8.78,-0.01,1,0,,,,2.466,0.347,2.3,,,,,
2.8,ACQUIRE,3.46,-0.04,-9.6,8.93,-0.01,1,0,,,,2.452,0.343,1.7,,,,,
2.85,ACQUIRE,3.71,-0.04,-9.6,9.08,-0.01,1,0,,,,3.544,0.474,2.3,,,,,
2.9,ACQUIRE,3.71,-0.04,-9.6,9.23,-0.01,1,0,,,,3.545,0.473,1.7,,,,,
2.95,ACQUIRE,3.97,-0.04,-9.6,9.38,-0.01,1,0,,,,3.413,0.452,2.3,,,,,
3.0,ACQUIRE,3.97,-0.04,-9.6,9.53,-0.01,1,0,,,,3.412,0.456,8.8,,,,,
3.05,ACQUIRE,4.23,-0.03,-9.6,9.68,-0.01,1,0,,,,3.283,0.439,2.1,,,,,
3.1,ACQUIRE,4.23,-0.03,-9.6,9.83,-0.01,1,0,,,,3.283,0.438,1.7,,,,,
3.15,ACQUIRE,4.49,-0.03,-9.61,9.98,-0.01,1,0,,,,3.153,0.422,2.5,,,,,
3.2,ACQUIRE,4.49,-0.03,-9.61,10.13,-0.01,1,0,,,,2.796,0.418,1.8,,,,,
3.25,ACQUIRE,4.76,-0.03,-9.61,10.28,-0.01,1,0,,,,2.668,0.406,2.4,,,,,
3.3,ACQUIRE,4.76,-0.03,-9.61,10.43,-0.01,1,0,,,,2.783,0.423,1.8,,,,,
3.35,ACQUIRE,5.03,-0.03,-9.61,10.58,-0.01,1,0,,,,3.799,0.568,2.5,,,,,
3.4,ACQUIRE,5.03,-0.03,-9.61,10.73,-0.01,1,0,,,,3.8,0.507,1.7,,,,,
3.45,ACQUIRE,5.32,-0.02,-9.61,10.88,-0.01,1,0,,,,3.656,0.486,2.4,,,,,
3.51,ACQUIRE,5.32,-0.02,-9.61,11.03,-0.01,1,0,,,,3.657,0.487,1.8,,,,,
3.56,ACQUIRE,5.61,-0.02,-9.61,11.18,-0.01,1,0,,,,3.515,0.464,2.3,,,,,
3.61,ACQUIRE,5.61,-0.02,-9.61,11.33,-0.01,1,0,,,,3.514,0.464,1.8,,,,,
3.66,ACQUIRE,5.91,-0.02,-9.61,11.48,-0.01,1,0,,,,3.367,0.442,2.3,,,,,
3.71,ACQUIRE,5.91,-0.02,-9.61,11.63,-0.01,1,0,,,,3.013,0.439,1.7,,,,,
3.76,ACQUIRE,6.21,-0.02,-9.62,11.78,-0.01,1,0,,,,2.86,0.425,2.2,,,,,
3.81,ACQUIRE,6.21,-0.02,-9.62,11.93,-0.01,1,0,,,,2.86,0.424,1.7,,,,,
3.86,ACQUIRE,6.53,-0.01,-9.62,12.08,-0.01,1,0,,,,3.961,0.56,2.4,,,,,
3.91,ACQUIRE,6.53,-0.01,-9.62,12.23,-0.01,1,0,,,,3.961,0.555,1.8,,,,,
3.96,ACQUIRE,6.84,-0.01,-9.62,12.38,-0.01,1,0,,,,3.853,0.527,2.3,,,,,
4.01,ACQUIRE,6.84,-0.01,-9.62,12.53,-0.01,1,0,,,,3.853,0.526,1.8,,,,,
4.06,ACQUIRE,7.17,-0.01,-9.62,12.68,-0.01,1,0,,,,3.692,0.509,2.2,,,,,
4.11,ACQUIRE,7.17,-0.01,-9.62,12.83,-0.01,1,0,,,,3.693,0.498,1.7,,,,,
4.16,ACQUIRE,7.49,-0.0,-9.62,12.98,-0.01,1,0,,,,3.533,0.475,2.4,,,,,
4.21,ACQUIRE,7.49,-0.0,-9.62,13.13,-0.01,1,0,,,,3.231,0.435,1.7,,,,,
4.26,ACQUIRE,7.82,-0.0,-9.62,13.28,-0.01,1,0,,,,3.032,0.412,2.3,,,,,
4.31,ACQUIRE,7.82,-0.0,-9.62,13.43,-0.01,1,0,,,,3.005,0.404,1.7,,,,,
4.36,ACQUIRE,8.16,0.0,-9.62,13.58,-0.01,1,0,,,,3.966,0.517,2.3,,,,,
4.41,ACQUIRE,8.16,0.0,-9.62,13.73,-0.01,1,0,,,,3.966,0.517,1.7,,,,,
4.46,ACQUIRE,8.5,0.01,-9.62,13.88,-0.01,1,0,,,,3.969,0.499,2.2,,,,,
4.51,ACQUIRE,8.5,0.01,-9.62,14.03,-0.01,1,0,,,,3.969,0.498,1.9,,,,,
4.56,ACQUIRE,8.84,0.01,-9.63,14.18,-0.01,1,0,,,,3.83,0.49,2.2,,,,,
4.61,ACQUIRE,8.84,0.01,-9.63,14.33,-0.01,1,0,,,,3.829,0.489,1.8,,,,,
4.66,ACQUIRE,9.19,0.01,-9.63,14.48,-0.01,1,0,,,,3.661,0.461,2.3,,,,,
4.71,ACQUIRE,9.19,0.01,-9.63,14.63,-0.01,1,0,,,,3.151,0.403,1.8,,,,,
4.76,ACQUIRE,9.53,0.01,-9.63,14.78,-0.01,1,0,,,,2.977,0.372,2.5,,,,,
4.81,ACQUIRE,9.53,0.01,-9.63,14.93,-0.01,1,0,,,,2.976,0.365,1.7,,,,,
4.86,ACQUIRE,9.89,0.01,-9.63,15.09,-0.01,1,0,,,,3.969,0.495,2.3,,,,,
4.91,ACQUIRE,9.89,0.01,-9.63,15.24,-0.01,1,0,,,,3.969,0.497,1.7,,,,,
4.96,ACQUIRE,10.25,0.02,-9.63,15.39,-0.01,1,0,,,,3.969,0.498,2.3,,,,,
5.01,ACQUIRE,10.25,0.02,-9.63,15.54,-0.01,1,0,,,,3.969,0.499,1.7,,,,,
5.06,ACQUIRE,10.61,0.02,-9.63,15.69,-0.01,1,0,,,,3.886,0.483,2.3,,,,,
5.11,ACQUIRE,10.61,0.02,-9.63,15.84,-0.01,1,0,,,,3.884,0.48,1.8,,,,,
5.16,ACQUIRE,10.97,0.02,-9.63,15.99,-0.01,1,0,,,,3.699,0.468,2.2,,,,,
5.21,ACQUIRE,10.97,0.02,-9.63,16.14,-0.01,1,0,,,,3.139,0.398,2.0,,,,,
5.26,ACQUIRE,11.33,0.02,-9.63,16.29,-0.01,1,0,,,,2.963,0.37,2.4,,,,,
5.31,ACQUIRE,11.33,0.02,-9.63,16.44,-0.01,1,0,,,,2.965,0.369,6.0,,,,,
5.36,ACQUIRE,11.7,0.02,-9.63,16.59,-0.01,1,0,,,,3.967,0.51,2.3,,,,,
5.41,ACQUIRE,11.7,0.02,-9.63,16.74,-0.01,1,0,,,,3.967,0.51,1.7,,,,,
5.46,ACQUIRE,12.07,0.02,-9.63,16.89,-0.01,1,0,,,,3.968,0.504,2.5,,,,,
5.51,ACQUIRE,12.07,0.02,-9.63,17.04,-0.01,1,0,,,,3.968,0.504,1.7,,,,,
5.56,ACQUIRE,12.44,0.02,-9.63,17.19,-0.01,1,0,,,,3.906,0.498,2.5,,,,,
5.61,ACQUIRE,12.44,0.02,-9.63,17.34,-0.01,1,0,,,,3.904,0.498,1.7,,,,,
5.66,ACQUIRE,12.81,0.01,-9.63,17.49,-0.01,1,0,,,,3.722,0.479,2.3,,,,,
5.71,ACQUIRE,12.81,0.01,-9.63,17.64,-0.01,1,0,,,,3.139,0.401,1.8,,,,,
5.76,ACQUIRE,13.18,0.01,-9.63,17.79,-0.01,1,0,,,,2.958,0.373,2.3,,,,,
5.81,ACQUIRE,13.18,0.01,-9.63,17.94,-0.01,1,0,,,,2.96,0.374,1.8,,,,,
5.86,ACQUIRE,13.56,0.01,-9.63,18.09,-0.01,1,0,,,,3.969,0.493,2.2,,,,,
5.91,ACQUIRE,13.56,0.01,-9.63,18.24,-0.01,1,0,,,,3.969,0.499,1.8,,,,,
5.96,ACQUIRE,13.94,0.01,-9.63,18.39,-0.01,1,0,,,,3.968,0.501,2.4,,,,,
6.01,ACQUIRE,13.94,0.01,-9.63,18.54,-0.01,1,0,,,,3.968,0.503,1.9,,,,,
6.06,ACQUIRE,14.31,0.01,-9.63,18.69,-0.01,1,0,,,,3.926,0.492,2.5,,,,,
6.11,ACQUIRE,14.31,0.01,-9.63,18.84,-0.01,1,0,,,,3.927,0.489,1.8,,,,,
6.16,ACQUIRE,14.68,0.01,-9.64,18.99,-0.01,1,0,,,,3.738,0.469,2.6,,,,,
6.21,ACQUIRE,14.68,0.01,-9.64,19.14,-0.01,1,0,,,,3.14,0.393,1.8,,,,,
6.26,ACQUIRE,15.06,0.01,-9.64,19.29,-0.01,1,0,,,,2.952,0.365,3.0,,,,,
6.31,ACQUIRE,15.06,0.01,-9.64,19.44,-0.01,1,0,,,,2.95,0.368,1.7,,,,,
6.36,ACQUIRE,15.43,0.01,-9.64,19.59,-0.01,1,0,,,,3.97,0.49,2.8,,,,,
6.41,ACQUIRE,15.43,0.01,-9.64,19.74,-0.01,1,0,,,,3.969,0.494,1.6,,,,,
6.46,ACQUIRE,15.81,0.01,-9.64,19.89,-0.01,1,0,,,,3.969,0.496,2.3,,,,,
6.51,ACQUIRE,15.81,0.01,-9.64,20.04,-0.01,1,0,,,,3.969,0.496,1.8,,,,,
6.56,ACQUIRE,16.18,0.01,-9.64,20.19,-0.01,1,0,,,,3.941,0.496,2.3,,,,,
6.61,ACQUIRE,16.18,0.01,-9.64,20.34,-0.01,1,0,,,,3.942,0.495,1.7,,,,,
6.66,ACQUIRE,16.56,0.01,-9.64,20.49,-0.01,1,0,,,,3.762,0.468,2.4,,,,,
6.71,ACQUIRE,16.56,0.01,-9.64,20.64,-0.01,1,0,,,,3.119,0.389,1.9,,,,,
6.76,ACQUIRE,16.93,0.01,-9.64,20.79,-0.01,1,0,,,,2.923,0.378,2.5,,,,,
6.81,ACQUIRE,16.93,0.01,-9.64,20.94,-0.01,1,0,,,,2.923,0.384,1.9,,,,,
6.86,ACQUIRE,17.31,0.01,-9.64,21.09,-0.01,1,0,,,,3.919,0.492,2.5,,,,,
6.91,ACQUIRE,17.31,0.01,-9.64,21.24,-0.01,1,0,,,,3.969,0.5,1.8,,,,,
6.96,ACQUIRE,17.69,0.01,-9.64,21.39,-0.01,1,0,,,,3.873,0.473,2.5,,,,,
7.01,ACQUIRE,17.69,0.01,-9.64,21.54,-0.01,1,0,,,,3.944,0.484,1.8,,,,,
7.06,ACQUIRE,18.07,0.01,-9.64,21.69,-0.01,1,0,,,,3.823,0.479,2.4,,,,,
7.11,ACQUIRE,18.07,0.01,-9.64,21.84,-0.01,1,0,,,,3.884,0.49,1.7,,,,,
7.16,ACQUIRE,18.45,0.01,-9.64,21.99,-0.01,1,0,,,,3.721,0.463,2.3,,,,,
7.21,ACQUIRE,18.45,0.01,-9.64,22.14,-0.01,1,0,,,,3.059,0.385,1.8,,,,,
7.26,ACQUIRE,18.83,0.0,-9.64,22.3,-0.01,1,0,,,,2.873,0.373,2.3,,,,,
7.31,ACQUIRE,18.83,0.0,-9.64,22.45,-0.01,1,0,,,,2.874,0.371,1.7,,,,,
7.36,ACQUIRE,19.21,0.0,-9.64,22.6,-0.01,1,0,,,,3.701,0.463,2.2,,,,,
7.41,ACQUIRE,19.21,0.0,-9.64,22.75,-0.01,1,0,,,,3.765,0.473,1.8,,,,,
7.46,ACQUIRE,19.59,0.0,-9.64,22.9,-0.01,1,0,,,,3.644,0.467,2.4,,,,,
7.51,ACQUIRE,19.59,0.0,-9.64,23.05,-0.01,1,0,,,,3.719,0.471,1.9,,,,,
7.56,ACQUIRE,19.96,-0.0,-9.64,23.2,-0.01,1,0,,,,3.603,0.45,2.3,,,,,
7.61,ACQUIRE,19.96,-0.0,-9.64,23.35,-0.01,1,0,,,,3.665,0.46,5.3,,,,,
7.66,ACQUIRE,20.33,-0.0,-9.64,23.5,-0.01,1,0,,,,3.541,0.457,2.5,,,,,
7.71,ACQUIRE,20.33,-0.0,-9.64,23.65,-0.01,1,0,,,,2.931,0.371,1.7,,,,,
7.76,ACQUIRE,20.71,-0.0,-9.64,23.8,-0.01,1,0,,,,2.806,0.359,2.4,,,,,
7.81,ACQUIRE,20.71,-0.0,-9.64,23.95,-0.01,1,0,,,,2.806,0.369,1.6,,,,,
7.86,ACQUIRE,21.08,-0.0,-9.64,24.1,-0.01,1,0,,,,3.978,0.422,2.3,,,,,
7.91,ACQUIRE,21.08,-0.0,-9.64,24.25,-0.01,1,0,,,,3.978,0.421,1.7,,,,,
7.96,ACQUIRE,21.45,-0.0,-9.64,24.4,-0.01,1,0,,,,3.979,0.411,2.3,,,,,
8.01,ACQUIRE,21.45,-0.0,-9.64,24.55,-0.01,1,0,,,,3.978,0.418,1.8,,,,,
8.06,ACQUIRE,21.81,-0.01,-9.64,24.7,-0.01,1,0,,,,3.826,0.407,2.3,,,,,
8.11,ACQUIRE,21.81,-0.01,-9.64,24.85,-0.01,1,0,,,,3.824,0.417,1.8,,,,,
8.16,ACQUIRE,22.17,-0.01,-9.64,25.0,-0.01,1,0,,,,3.645,0.413,2.3,,,,,
8.21,ACQUIRE,22.17,-0.01,-9.64,25.15,-0.01,1,0,,,,2.957,0.338,1.8,,,,,
8.26,ACQUIRE,22.52,-0.01,-9.64,25.3,-0.01,1,0,,,,2.766,0.314,2.3,,,,,
8.31,ACQUIRE,22.52,-0.01,-9.64,25.45,-0.01,1,0,,,,2.766,0.319,1.8,,,,,
8.36,ACQUIRE,22.88,-0.01,-9.64,25.6,-0.01,1,0,,,,3.978,0.418,2.2,,,,,
8.41,ACQUIRE,22.88,-0.01,-9.64,25.75,-0.01,1,0,,,,3.978,0.42,1.6,,,,,
8.46,ACQUIRE,23.24,-0.01,-9.64,25.9,-0.01,1,0,,,,3.956,0.423,2.4,,,,,
8.51,ACQUIRE,23.24,-0.01,-9.64,26.05,-0.01,1,0,,,,3.959,0.422,1.8,,,,,
8.56,ACQUIRE,23.59,-0.01,-9.64,26.2,-0.01,1,0,,,,3.779,0.408,2.4,,,,,
8.61,ACQUIRE,23.59,-0.01,-9.64,26.35,-0.01,1,0,,,,3.78,0.418,1.8,,,,,
8.66,ACQUIRE,23.95,-0.02,-9.64,26.5,-0.01,1,0,,,,3.6,0.405,2.3,,,,,
8.71,ACQUIRE,23.95,-0.02,-9.64,26.65,-0.01,1,0,,,,2.977,0.337,1.6,,,,,
8.76,ACQUIRE,24.3,-0.02,-9.64,26.8,-0.01,1,0,,,,2.784,0.324,2.3,,,,,
8.81,ACQUIRE,24.3,-0.02,-9.64,26.95,-0.01,1,0,,,,2.754,0.326,1.8,,,,,
8.86,ACQUIRE,24.66,-0.03,-9.64,27.1,-0.01,1,0,,,,3.977,0.429,2.5,,,,,
8.91,ACQUIRE,24.66,-0.03,-9.64,27.25,-0.01,1,0,,,,3.977,0.427,1.8,,,,,
8.96,ACQUIRE,25.03,-0.03,-9.64,27.4,-0.01,1,0,,,,3.867,0.418,2.3,,,,,
9.01,ACQUIRE,25.03,-0.03,-9.64,27.55,-0.01,1,0,,,,3.864,0.421,1.9,,,,,
9.06,ACQUIRE,25.39,-0.04,-9.64,27.7,-0.01,1,0,,,,3.686,0.389,2.5,,,,,
9.11,ACQUIRE,25.39,-0.04,-9.64,27.85,-0.01,1,0,,,,3.691,0.384,1.8,,,,,
9.16,ACQUIRE,25.74,-0.04,-9.64,28.0,-0.01,1,0,,,,3.512,0.377,2.4,,,,,
9.21,ACQUIRE,26.1,-0.05,-9.64,28.15,-0.01,1,0,,,,2.79,0.31,2.4,,,,,
9.26,ACQUIRE,26.1,-0.05,-9.64,28.3,-0.01,1,0,,,,2.757,0.31,1.7,,,,,
9.31,ACQUIRE,26.1,-0.05,-9.64,28.45,-0.01,1,0,,,,2.726,0.32,1.8,,,,,
9.36,ACQUIRE,26.47,-0.05,-9.64,28.6,-0.01,1,0,,,,3.941,0.437,2.3,,,,,
9.41,ACQUIRE,26.47,-0.05,-9.64,28.75,-0.01,1,0,,,,3.91,0.428,1.8,,,,,
9.46,ACQUIRE,26.83,-0.06,-9.64,28.9,-0.01,1,0,,,,3.703,0.4,2.3,,,,,
