[warm] bridge up: ssh+py 0.30s, import 2.77s, weights 1.80s
[clip00 WARM lag4.85 j1] t_handoff=5.357 steps=149/100 iou=0.8695 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1161, 'drain': 5.2409}
[clip00 WARM lag4.85 j12] t_handoff=0.5578 steps=103/100 iou=0.8811 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1605, 'drain': 0.3973}
[clip00 WARM lag4.85 j999] t_handoff=0.308 steps=101/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1153, 'drain': 0.1927}
[clip01 WARM lag4.85 j1] t_handoff=5.328 steps=149/0 iou=None on_target=None stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1196, 'drain': 5.2083}
[clip01 WARM lag4.85 j12] t_handoff=0.5094 steps=103/3 iou=0.247 on_target=0.3333 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1182, 'drain': 0.3912}
[clip01 WARM lag4.85 j999] t_handoff=0.3095 steps=101/4 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.118, 'drain': 0.1915}
[clip02 WARM lag4.85 j1] t_handoff=5.3098 steps=149/100 iou=0.7587 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1198, 'drain': 5.1899}
[clip02 WARM lag4.85 j12] t_handoff=0.5267 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1157, 'drain': 0.411}
[clip02 WARM lag4.85 j999] t_handoff=0.3064 steps=101/100 iou=0.7803 on_target=0.99 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1149, 'drain': 0.1915}
[clip03 WARM lag4.85 j1] t_handoff=5.1787 steps=148/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1199, 'drain': 5.0588}
[clip03 WARM lag4.85 j12] t_handoff=0.5182 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1214, 'drain': 0.3968}
[clip03 WARM lag4.85 j999] t_handoff=0.31 steps=101/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1169, 'drain': 0.1931}
[clip04 WARM lag4.85 j1] t_handoff=5.1884 steps=148/84 iou=0.0 on_target=0.381 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1198, 'drain': 5.0686}
[clip04 WARM lag4.85 j12] t_handoff=0.5129 steps=103/100 iou=0.3803 on_target=0.56 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1178, 'drain': 0.395}
[clip04 WARM lag4.85 j999] t_handoff=0.3085 steps=101/100 iou=0.3803 on_target=0.56 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1166, 'drain': 0.192}
[clip05 WARM lag4.85 j1] t_handoff=5.1831 steps=148/100 iou=0.1416 on_target=0.46 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1152, 'drain': 5.0679}
[clip05 WARM lag4.85 j12] t_handoff=0.5028 steps=103/100 iou=0.6682 on_target=0.66 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1148, 'drain': 0.388}
[clip05 WARM lag4.85 j999] t_handoff=0.3072 steps=101/100 iou=0.6876 on_target=0.7 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1154, 'drain': 0.1918}
[clip06 WARM lag4.85 j1] t_handoff=5.352 steps=149/100 iou=0.7936 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1251, 'drain': 5.2269}
[clip06 WARM lag4.85 j12] t_handoff=0.5476 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.157, 'drain': 0.3906}
[clip06 WARM lag4.85 j999] t_handoff=0.3108 steps=101/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1172, 'drain': 0.1936}
[clip07 WARM lag4.85 j1] t_handoff=5.3049 steps=149/100 iou=0.5501 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1339, 'drain': 5.171}
[clip07 WARM lag4.85 j12] t_handoff=0.5125 steps=103/100 iou=0.5712 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1185, 'drain': 0.394}
[clip07 WARM lag4.85 j999] t_handoff=0.3221 steps=101/100 iou=0.5625 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1306, 'drain': 0.1916}
[clip08 WARM lag4.85 j1] t_handoff=5.3141 steps=149/100 iou=0.6545 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1178, 'drain': 5.1962}
[clip08 WARM lag4.85 j12] t_handoff=0.5193 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1166, 'drain': 0.4027}
[clip08 WARM lag4.85 j999] t_handoff=0.3192 steps=101/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1186, 'drain': 0.2006}
[clip09 WARM lag4.85 j1] t_handoff=5.3387 steps=149/100 iou=0.0 on_target=0.2 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1349, 'drain': 5.2038}
[clip09 WARM lag4.85 j12] t_handoff=0.5071 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1169, 'drain': 0.3902}
[clip09 WARM lag4.85 j999] t_handoff=0.3147 steps=101/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.122, 'drain': 0.1927}
[clip10 WARM lag4.85 j1] t_handoff=5.3113 steps=149/38 iou=0.6256 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1171, 'drain': 5.1941}
[clip10 WARM lag4.85 j12] t_handoff=0.5078 steps=103/62 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1184, 'drain': 0.3894}
[clip10 WARM lag4.85 j999] t_handoff=0.3156 steps=101/63 iou=0.2943 on_target=0.1746 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1241, 'drain': 0.1915}
