[clip00 COLD lag0 j12] t_handoff=5.9831 steps=102/100 iou=0.881 on_target=1.0 stages={'ssh_spawn': 0.3133, 'import': 2.8446, 'weights': 1.8, 'warmup_init': 0.6711, 'drain': 0.3539}
[clip00 COLD lag4.85 j12] t_handoff=6.9376 steps=105/100 iou=0.8624 on_target=1.0 stages={'ssh_spawn': 0.3135, 'import': 3.2409, 'weights': 2.0, 'warmup_init': 0.7134, 'drain': 0.6697}
[clip01 COLD lag0 j12] t_handoff=6.1479 steps=103/0 iou=None on_target=None stages={'ssh_spawn': 0.3217, 'import': 2.9034, 'weights': 1.8, 'warmup_init': 0.6698, 'drain': 0.4528}
[clip01 COLD lag4.85 j12] t_handoff=6.5304 steps=105/0 iou=None on_target=None stages={'ssh_spawn': 0.3341, 'import': 3.061, 'weights': 1.8, 'warmup_init': 0.6649, 'drain': 0.6703}
[clip02 COLD lag0 j12] t_handoff=6.1574 steps=102/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.3071, 'import': 2.9233, 'weights': 1.9, 'warmup_init': 0.6721, 'drain': 0.3548}
[clip02 COLD lag4.85 j12] t_handoff=6.192 steps=105/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.2858, 'import': 2.7829, 'weights': 1.8, 'warmup_init': 0.6623, 'drain': 0.661}
[clip03 COLD lag0 j12] t_handoff=6.5017 steps=102/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.3043, 'import': 3.232, 'weights': 1.9, 'warmup_init': 0.7115, 'drain': 0.3538}
[clip03 COLD lag4.85 j12] t_handoff=6.5023 steps=104/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.3123, 'import': 3.0272, 'weights': 1.9, 'warmup_init': 0.7059, 'drain': 0.5568}
[clip04 COLD lag0 j12] t_handoff=5.9287 steps=102/100 iou=0.3045 on_target=0.53 stages={'ssh_spawn': 0.2799, 'import': 2.825, 'weights': 1.8, 'warmup_init': 0.6693, 'drain': 0.3544}
[clip04 COLD lag4.85 j12] t_handoff=6.3848 steps=105/78 iou=0.0 on_target=0.3462 stages={'ssh_spawn': 0.3204, 'import': 2.9407, 'weights': 1.8, 'warmup_init': 0.6648, 'drain': 0.6588}
[clip05 COLD lag0 j12] t_handoff=5.9862 steps=103/100 iou=0.6587 on_target=0.64 stages={'ssh_spawn': 0.2863, 'import': 2.7766, 'weights': 1.8, 'warmup_init': 0.6656, 'drain': 0.4574}
[clip05 COLD lag4.85 j12] t_handoff=6.3106 steps=104/100 iou=0.121 on_target=0.44 stages={'ssh_spawn': 0.3239, 'import': 2.9382, 'weights': 1.8, 'warmup_init': 0.6905, 'drain': 0.558}
[clip06 COLD lag0 j12] t_handoff=6.1566 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.2954, 'import': 2.8378, 'weights': 1.9, 'warmup_init': 0.6666, 'drain': 0.4567}
