06-14-2026 12:53:07 RAM 733/7607MB (lfb 2x2MB) SWAP 207/3804MB (cached 0MB) CPU [6%@1510,2%@1510,7%@1510,1%@1510,5%@1510,3%@1510] GR3D_FREQ 0% cpu@59.5C soc2@58.031C soc0@56.281C gpu@59.468C tj@59.5C soc1@58.437C VDD_IN 5317mW/5317mW VDD_CPU_GPU_CV 1069mW/1069mW VDD_SOC 1428mW/1428mW
06-14-2026 12:53:08 RAM 733/7607MB (lfb 2x2MB) SWAP 207/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 0% cpu@59.656C soc2@58.031C soc0@56.218C gpu@59.156C tj@59.656C soc1@58.375C VDD_IN 5237mW/5277mW VDD_CPU_GPU_CV 990mW/1030mW VDD_SOC 1426mW/1427mW
06-14-2026 12:53:09 RAM 733/7607MB (lfb 2x2MB) SWAP 207/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 0% cpu@59.312C soc2@58C soc0@56.25C gpu@59.156C tj@59.312C soc1@58.187C VDD_IN 5237mW/5264mW VDD_CPU_GPU_CV 990mW/1016mW VDD_SOC 1426mW/1427mW
06-14-2026 12:53:10 RAM 733/7607MB (lfb 2x2MB) SWAP 207/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 0% cpu@59.156C soc2@57.812C soc0@56.062C gpu@58.968C tj@59.343C soc1@58.093C VDD_IN 5237mW/5257mW VDD_CPU_GPU_CV 990mW/1010mW VDD_SOC 1426mW/1427mW
06-14-2026 12:53:11 RAM 733/7607MB (lfb 2x2MB) SWAP 207/3804MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 0% cpu@59.218C soc2@57.718C soc0@56C gpu@58.968C tj@59.218C soc1@58.093C VDD_IN 5237mW/5253mW VDD_CPU_GPU_CV 990mW/1006mW VDD_SOC 1426mW/1426mW
06-14-2026 12:53:12 RAM 875/7607MB (lfb 2x2MB) SWAP 207/3804MB (cached 0MB) CPU [8%@1510,6%@1510,74%@1510,7%@1510,20%@1510,5%@1510] GR3D_FREQ 0% cpu@59.375C soc2@57.687C soc0@55.968C gpu@59C tj@59.375C soc1@58.062C VDD_IN 5991mW/5376mW VDD_CPU_GPU_CV 1426mW/1076mW VDD_SOC 1465mW/1433mW
06-14-2026 12:53:13 RAM 1117/7607MB (lfb 2x2MB) SWAP 207/3804MB (cached 0MB) CPU [10%@1510,8%@1510,81%@1510,0%@1510,0%@1510,4%@1510] GR3D_FREQ 0% cpu@59.468C soc2@57.812C soc0@56C gpu@59.093C tj@59.468C soc1@58.031C VDD_IN 6071mW/5475mW VDD_CPU_GPU_CV 1465mW/1131mW VDD_SOC 1505mW/1443mW
06-14-2026 12:53:14 RAM 2679/7607MB (lfb 2x2MB) SWAP 210/3804MB (cached 0MB) CPU [5%@1510,8%@1510,96%@1510,0%@1510,22%@1510,0%@1510] GR3D_FREQ 14% cpu@59.343C soc2@57.906C soc0@56C gpu@59C tj@59.343C soc1@58C VDD_IN 6626mW/5619mW VDD_CPU_GPU_CV 1663mW/1198mW VDD_SOC 1624mW/1466mW
06-14-2026 12:53:15 RAM 3026/7607MB (lfb 2x2MB) SWAP 219/3804MB (cached 0MB) CPU [11%@1510,8%@1510,85%@1510,0%@1510,37%@1510,0%@1510] GR3D_FREQ 99% cpu@59.218C soc2@57.812C soc0@55.906C gpu@59.75C tj@59.75C soc1@57.937C VDD_IN 7459mW/5824mW VDD_CPU_GPU_CV 2333mW/1324mW VDD_SOC 1663mW/1488mW
06-14-2026 12:53:16 RAM 3054/7607MB (lfb 2x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,3%@1510,0%@1510,0%@1510,6%@1510] GR3D_FREQ 99% cpu@59.406C soc2@58.031C soc0@56.031C gpu@60.125C tj@60.125C soc1@57.937C VDD_IN 10102mW/6251mW VDD_CPU_GPU_CV 4343mW/1626mW VDD_SOC 1901mW/1529mW
06-14-2026 12:53:17 RAM 3054/7607MB (lfb 2x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@59.468C soc2@58.218C soc0@56.093C gpu@60.281C tj@60.281C soc1@58.062C VDD_IN 10537mW/6641mW VDD_CPU_GPU_CV 4738mW/1909mW VDD_SOC 1941mW/1566mW
06-14-2026 12:53:18 RAM 3055/7607MB (lfb 2x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@59.718C soc2@58.343C soc0@56.312C gpu@60.468C tj@60.468C soc1@58.062C VDD_IN 10617mW/6972mW VDD_CPU_GPU_CV 4778mW/2148mW VDD_SOC 1941mW/1598mW
06-14-2026 12:53:19 RAM 3055/7607MB (lfb 2x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@59.625C soc2@58.406C soc0@56.343C gpu@60.562C tj@60.562C soc1@58.031C VDD_IN 10696mW/7259mW VDD_CPU_GPU_CV 4817mW/2353mW VDD_SOC 1938mW/1624mW
06-14-2026 12:53:20 RAM 3055/7607MB (lfb 2x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@59.625C soc2@58.437C soc0@56.5C gpu@60.656C tj@60.656C soc1@58.062C VDD_IN 10696mW/7504mW VDD_CPU_GPU_CV 4857mW/2532mW VDD_SOC 1941mW/1647mW
06-14-2026 12:53:21 RAM 3126/7607MB (lfb 4x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,7%@1510,0%@1510,0%@1510,14%@1510] GR3D_FREQ 99% cpu@59.718C soc2@58.593C soc0@56.406C gpu@60.781C tj@60.781C soc1@58.187C VDD_IN 11786mW/7790mW VDD_CPU_GPU_CV 4809mW/2684mW VDD_SOC 2369mW/1695mW
06-14-2026 12:53:22 RAM 3127/7607MB (lfb 4x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@59.906C soc2@58.625C soc0@56.437C gpu@60.812C tj@60.812C soc1@58.281C VDD_IN 12359mW/8075mW VDD_CPU_GPU_CV 4959mW/2826mW VDD_SOC 2527mW/1747mW
06-14-2026 12:53:23 RAM 3127/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@60.187C soc2@58.718C soc0@56.5C gpu@60.968C tj@60.968C soc1@58.406C VDD_IN 12399mW/8330mW VDD_CPU_GPU_CV 4959mW/2952mW VDD_SOC 2527mW/1793mW
06-14-2026 12:53:24 RAM 3127/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@60.156C soc2@58.843C soc0@56.718C gpu@61.062C tj@61.062C soc1@58.531C VDD_IN 12438mW/8558mW VDD_CPU_GPU_CV 4998mW/3065mW VDD_SOC 2527mW/1833mW
06-14-2026 12:53:25 RAM 3127/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@60.093C soc2@58.968C soc0@56.875C gpu@61.218C tj@61.218C soc1@58.406C VDD_IN 12399mW/8760mW VDD_CPU_GPU_CV 4998mW/3167mW VDD_SOC 2527mW/1870mW
06-14-2026 12:53:26 RAM 3127/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@60.187C soc2@58.937C soc0@56.687C gpu@61.187C tj@61.187C soc1@58.468C VDD_IN 12438mW/8944mW VDD_CPU_GPU_CV 4998mW/3259mW VDD_SOC 2527mW/1903mW
06-14-2026 12:53:27 RAM 3127/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@60.218C soc2@58.968C soc0@56.75C gpu@61.312C tj@61.312C soc1@58.531C VDD_IN 12438mW/9110mW VDD_CPU_GPU_CV 4998mW/3341mW VDD_SOC 2527mW/1932mW
06-14-2026 12:53:28 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@60.218C soc2@59.125C soc0@56.937C gpu@61.375C tj@61.375C soc1@58.625C VDD_IN 12438mW/9262mW VDD_CPU_GPU_CV 4998mW/3417mW VDD_SOC 2527mW/1960mW
