t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,bbox_cx,bbox_cy,bbox_w,bbox_h,track_id,pixel_err_px,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
0.000,0.00,0.00,-10.00,3.00,0.00,0.00,320.0,92.3,110.9,184.6,1,147.7,2.954,0.000,0.0000,0.0
0.050,0.00,0.00,-10.00,3.10,0.00,0.00,320.0,89.9,110.9,179.7,1,150.1,3.000,0.000,0.0000,50.1
0.100,0.00,0.00,-10.00,3.20,0.00,0.00,320.0,87.3,110.9,174.5,1,152.7,3.000,0.000,0.0000,50.1
0.150,0.00,0.00,-10.00,3.30,0.00,0.00,320.0,84.4,110.9,168.7,1,155.6,3.000,0.000,0.0000,50.1
0.200,0.00,0.00,-10.00,3.40,0.00,0.00,320.0,81.5,110.9,163.0,1,158.5,3.000,0.000,0.0000,50.1
0.250,0.00,0.00,-10.00,3.50,0.00,0.00,320.0,78.6,110.9,157.3,1,161.4,3.000,0.000,0.0000,50.1
0.300,0.00,0.00,-10.00,3.60,0.00,0.00,320.0,75.8,110.9,151.6,1,164.2,3.000,0.000,0.0000,50.1
0.350,0.00,0.00,-10.00,3.70,0.00,0.00,320.0,73.0,110.9,146.0,1,167.0,3.000,0.000,0.0000,50.1
0.401,0.00,0.00,-10.00,3.80,0.00,0.00,320.0,70.2,110.9,140.4,1,169.8,3.000,0.000,0.0000,50.1
0.451,0.00,0.00,-10.00,3.90,0.00,0.00,320.0,67.4,110.9,134.8,1,172.6,3.000,0.000,0.0000,50.1
0.501,0.00,0.00,-10.00,4.00,0.00,0.00,320.0,64.6,110.9,129.2,1,175.4,3.000,0.000,0.0000,50.1
0.551,0.00,0.00,-10.00,4.10,0.00,0.00,320.0,61.8,110.9,123.6,1,178.2,3.000,0.000,0.0000,50.1
0.601,0.00,0.00,-10.00,4.20,0.00,0.00,320.0,59.0,110.9,118.1,1,181.0,3.000,0.000,0.0000,50.1
0.651,0.00,0.00,-10.00,4.30,0.00,0.00,320.0,56.2,110.9,112.5,1,183.8,3.000,0.000,0.0000,50.1
0.701,0.00,0.00,-10.00,4.40,0.00,0.00,320.0,53.5,110.9,106.9,1,186.5,3.000,0.000,0.0000,50.1
0.751,0.00,0.00,-10.00,4.50,0.00,0.00,320.0,50.7,110.9,101.4,1,189.3,3.000,0.000,0.0000,50.1
0.801,0.00,0.00,-10.00,4.60,0.00,0.00,320.0,47.9,110.9,95.8,1,192.1,3.000,0.000,0.0000,50.1
0.851,0.00,0.00,-10.00,4.70,0.00,0.00,320.0,45.1,110.9,90.3,1,194.9,3.000,0.000,0.0000,50.1
0.901,0.00,0.00,-10.00,4.80,0.00,0.00,320.0,42.3,110.9,84.7,1,197.7,3.000,0.000,0.0000,50.1
0.951,0.00,0.00,-10.00,4.90,0.00,0.00,320.0,39.6,110.9,79.1,1,200.4,3.000,0.000,0.0000,50.1
1.001,0.00,0.00,-10.00,5.00,0.00,0.00,320.0,36.8,110.9,73.6,1,203.2,3.000,0.000,0.0000,50.1
1.051,0.00,0.00,-10.00,5.10,0.00,0.00,320.0,34.0,110.9,68.0,1,206.0,3.000,0.000,0.0000,50.1
1.102,0.00,0.00,-10.00,5.20,0.00,0.00,320.0,31.2,110.9,62.5,1,208.8,3.000,0.000,0.0000,50.1
1.152,0.00,0.00,-10.00,5.30,0.00,0.00,320.0,28.5,110.9,56.9,1,211.5,3.000,0.000,0.0000,50.1
1.202,0.00,0.00,-10.00,5.40,0.00,0.00,320.0,25.7,110.9,51.4,1,214.3,3.000,0.000,0.0000,50.1
1.252,0.00,0.00,-10.00,5.50,0.00,0.00,320.0,22.9,110.9,45.8,1,217.1,3.000,0.000,0.0000,50.1
1.302,0.00,0.00,-10.00,5.60,0.00,0.00,320.0,20.1,110.9,40.3,1,219.9,3.000,0.000,0.0000,50.1
1.352,0.00,0.00,-10.00,5.70,0.00,0.00,320.0,17.4,110.9,34.7,1,222.6,3.000,0.000,0.0000,50.1
1.402,0.00,0.00,-10.00,5.80,0.00,0.00,320.0,14.6,110.9,29.2,1,225.4,3.000,0.000,0.0000,50.1
1.452,0.00,0.00,-10.00,5.90,0.00,0.00,320.0,11.8,110.9,23.6,1,228.2,3.000,0.000,0.0000,50.1
1.502,0.00,0.00,-10.00,6.00,0.00,0.00,320.0,9.0,110.9,18.1,1,231.0,3.000,0.000,0.0000,50.1
1.552,0.00,0.00,-10.00,6.10,0.00,0.00,320.0,6.3,110.9,12.5,1,233.7,3.000,0.000,0.0000,50.1
1.602,0.00,0.00,-10.00,6.20,0.00,0.00,320.0,3.5,110.9,7.0,1,236.5,3.000,0.000,0.0000,50.1
1.652,0.00,0.00,-10.00,6.30,0.00,0.00,320.0,0.7,110.9,1.4,1,239.3,3.000,0.000,0.0000,50.1
1.702,0.00,0.00,-10.00,6.40,0.00,0.00,320.0,-2.1,110.9,1.0,1,242.1,3.000,0.000,0.0000,50.1
1.752,0.00,0.00,-10.00,6.50,0.00,0.00,320.0,-4.8,110.9,1.0,1,244.8,3.000,0.000,0.0000,50.1
1.803,0.00,0.00,-10.00,6.61,0.00,0.00,320.0,-7.6,110.9,1.0,1,247.6,3.000,0.000,0.0000,50.1
1.853,0.00,0.00,-10.00,6.71,0.00,0.00,320.0,-10.4,110.9,1.0,1,250.4,3.000,0.000,0.0000,50.1
1.903,0.00,0.00,-10.00,6.81,0.00,0.00,320.0,-13.2,110.9,1.0,1,253.2,3.000,0.000,0.0000,50.1
1.953,0.00,0.00,-10.00,6.91,0.00,0.00,320.0,-15.9,110.9,1.0,1,255.9,3.000,0.000,0.0000,50.1
2.003,0.00,0.00,-10.00,7.01,0.00,0.00,320.0,-18.7,110.9,1.0,1,258.7,3.000,0.000,0.0000,50.1
2.053,0.00,0.00,-10.00,7.11,0.00,0.00,320.0,-21.5,110.9,1.0,1,261.5,3.000,0.000,0.0000,50.1
2.103,0.00,0.00,-10.00,7.21,0.00,0.00,320.0,-24.3,110.9,1.0,1,264.3,3.000,0.000,0.0000,50.1
2.153,0.00,0.00,-10.00,7.31,0.00,0.00,320.0,-27.0,110.9,1.0,1,267.0,3.000,0.000,0.0000,50.1
2.203,0.00,0.00,-10.00,7.41,0.00,0.00,320.0,-29.8,110.9,1.0,1,269.8,3.000,0.000,0.0000,50.1
2.253,0.00,0.00,-10.00,7.51,0.00,0.00,320.0,-32.6,110.9,1.0,1,272.6,3.000,0.000,0.0000,50.1
2.303,0.00,0.00,-10.00,7.61,0.00,0.00,320.0,-35.4,110.9,1.0,1,275.4,3.000,0.000,0.0000,50.1
2.353,0.00,0.00,-10.00,7.71,0.00,0.00,320.0,-38.1,110.9,1.0,1,278.1,3.000,0.000,0.0000,50.1
2.403,0.00,0.00,-10.00,7.81,0.00,0.00,320.0,-40.9,110.9,1.0,1,280.9,3.000,0.000,0.0000,50.1
2.453,0.00,0.00,-10.00,7.91,0.00,0.00,320.0,-43.7,110.9,1.0,1,283.7,3.000,0.000,0.0000,50.1
2.504,0.00,0.00,-10.00,8.01,0.00,0.00,320.0,-46.5,110.9,1.0,1,286.5,3.000,0.000,0.0000,50.1
2.554,0.00,0.00,-10.00,8.11,0.00,0.00,320.0,-49.2,110.9,1.0,1,289.2,3.000,0.000,0.0000,50.1
2.604,0.00,0.00,-10.00,8.21,0.00,0.00,320.0,-52.0,110.9,1.0,1,292.0,3.000,0.000,0.0000,50.1
2.654,0.00,0.00,-10.00,8.31,0.00,0.00,320.0,-54.8,110.9,1.0,1,294.8,3.000,0.000,0.0000,50.1
2.704,0.00,0.00,-10.00,8.41,0.00,0.00,320.0,-57.6,110.9,1.0,1,297.6,3.000,0.000,0.0000,50.1
2.754,0.00,0.00,-10.00,8.51,0.00,0.00,320.0,-60.3,110.9,1.0,1,300.3,3.000,0.000,0.0000,50.1
2.804,0.00,0.00,-10.00,8.61,0.00,0.00,320.0,-63.1,110.9,1.0,1,303.1,3.000,0.000,0.0000,50.1
2.854,0.00,0.00,-10.00,8.71,0.00,0.00,320.0,-65.9,110.9,1.0,1,305.9,3.000,0.000,0.0000,50.1
2.904,0.00,0.00,-10.00,8.81,0.00,0.00,320.0,-68.7,110.9,1.0,1,308.7,3.000,0.000,0.0000,50.1
2.954,0.00,0.00,-10.00,8.91,0.00,0.00,320.0,-71.4,110.9,1.0,1,311.4,3.000,0.000,0.0000,50.1
3.004,0.00,0.00,-10.00,9.01,0.00,0.00,320.0,-74.2,110.9,1.0,1,314.2,3.000,0.000,0.0000,50.1
3.054,0.00,0.00,-10.00,9.11,0.00,0.00,320.0,-77.0,110.9,1.0,1,317.0,3.000,0.000,0.0000,50.1
3.104,0.00,0.00,-10.00,9.21,0.00,0.00,320.0,-79.8,110.9,1.0,1,319.8,3.000,0.000,0.0000,50.1
3.154,0.00,0.00,-10.00,9.31,0.00,0.00,320.0,-82.5,110.9,1.0,1,322.5,3.000,0.000,0.0000,50.1
3.205,0.00,0.00,-10.00,9.41,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.255,0.00,0.00,-10.00,9.51,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.305,0.00,0.00,-10.00,9.61,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.355,0.00,0.00,-10.00,9.71,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.405,0.00,0.00,-10.00,9.81,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.455,0.00,0.00,-10.00,9.91,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.505,0.00,0.00,-10.00,10.01,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.555,0.00,0.00,-10.00,10.11,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.605,0.00,0.00,-10.00,10.21,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.655,0.00,0.00,-10.00,10.31,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.705,0.00,0.00,-10.00,10.41,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
