t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,oracle_cx,oracle_cy,oracle_w,oracle_h,det_bbox_cx,det_bbox_cy,det_new,track_cx,track_cy,track_w,track_h,track_id,pix_err_vs_oracle,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
0.000,9.72,-9.19,-9.54,10.22,-9.19,0.00,320.0,211.0,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,0.0
0.050,9.72,-9.19,-9.54,10.23,-9.19,0.00,320.0,210.2,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.100,9.72,-9.19,-9.54,10.24,-9.19,0.00,320.0,209.5,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.150,9.72,-9.19,-9.54,10.25,-9.19,0.00,323.7,209.0,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.200,9.72,-9.19,-9.54,10.27,-9.19,0.00,323.8,208.3,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.250,9.72,-9.19,-9.54,10.28,-9.19,0.00,323.9,207.6,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.300,9.72,-9.19,-9.54,10.29,-9.19,0.00,324.0,206.8,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.350,9.72,-9.19,-9.54,10.30,-9.19,0.00,324.1,206.1,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.400,9.72,-9.19,-9.54,10.32,-9.19,0.00,324.2,205.4,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.451,9.72,-9.19,-9.54,10.33,-9.19,0.00,324.3,204.7,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.501,9.72,-9.19,-9.54,10.34,-9.19,0.00,324.3,203.9,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.551,9.72,-9.19,-9.54,10.35,-9.19,0.00,324.4,203.2,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.601,9.72,-9.19,-9.54,10.37,-9.19,0.00,324.5,202.5,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.651,9.72,-9.19,-9.54,10.38,-9.19,0.00,324.6,201.8,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.701,9.72,-9.19,-9.54,10.39,-9.19,0.00,324.7,201.1,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.751,9.72,-9.19,-9.54,10.40,-9.19,0.00,324.8,200.3,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.801,9.72,-9.19,-9.54,10.42,-9.19,0.00,324.9,199.6,116.2,232.3,,,0,,,,,,,0.000,0.000,0.0000,50.0
0.851,9.72,-9.19,-9.54,10.43,-9.19,0.00,325.0,198.9,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.901,9.72,-9.19,-9.54,10.44,-9.19,0.00,325.0,198.2,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
0.951,9.72,-9.19,-9.54,10.45,-9.19,0.00,325.1,197.5,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.001,9.72,-9.19,-9.54,10.47,-9.19,0.00,325.2,196.7,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.051,9.72,-9.19,-9.54,10.48,-9.19,0.00,325.3,196.0,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.101,9.72,-9.19,-9.54,10.49,-9.19,0.00,325.4,195.3,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.0
1.151,9.72,-9.19,-9.54,10.50,-9.19,0.00,325.5,194.6,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.201,9.72,-9.19,-9.54,10.52,-9.19,0.00,325.6,193.9,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.251,9.72,-9.19,-9.54,10.53,-9.19,0.00,325.7,193.1,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.302,9.72,-9.19,-9.54,10.54,-9.19,0.00,325.7,192.4,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.352,9.72,-9.19,-9.54,10.55,-9.19,0.00,325.8,191.7,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.402,9.72,-9.19,-9.54,10.57,-9.19,0.00,325.9,191.0,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.452,9.72,-9.19,-9.54,10.58,-9.19,0.00,326.0,190.3,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.502,9.72,-9.19,-9.54,10.59,-9.19,0.00,326.1,189.5,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.552,9.72,-9.19,-9.54,10.60,-9.19,0.00,326.2,188.8,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.602,9.72,-9.19,-9.54,10.62,-9.19,0.00,326.3,188.1,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.652,9.72,-9.19,-9.54,10.63,-9.19,0.00,326.4,187.4,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.702,9.72,-9.19,-9.54,10.64,-9.19,0.00,326.4,186.7,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.752,9.72,-9.19,-9.54,10.65,-9.19,0.00,326.5,185.9,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.802,9.72,-9.19,-9.54,10.67,-9.19,0.00,326.6,185.2,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.852,9.72,-9.19,-9.54,10.68,-9.19,0.00,326.7,184.5,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.902,9.72,-9.19,-9.54,10.69,-9.19,0.00,326.8,183.8,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
1.952,9.72,-9.19,-9.54,10.70,-9.19,0.00,326.9,183.1,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.002,9.72,-9.19,-9.54,10.72,-9.19,0.00,327.0,182.3,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.052,9.72,-9.19,-9.54,10.73,-9.19,0.00,327.0,181.6,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.102,9.72,-9.19,-9.54,10.74,-9.19,0.00,327.1,180.9,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.153,9.72,-9.19,-9.54,10.75,-9.19,0.00,327.2,180.2,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.203,9.72,-9.19,-9.54,10.77,-9.19,0.00,327.3,179.5,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.253,9.72,-9.19,-9.54,10.78,-9.19,0.00,327.4,178.7,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.304,9.72,-9.19,-9.54,10.79,-9.19,0.00,327.5,178.0,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,51.2
2.354,9.72,-9.19,-9.54,10.81,-9.19,0.00,327.6,177.3,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
2.404,9.72,-9.19,-9.54,10.82,-9.19,0.00,327.6,176.6,116.2,232.4,,,0,,,,,,,0.000,0.000,0.0000,50.1
