06-14-2026 21:34:23 RAM 1419/7607MB (lfb 118x4MB) SWAP 329/3804MB (cached 1MB) CPU [4%@1510,3%@1510,1%@1510,2%@1510,5%@1510,0%@1510] GR3D_FREQ 0% cpu@53.406C soc2@51.812C soc0@50C gpu@53.062C tj@53.156C soc1@52.187C VDD_IN 5237mW/5237mW VDD_CPU_GPU_CV 990mW/990mW VDD_SOC 1428mW/1428mW
06-14-2026 21:34:24 RAM 1419/7607MB (lfb 118x4MB) SWAP 329/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 0% cpu@53.062C soc2@51.687C soc0@50.093C gpu@52.812C tj@53.062C soc1@52.125C VDD_IN 5198mW/5218mW VDD_CPU_GPU_CV 950mW/970mW VDD_SOC 1428mW/1428mW
06-14-2026 21:34:25 RAM 1419/7607MB (lfb 118x4MB) SWAP 329/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 0% cpu@53.125C soc2@51.781C soc0@50.062C gpu@52.843C tj@53.125C soc1@52.187C VDD_IN 5158mW/5198mW VDD_CPU_GPU_CV 950mW/963mW VDD_SOC 1428mW/1428mW
06-14-2026 21:34:26 RAM 1419/7607MB (lfb 118x4MB) SWAP 329/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 0% cpu@53.312C soc2@51.718C soc0@50.156C gpu@52.812C tj@53.312C soc1@52.093C VDD_IN 5158mW/5188mW VDD_CPU_GPU_CV 950mW/960mW VDD_SOC 1428mW/1428mW
06-14-2026 21:34:27 RAM 1420/7607MB (lfb 118x4MB) SWAP 329/3804MB (cached 1MB) CPU [0%@1510,1%@1510,0%@1510,5%@1510,0%@1510,0%@1510] GR3D_FREQ 0% cpu@53.25C soc2@51.75C soc0@50.125C gpu@52.75C tj@53.156C soc1@52.187C VDD_IN 5198mW/5190mW VDD_CPU_GPU_CV 992mW/966mW VDD_SOC 1428mW/1428mW
06-14-2026 21:34:28 RAM 1531/7607MB (lfb 118x4MB) SWAP 329/3804MB (cached 1MB) CPU [65%@1510,20%@1510,27%@1510,13%@1510,22%@1510,31%@1510] GR3D_FREQ 0% cpu@53.562C soc2@51.968C soc0@50.187C gpu@52.875C tj@53.562C soc1@52.125C VDD_IN 6309mW/5376mW VDD_CPU_GPU_CV 1626mW/1076mW VDD_SOC 1547mW/1448mW
06-14-2026 21:34:29 RAM 1913/7607MB (lfb 102x4MB) SWAP 329/3804MB (cached 1MB) CPU [94%@1510,1%@1510,1%@1510,10%@1510,0%@1510,0%@1510] GR3D_FREQ 0% cpu@53.281C soc2@51.968C soc0@50.093C gpu@53.093C tj@53.281C soc1@52.156C VDD_IN 6547mW/5544mW VDD_CPU_GPU_CV 1624mW/1155mW VDD_SOC 1626mW/1473mW
06-14-2026 21:34:30 RAM 1969/7607MB (lfb 102x4MB) SWAP 329/3804MB (cached 1MB) CPU [13%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 0% cpu@53.25C soc2@51.812C soc0@50.125C gpu@53.031C tj@53.25C soc1@52.25C VDD_IN 5396mW/5525mW VDD_CPU_GPU_CV 1069mW/1144mW VDD_SOC 1468mW/1473mW
06-14-2026 21:34:31 RAM 2141/7607MB (lfb 102x4MB) SWAP 329/3804MB (cached 1MB) CPU [22%@1510,2%@1510,1%@1510,1%@1510,5%@1510,0%@1510] GR3D_FREQ 0% cpu@53.625C soc2@52.156C soc0@50.25C gpu@53.718C tj@53.718C soc1@52.281C VDD_IN 9205mW/5934mW VDD_CPU_GPU_CV 2926mW/1342mW VDD_SOC 2139mW/1547mW
06-14-2026 21:34:32 RAM 2216/7607MB (lfb 102x4MB) SWAP 329/3804MB (cached 1MB) CPU [12%@1510,0%@1510,0%@1510,0%@1510,3%@1510,0%@1510] GR3D_FREQ 85% cpu@53.687C soc2@52.437C soc0@50.437C gpu@54.25C tj@54.25C soc1@52.406C VDD_IN 10498mW/6390mW VDD_CPU_GPU_CV 3711mW/1579mW VDD_SOC 2337mW/1626mW
06-14-2026 21:34:33 RAM 2241/7607MB (lfb 102x4MB) SWAP 329/3804MB (cached 1MB) CPU [14%@1510,0%@1510,1%@1510,0%@1510,5%@1510,0%@1510] GR3D_FREQ 97% cpu@53.906C soc2@52.531C soc0@50.562C gpu@54.343C tj@54.343C soc1@52.437C VDD_IN 10537mW/6767mW VDD_CPU_GPU_CV 3717mW/1773mW VDD_SOC 2337mW/1690mW
