[run] loading refdrone 'val' subset (n=all)...
[run] 439 samples; building jetson backend (/home/jfdg/grounding/phase3-terse100eos-1024-q8_0.gguf) max_side=1024...
[run] evaluating...
  [jetson] 1/439  parsed=1  gate_hits=1
  [jetson] 2/439  parsed=2  gate_hits=2
  [jetson] 3/439  parsed=3  gate_hits=3
  [jetson] 4/439  parsed=4  gate_hits=3
  [jetson] 5/439  parsed=5  gate_hits=3
  [jetson] 6/439  parsed=6  gate_hits=4
  [jetson] 7/439  parsed=7  gate_hits=5
  [jetson] 8/439  parsed=8  gate_hits=5
  [jetson] 9/439  parsed=9  gate_hits=6
  [jetson] 10/439  parsed=10  gate_hits=7
  [jetson] 11/439  parsed=11  gate_hits=8
  [jetson] 12/439  parsed=12  gate_hits=8
  [jetson] 13/439  parsed=13  gate_hits=8
  [jetson] 14/439  parsed=14  gate_hits=9
  [jetson] 15/439  parsed=15  gate_hits=10
  [jetson] 16/439  parsed=16  gate_hits=10
  [jetson] 17/439  parsed=17  gate_hits=11
  [jetson] 18/439  parsed=18  gate_hits=12
  [jetson] 19/439  parsed=19  gate_hits=13
  [jetson] 20/439  parsed=20  gate_hits=14
  [jetson] 21/439  parsed=21  gate_hits=14
  [jetson] 22/439  parsed=22  gate_hits=14
  [jetson] 23/439  parsed=23  gate_hits=15
  [jetson] 24/439  parsed=24  gate_hits=15
  [jetson] 25/439  parsed=25  gate_hits=15
  [jetson] 26/439  parsed=26  gate_hits=16
  [jetson] 27/439  parsed=27  gate_hits=17
  [jetson] 28/439  parsed=28  gate_hits=18
  [jetson] 29/439  parsed=29  gate_hits=19
  [jetson] 30/439  parsed=30  gate_hits=20
  [jetson] 31/439  parsed=31  gate_hits=21
  [jetson] 32/439  parsed=32  gate_hits=22
  [jetson] 33/439  parsed=33  gate_hits=23
  [jetson] 34/439  parsed=34  gate_hits=24
  [jetson] 35/439  parsed=35  gate_hits=25
  [jetson] 36/439  parsed=36  gate_hits=26
  [jetson] 37/439  parsed=37  gate_hits=26
  [jetson] 38/439  parsed=38  gate_hits=27
  [jetson] 39/439  parsed=39  gate_hits=28
  [jetson] 40/439  parsed=40  gate_hits=28
  [jetson] 41/439  parsed=41  gate_hits=29
  [jetson] 42/439  parsed=42  gate_hits=30
  [jetson] 43/439  parsed=43  gate_hits=31
  [jetson] 44/439  parsed=44  gate_hits=32
  [jetson] 45/439  parsed=45  gate_hits=33
  [jetson] 46/439  parsed=46  gate_hits=34
  [jetson] 47/439  parsed=47  gate_hits=34
  [jetson] 48/439  parsed=48  gate_hits=34
  [jetson] 49/439  parsed=49  gate_hits=35
  [jetson] 50/439  parsed=50  gate_hits=36
  [jetson] 51/439  parsed=51  gate_hits=36
  [jetson] 52/439  parsed=52  gate_hits=36
  [jetson] 53/439  parsed=53  gate_hits=37
  [jetson] 54/439  parsed=54  gate_hits=38
  [jetson] 55/439  parsed=55  gate_hits=39
  [jetson] 56/439  parsed=56  gate_hits=40
  [jetson] 57/439  parsed=57  gate_hits=41
  [jetson] 58/439  parsed=58  gate_hits=41
  [jetson] 59/439  parsed=59  gate_hits=42
  [jetson] 60/439  parsed=60  gate_hits=43
  [jetson] 61/439  parsed=61  gate_hits=44
  [jetson] 62/439  parsed=62  gate_hits=44
  [jetson] 63/439  parsed=63  gate_hits=45
  [jetson] 64/439  parsed=64  gate_hits=46
  [jetson] 65/439  parsed=65  gate_hits=47
  [jetson] 66/439  parsed=66  gate_hits=47
  [jetson] 67/439  parsed=67  gate_hits=47
  [jetson] 68/439  parsed=68  gate_hits=47
  [jetson] 69/439  parsed=69  gate_hits=48
  [jetson] 70/439  parsed=70  gate_hits=48
  [jetson] 71/439  parsed=71  gate_hits=49
  [jetson] 72/439  parsed=72  gate_hits=50
  [jetson] 73/439  parsed=73  gate_hits=51
  [jetson] 74/439  parsed=74  gate_hits=52
  [jetson] 75/439  parsed=75  gate_hits=52
  [jetson] 76/439  parsed=76  gate_hits=53
  [jetson] 77/439  parsed=77  gate_hits=54
  [jetson] 78/439  parsed=78  gate_hits=55
  [jetson] 79/439  parsed=79  gate_hits=56
  [jetson] 80/439  parsed=80  gate_hits=56
  [jetson] 81/439  parsed=81  gate_hits=57
  [jetson] 82/439  parsed=82  gate_hits=58
  [jetson] 83/439  parsed=83  gate_hits=59
  [jetson] 84/439  parsed=84  gate_hits=60
  [jetson] 85/439  parsed=85  gate_hits=61
  [jetson] 86/439  parsed=86  gate_hits=61
  [jetson] 87/439  parsed=87  gate_hits=62
  [jetson] 88/439  parsed=88  gate_hits=62
  [jetson] 89/439  parsed=89  gate_hits=63
  [jetson] 90/439  parsed=90  gate_hits=64
  [jetson] 91/439  parsed=91  gate_hits=65
  [jetson] 92/439  parsed=92  gate_hits=66
  [jetson] 93/439  parsed=93  gate_hits=67
  [jetson] 94/439  parsed=94  gate_hits=68
  [jetson] 95/439  parsed=95  gate_hits=68
  [jetson] 96/439  parsed=96  gate_hits=68
  [jetson] 97/439  parsed=97  gate_hits=68
  [jetson] 98/439  parsed=98  gate_hits=68
  [jetson] 99/439  parsed=99  gate_hits=69
  [jetson] 100/439  parsed=100  gate_hits=69
  [jetson] 101/439  parsed=101  gate_hits=70
  [jetson] 102/439  parsed=102  gate_hits=70
  [jetson] 103/439  parsed=103  gate_hits=71
  [jetson] 104/439  parsed=104  gate_hits=71
  [jetson] 105/439  parsed=105  gate_hits=71
  [jetson] 106/439  parsed=106  gate_hits=71
  [jetson] 107/439  parsed=107  gate_hits=71
  [jetson] 108/439  parsed=108  gate_hits=72
  [jetson] 109/439  parsed=109  gate_hits=73
  [jetson] 110/439  parsed=110  gate_hits=74
  [jetson] 111/439  parsed=111  gate_hits=74
  [jetson] 112/439  parsed=112  gate_hits=75
  [jetson] 113/439  parsed=113  gate_hits=76
  [jetson] 114/439  parsed=114  gate_hits=77
  [jetson] 115/439  parsed=115  gate_hits=78
  [jetson] 116/439  parsed=116  gate_hits=79
  [jetson] 117/439  parsed=117  gate_hits=80
  [jetson] 118/439  parsed=118  gate_hits=81
  [jetson] 119/439  parsed=119  gate_hits=82
  [jetson] 120/439  parsed=120  gate_hits=83
  [jetson] 121/439  parsed=121  gate_hits=84
  [jetson] 122/439  parsed=122  gate_hits=84
  [jetson] 123/439  parsed=123  gate_hits=85
  [jetson] 124/439  parsed=124  gate_hits=86
