06-13-2026 14:17:04 RAM 1847/7607MB (lfb 78x4MB) SWAP 11/3804MB (cached 0MB) CPU [50%@1510,15%@1510,14%@1510,54%@1510,51%@1510,10%@1510] GR3D_FREQ 0% cpu@61.593C soc2@59.968C soc0@58.031C gpu@61.031C tj@61.593C soc1@60.093C VDD_IN 6417mW/6417mW VDD_CPU_GPU_CV 1740mW/1740mW VDD_SOC 1505mW/1505mW
06-13-2026 14:17:05 RAM 1885/7607MB (lfb 78x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,3%@1510,4%@1510,100%@1510,7%@1510,22%@1510] GR3D_FREQ 53% cpu@61.437C soc2@59.937C soc0@57.968C gpu@60.968C tj@61.437C soc1@60.031C VDD_IN 6219mW/6318mW VDD_CPU_GPU_CV 1582mW/1661mW VDD_SOC 1505mW/1505mW
06-13-2026 14:17:05 RAM 2202/7607MB (lfb 69x4MB) SWAP 11/3804MB (cached 0MB) CPU [2%@1510,9%@1510,1%@1510,98%@1510,0%@1510,0%@1510] GR3D_FREQ 0% cpu@61.375C soc2@59.968C soc0@58.125C gpu@61.125C tj@61.375C soc1@59.875C VDD_IN 6180mW/6272mW VDD_CPU_GPU_CV 1502mW/1608mW VDD_SOC 1505mW/1505mW
06-13-2026 14:17:06 RAM 2945/7607MB (lfb 44x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,98%@1510,0%@1510,0%@1510] GR3D_FREQ 38% cpu@61.5C soc2@60C soc0@58C gpu@61.125C tj@61.5C soc1@60.062C VDD_IN 7012mW/6457mW VDD_CPU_GPU_CV 1621mW/1611mW VDD_SOC 1822mW/1584mW
06-13-2026 14:17:06 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,80%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.343C soc2@59.968C soc0@58C gpu@61.875C tj@61.875C soc1@59.968C VDD_IN 7962mW/6758mW VDD_CPU_GPU_CV 2254mW/1740mW VDD_SOC 1898mW/1647mW
06-13-2026 14:17:07 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.531C soc2@60.218C soc0@58.062C gpu@62.375C tj@62.375C soc1@59.937C VDD_IN 11135mW/7488mW VDD_CPU_GPU_CV 4139mW/2140mW VDD_SOC 2369mW/1767mW
06-13-2026 14:17:07 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.531C soc2@60.406C soc0@58.281C gpu@62.531C tj@62.531C soc1@59.906C VDD_IN 12122mW/8150mW VDD_CPU_GPU_CV 4723mW/2509mW VDD_SOC 2523mW/1875mW
06-13-2026 14:17:08 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.75C soc2@60.531C soc0@58.25C gpu@62.562C tj@62.562C soc1@60.156C VDD_IN 12399mW/8681mW VDD_CPU_GPU_CV 4880mW/2805mW VDD_SOC 2562mW/1961mW
06-13-2026 14:17:08 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.656C soc2@60.593C soc0@58.281C gpu@62.75C tj@62.75C soc1@60.031C VDD_IN 12517mW/9107mW VDD_CPU_GPU_CV 4920mW/3040mW VDD_SOC 2562mW/2028mW
06-13-2026 14:17:09 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@61.718C soc2@60.562C soc0@58.406C gpu@62.687C tj@62.687C soc1@60.062C VDD_IN 12517mW/9448mW VDD_CPU_GPU_CV 4959mW/3232mW VDD_SOC 2562mW/2081mW
06-13-2026 14:17:09 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.781C soc2@60.75C soc0@58.406C gpu@62.937C tj@62.937C soc1@60.062C VDD_IN 12517mW/9727mW VDD_CPU_GPU_CV 4959mW/3389mW VDD_SOC 2601mW/2129mW
06-13-2026 14:17:10 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.937C soc2@60.75C soc0@58.468C gpu@62.968C tj@62.968C soc1@60.218C VDD_IN 12517mW/9960mW VDD_CPU_GPU_CV 4959mW/3520mW VDD_SOC 2562mW/2165mW
06-13-2026 14:17:10 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.937C soc2@60.781C soc0@58.468C gpu@62.812C tj@62.812C soc1@60.218C VDD_IN 12517mW/10156mW VDD_CPU_GPU_CV 4959mW/3631mW VDD_SOC 2562mW/2195mW
06-13-2026 14:17:11 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.062C soc2@60.875C soc0@58.437C gpu@62.875C tj@62.875C soc1@60.218C VDD_IN 12478mW/10322mW VDD_CPU_GPU_CV 4959mW/3725mW VDD_SOC 2562mW/2221mW
06-13-2026 14:17:11 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@61.937C soc2@60.906C soc0@58.468C gpu@63.156C tj@63.156C soc1@60.218C VDD_IN 12517mW/10468mW VDD_CPU_GPU_CV 4959mW/3808mW VDD_SOC 2562mW/2244mW
06-13-2026 14:17:12 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.125C soc2@60.906C soc0@58.718C gpu@63.343C tj@63.343C soc1@60.343C VDD_IN 12478mW/10594mW VDD_CPU_GPU_CV 4959mW/3880mW VDD_SOC 2562mW/2264mW
06-13-2026 14:17:12 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.062C soc2@60.906C soc0@58.562C gpu@63.218C tj@63.218C soc1@60.343C VDD_IN 12517mW/10707mW VDD_CPU_GPU_CV 4951mW/3943mW VDD_SOC 2562mW/2282mW
06-13-2026 14:17:13 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@62.031C soc2@60.937C soc0@58.656C gpu@63.093C tj@63.093C soc1@60.312C VDD_IN 12517mW/10808mW VDD_CPU_GPU_CV 4959mW/3999mW VDD_SOC 2562mW/2297mW
06-13-2026 14:17:13 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.093C soc2@61C soc0@58.531C gpu@63.062C tj@63.062C soc1@60.25C VDD_IN 12517mW/10898mW VDD_CPU_GPU_CV 4959mW/4050mW VDD_SOC 2562mW/2311mW
