t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,bbox_cx,bbox_cy,bbox_w,bbox_h,track_id,pixel_err_px,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
0.000,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,0.0
0.050,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
0.100,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
0.150,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
0.200,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
0.250,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
0.300,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
0.350,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
0.400,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
0.451,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
0.501,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
0.551,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
0.601,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
0.651,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
0.701,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
0.751,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
0.801,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
0.851,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
0.901,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
0.952,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.4
1.002,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
1.052,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
1.102,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
1.152,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
1.202,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
1.252,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
1.302,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
1.352,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
1.402,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.2
1.452,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
1.502,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
1.552,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
1.602,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
