t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,oracle_cx,oracle_cy,oracle_w,oracle_h,det_bbox_cx,det_bbox_cy,det_new,track_cx,track_cy,track_w,track_h,track_id,pix_err_vs_oracle,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
0.000,16.69,-8.75,-9.48,17.19,-8.75,0.00,320.0,210.8,116.9,233.8,320.0,210.8,1,320.0,210.8,116.9,233.8,1,0.0,0.585,0.000,0.0000,0.0
0.050,16.69,-8.75,-9.48,17.21,-8.75,0.00,320.0,210.0,116.9,233.8,320.0,210.8,0,320.0,210.8,116.9,233.8,1,0.7,0.585,0.000,0.0000,50.1
0.100,16.69,-8.75,-9.48,17.22,-8.75,0.00,320.0,209.3,116.9,233.8,320.0,210.8,0,320.0,210.8,116.9,233.8,1,1.5,0.585,0.000,0.0000,50.1
0.150,16.69,-8.75,-9.48,17.23,-8.75,0.00,331.6,210.8,116.9,233.8,320.0,210.8,0,320.0,210.8,116.9,233.8,1,11.6,0.585,0.000,0.0000,50.1
0.200,16.69,-8.75,-9.48,17.24,-8.75,0.00,331.9,210.1,116.9,233.8,320.0,210.8,0,320.0,210.8,116.9,233.8,1,11.9,0.585,0.000,0.0000,50.1
0.250,16.70,-8.75,-9.48,17.26,-8.75,0.00,332.1,209.5,116.9,233.8,320.0,210.8,0,320.0,210.8,116.9,233.8,1,12.2,0.585,0.000,0.0000,50.1
0.300,16.70,-8.75,-9.48,17.27,-8.75,0.00,332.4,208.9,116.9,233.8,320.0,210.8,0,320.0,210.8,116.9,233.8,1,12.5,0.585,0.000,0.0000,50.1
0.350,16.70,-8.75,-9.48,17.28,-8.75,0.00,332.6,208.5,116.9,233.8,320.0,210.8,0,320.0,210.8,116.9,233.8,1,12.8,0.585,0.000,0.0000,50.1
0.400,16.70,-8.75,-9.48,17.29,-8.75,0.00,332.9,207.8,116.9,233.8,320.0,210.8,0,320.0,210.8,116.9,233.8,1,13.2,0.585,0.000,0.0000,50.1
0.451,16.71,-8.75,-9.48,17.31,-8.75,0.00,333.1,208.0,116.9,233.8,320.0,210.8,0,320.0,210.8,116.9,233.8,1,13.4,0.585,0.000,0.0000,50.1
0.501,16.73,-8.76,-9.48,17.32,-8.75,0.00,333.4,208.5,116.9,233.8,320.0,210.8,0,320.0,210.8,116.9,233.8,1,13.5,0.585,0.000,0.0000,50.1
0.551,16.73,-8.76,-9.48,17.33,-8.75,0.00,333.6,207.9,116.9,233.8,320.0,210.8,0,320.0,210.8,116.9,233.8,1,13.9,0.585,0.000,0.0000,50.1
