epoch,step,loss,lr,elapsed_s
1,1,1.710979,2.00e-04,2.6
1,51,1.117142,2.00e-04,69.4
1,101,0.857370,2.00e-04,135.9
1,151,0.880110,2.00e-04,202.7
1,201,1.040321,2.00e-04,270.4
1,251,0.915547,2.00e-04,338.8
1,301,0.907425,2.00e-04,406.6
1,351,0.960023,2.00e-04,474.7
1,401,0.818248,2.00e-04,542.3
1,451,0.857322,2.00e-04,609.2
1,501,1.088207,2.00e-04,675.9
1,551,0.968586,2.00e-04,743.7
1,601,0.947088,2.00e-04,811.4
1,651,0.994923,2.00e-04,879.2
1,701,0.903046,2.00e-04,946.7
1,751,0.939138,2.00e-04,1014.4
1,801,0.852301,1.99e-04,1082.0
1,851,0.778625,1.99e-04,1149.5
1,901,0.882043,1.99e-04,1216.8
1,951,1.010622,1.99e-04,1284.2
1,1001,0.910309,1.99e-04,1351.5
1,1051,0.863298,1.99e-04,1417.7
1,1101,0.874775,1.99e-04,1484.1
1,1151,0.820912,1.99e-04,1550.3
1,1201,0.850694,1.99e-04,1616.5
1,1251,1.004710,1.99e-04,1682.8
1,1301,0.855964,1.98e-04,1749.6
1,1351,0.914072,1.98e-04,1816.4
1,1401,0.994356,1.98e-04,1882.6
1,1451,1.032506,1.98e-04,1949.1
1,1501,0.920159,1.98e-04,2015.6
1,1551,0.925746,1.98e-04,2082.3
1,1601,0.955671,1.98e-04,2149.2
1,1651,0.828538,1.98e-04,2215.8
1,1701,0.857963,1.97e-04,2282.2
1,1751,0.905605,1.97e-04,2349.0
1,1801,0.867318,1.97e-04,2415.9
1,1851,0.896071,1.97e-04,2482.9
1,1901,0.883249,1.97e-04,2549.6
1,1951,0.869646,1.97e-04,2617.4
1,2001,0.876409,1.96e-04,2685.6
1,2051,0.827054,1.96e-04,2753.8
1,2101,0.815726,1.96e-04,2822.0
1,2151,0.873469,1.96e-04,2890.3
1,2201,0.923325,1.96e-04,2958.7
1,2251,0.793409,1.95e-04,3027.1
1,2301,0.872187,1.95e-04,3094.9
1,2351,0.711826,1.95e-04,3162.8
