epoch,step,loss,lr,elapsed_s
1,1,1.892838,2.00e-04,3.1
1,51,1.383961,2.00e-04,79.0
1,101,1.213358,2.00e-04,156.0
1,151,1.147965,2.00e-04,232.3
1,201,1.166573,2.00e-04,311.4
1,251,1.185890,2.00e-04,390.9
1,301,1.233265,2.00e-04,470.3
1,351,1.190911,2.00e-04,549.8
1,401,1.123872,2.00e-04,628.9
1,451,1.253664,2.00e-04,708.2
1,501,1.168307,2.00e-04,788.6
1,551,1.164647,2.00e-04,866.3
1,601,0.963761,2.00e-04,944.7
1,651,1.084931,2.00e-04,1022.1
1,701,1.176906,2.00e-04,1101.5
1,751,1.128083,2.00e-04,1181.3
1,801,1.218122,1.99e-04,1260.3
1,851,1.221695,1.99e-04,1340.0
1,901,1.151507,1.99e-04,1416.7
1,951,1.362349,1.99e-04,1496.2
1,1001,0.985027,1.99e-04,1575.5
1,1051,0.887093,1.99e-04,1654.7
1,1101,1.200908,1.99e-04,1732.2
1,1151,1.095788,1.99e-04,1810.6
1,1201,1.228426,1.99e-04,1890.5
1,1251,1.113023,1.99e-04,1968.8
1,1301,1.155914,1.99e-04,2048.2
1,1351,1.171406,1.99e-04,2126.1
1,1401,1.082048,1.98e-04,2203.0
1,1451,1.125803,1.98e-04,2280.0
1,1501,1.229910,1.98e-04,2356.7
1,1551,0.884656,1.98e-04,2435.0
1,1601,1.182952,1.98e-04,2513.7
1,1651,1.238415,1.98e-04,2592.7
1,1701,1.081716,1.98e-04,2671.5
1,1751,0.958013,1.98e-04,2747.2
1,1801,1.222481,1.97e-04,2826.6
1,1851,1.170575,1.97e-04,2903.5
1,1901,1.244486,1.97e-04,2983.2
1,1951,1.135277,1.97e-04,3061.4
1,2001,1.053123,1.97e-04,3145.4
1,2051,0.936327,1.97e-04,3224.0
1,2101,1.052590,1.97e-04,3304.2
1,2151,1.166156,1.96e-04,3385.8
1,2201,1.248269,1.96e-04,3463.9
1,2251,1.213237,1.96e-04,3543.6
1,2301,1.154027,1.96e-04,3623.8
1,2351,0.932558,1.96e-04,3704.9
1,2401,1.218731,1.95e-04,3784.5
1,2451,1.073341,1.95e-04,3864.8
1,2501,1.113532,1.95e-04,3944.9
1,2551,1.129777,1.95e-04,4026.3
1,2601,1.010718,1.95e-04,4105.9
1,2651,0.696232,1.95e-04,4183.6
1,2701,1.135587,1.94e-04,4262.3
1,2751,1.119109,1.94e-04,4341.0
1,2801,1.220937,1.94e-04,4420.1
1,2851,1.100284,1.94e-04,4498.5
1,2901,1.152977,1.93e-04,4577.7
1,2951,1.075328,1.93e-04,4655.5
1,3001,1.188538,1.93e-04,4739.5
1,3051,1.206585,1.93e-04,4816.8
1,3101,1.121588,1.93e-04,4895.7
1,3151,1.082581,1.92e-04,4975.2
1,3201,1.221946,1.92e-04,5054.4
1,3251,1.112865,1.92e-04,5132.3
1,3301,1.133003,1.92e-04,5210.4
1,3351,0.922452,1.91e-04,5288.6
1,3401,0.864839,1.91e-04,5366.3
1,3451,1.091971,1.91e-04,5444.6
1,3501,0.947107,1.91e-04,5523.4
1,3551,1.187534,1.90e-04,5603.8
1,3601,1.063491,1.90e-04,5681.2
1,3651,0.990752,1.90e-04,5759.4
1,3701,1.070420,1.89e-04,5837.3
1,3751,1.192710,1.89e-04,5915.1
1,3801,1.094484,1.89e-04,5997.3
1,3851,1.013980,1.89e-04,6077.0
1,3901,0.926472,1.88e-04,6155.1
1,3951,1.246404,1.88e-04,6233.1
1,4001,1.165337,1.88e-04,6315.5
1,4051,1.078781,1.87e-04,6394.6
1,4101,1.085068,1.87e-04,6472.6
1,4151,0.993661,1.87e-04,6549.7
1,4201,1.009987,1.86e-04,6627.3
1,4251,1.205237,1.86e-04,6704.5
1,4301,0.994550,1.86e-04,6783.7
1,4351,1.065193,1.85e-04,6861.3
1,4401,1.184334,1.85e-04,6941.3
1,4451,0.981016,1.85e-04,7019.0
1,4501,1.006467,1.84e-04,7097.0
1,4551,1.104522,1.84e-04,7173.6
1,4601,1.069329,1.84e-04,7251.0
1,4651,1.095635,1.83e-04,7327.7
1,4701,0.928824,1.83e-04,7407.8
1,4751,0.828308,1.83e-04,7486.6
1,4801,1.166829,1.82e-04,7566.8
1,4851,1.001581,1.82e-04,7647.1
1,4901,0.809981,1.82e-04,7725.6
1,4951,1.114116,1.81e-04,7804.1
1,5001,1.103535,1.81e-04,7888.1
1,5051,0.939175,1.81e-04,7964.6
1,5101,1.071342,1.80e-04,8043.0
1,5151,1.009104,1.80e-04,8121.8
1,5201,1.241572,1.79e-04,8199.1
1,5251,1.004720,1.79e-04,8277.7
1,5301,0.948749,1.79e-04,8354.6
1,5351,1.130046,1.78e-04,8432.9
